feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,23,log2,1,13,nan,nan,NA,NA,0.9837962962962963,5.90621542930603
1,1,0,1,nnClassifier,identity,NA,16,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,0.5046296296296297,11.182980298995972
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,8,NA,uniform,1.0,15.701817274093628
1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9479166666666666,20.307066440582275
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,log2,19,6,nan,nan,NA,NA,1.0,25.30269742012024
0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,log2,1,24,nan,nan,NA,NA,0.6331018518518519,30.890296697616577
1,1,0,0,nnClassifier,identity,NA,31,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.5254629629629629,36.46490669250488
0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,56,sqrt,13,18,nan,nan,NA,NA,0.7789351851851852,41.975061655044556
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,31,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,46.760488510131836
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,63,log2,13,4,nan,nan,NA,NA,1.0,52.350698471069336
1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,auto,4,9,nan,nan,NA,NA,0.9803240740740741,57.99093413352966
1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,sqrt,5,15,nan,nan,NA,NA,1.0,63.29672050476074
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,log2,14,23,nan,nan,NA,NA,1.0,68.24487233161926
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,37,log2,1,9,nan,nan,NA,NA,1.0,73.14287900924683
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,auto,8,18,nan,nan,NA,NA,1.0,78.20198011398315
1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9745370370370371,83.05126786231995
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,82,auto,13,22,nan,nan,NA,NA,1.0,88.23461413383484
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,69,auto,11,27,nan,nan,NA,NA,1.0,93.5385434627533
