feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,1,nnClassifier,identity,NA,21,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,0.47685185185185186,8.796055555343628
0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,89,sqrt,8,16,nan,nan,NA,NA,0.6192129629629629,13.896263837814331
1,0,1,0,kneighborsClassifier,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8506944444444444,18.37871289253235
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,9,NA,distance,1.0,23.221959590911865
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,8,NA,distance,1.0,27.850329160690308
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,1,NA,distance,1.0,32.36354613304138
1,1,0,1,nnClassifier,tanh,NA,25,NA,nan,constant,nan,NA,nan,nan,8,nan,lbfgs,NA,0.5,38.03487706184387
0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,5,NA,distance,0.7627314814814815,43.405778884887695
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,sqrt,4,31,nan,nan,NA,NA,1.0,48.3934588432312
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,22,auto,19,17,nan,nan,NA,NA,0.9988425925925926,53.469043493270874
1,1,0,0,nnClassifier,logistic,NA,15,NA,nan,adaptive,nan,NA,nan,nan,5,nan,lbfgs,NA,0.4930555555555556,61.3787796497345
0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,auto,4,8,nan,nan,NA,NA,0.6400462962962963,67.35632562637329
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,91,auto,7,24,nan,nan,NA,NA,1.0,72.18141102790833
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,15,log2,6,22,nan,nan,NA,NA,1.0,77.16830968856812
1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,89,auto,1,2,nan,nan,NA,NA,0.9861111111111112,82.24514102935791
1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,44,sqrt,18,14,nan,nan,NA,NA,1.0,87.13316488265991
