feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9745370370370371,5.198480129241943
1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,33,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9733796296296297,10.060745000839233
0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,3,NA,distance,0.6574074074074074,14.173852682113647
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,18.51023268699646
1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9722222222222222,22.723273515701294
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,26.868523597717285
0,0,0,0,nnClassifier,relu,NA,31,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,0.0,31.162912130355835
0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,6,NA,distance,0.5960648148148148,35.54835486412048
1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,58,auto,12,32,nan,nan,NA,NA,1.0,40.34693121910095
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,59,auto,10,39,nan,nan,NA,NA,1.0,44.84540820121765
1,0,0,1,nnClassifier,tanh,NA,17,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.5300925925925926,49.9777455329895
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,15,NA,nan,NA,nan,nan,nan,8,NA,distance,1.0,54.65286588668823
1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,log2,3,26,nan,nan,NA,NA,0.9895833333333334,59.508925914764404
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,9,NA,uniform,1.0,63.97128963470459
1,1,0,1,nnClassifier,identity,NA,32,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.5300925925925926,68.31979417800903
1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,72.99956107139587
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,auto,11,21,nan,nan,NA,NA,1.0,77.69301891326904
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,7,NA,uniform,1.0,82.26572012901306
1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,6,NA,uniform,1.0,86.53740549087524
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,28,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,91.65560150146484
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,27,NA,nan,NA,nan,nan,nan,7,NA,distance,1.0,95.98528289794922
1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,12,auto,11,4,nan,nan,NA,NA,1.0,100.74589157104492
1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,4,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9606481481481481,105.60607194900513
1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,13,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.96875,110.13845157623291
