feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,61,sqrt,1,33,nan,nan,NA,NA,1.0,5.787211656570435
0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,sqrt,8,21,nan,nan,NA,NA,0.6585648148148148,11.331541538238525
1,1,0,1,nnClassifier,tanh,NA,22,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.5115740740740741,34.2893602848053
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,45,auto,1,11,nan,nan,NA,NA,1.0,39.723745346069336
1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,auto,3,37,nan,nan,NA,NA,0.9201388888888888,46.028581857681274
0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,79,auto,3,16,nan,nan,NA,NA,0.7905092592592593,52.01860189437866
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,auto,2,37,nan,nan,NA,NA,1.0,57.48819088935852
1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,6,NA,uniform,1.0,62.382055044174194
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,2,NA,distance,1.0,67.46002125740051
0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.6412037037037037,72.68059182167053
1,1,0,1,nnClassifier,relu,NA,14,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,0.5,92.98173236846924
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,3,NA,nan,NA,nan,nan,nan,9,NA,distance,1.0,97.59822630882263
1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9629629629629629,102.64105439186096
1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,29,NA,nan,NA,nan,nan,nan,4,NA,distance,1.0,107.54488682746887
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,20,NA,nan,NA,nan,nan,nan,1,NA,uniform,1.0,112.39347004890442
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,auto,2,28,nan,nan,NA,NA,1.0,117.64527559280396
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,61,auto,12,20,nan,nan,NA,NA,1.0,122.69850063323975
1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,2,NA,distance,1.0,127.39471173286438
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,51,sqrt,2,21,nan,nan,NA,NA,1.0,132.38384866714478
1,0,0,1,nnClassifier,relu,NA,8,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,0.5474537037037037,141.25305938720703
1,1,0,1,nnClassifier,identity,NA,22,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,0.5,152.72406935691833
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,1,NA,distance,1.0,157.5482885837555
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9988425925925926,162.07828068733215
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,88,log2,8,25,nan,nan,NA,NA,1.0,166.87609577178955
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,80,sqrt,2,9,nan,nan,NA,NA,1.0,172.80270552635193
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,sqrt,12,33,nan,nan,NA,NA,1.0,178.39459776878357
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,27,sqrt,13,40,nan,nan,NA,NA,1.0,183.44534921646118
1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,8,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9745370370370371,187.97134113311768
1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,74,auto,18,33,nan,nan,NA,NA,0.9386574074074074,193.9636902809143
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,74,log2,1,38,nan,nan,NA,NA,1.0,199.21396565437317
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,9,NA,distance,1.0,204.85365462303162
1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9791666666666666,209.72805905342102
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,57,auto,20,21,nan,nan,NA,NA,1.0,214.84096002578735
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,5,NA,uniform,1.0,220.0927538871765
1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,225.02368688583374
1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,32,NA,nan,NA,nan,nan,nan,1,NA,uniform,1.0,230.36488485336304
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,67,auto,20,9,nan,nan,NA,NA,1.0,235.61124396324158
1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,64,log2,18,16,nan,nan,NA,NA,1.0,240.576500415802
1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,8,NA,distance,1.0,245.8298590183258
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,251.05503916740417
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,3,NA,distance,1.0,255.74026441574097
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,38,NA,nan,NA,nan,nan,nan,8,NA,distance,1.0,260.48511505126953
