feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,nnClassifier,logistic,NA,17,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.4895833333333333,328.07391142845154
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,8,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,332.8617582321167
1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,5,NA,distance,1.0,337.646630525589
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,8,NA,distance,1.0,342.8739929199219
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,9,NA,uniform,1.0,347.9769902229309
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,352.53821992874146
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,13,NA,nan,NA,nan,nan,nan,1,NA,distance,1.0,357.2145164012909
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,361.79054498672485
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,6,NA,uniform,1.0,366.6747205257416
1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9548611111111112,372.1569700241089
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,8,NA,uniform,1.0,376.93912863731384
1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9490740740740741,382.0325310230255
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,13,NA,nan,NA,nan,nan,nan,9,NA,distance,1.0,386.9458694458008
1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9780092592592593,392.02216053009033
1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,4,NA,uniform,1.0,397.09206366539
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,sqrt,20,5,nan,nan,NA,NA,1.0,402.8004126548767
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,4,NA,distance,1.0,407.5647032260895
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,412.40977025032043
1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,55,auto,19,24,nan,nan,NA,NA,0.8935185185185185,417.7330927848816
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,17,NA,nan,NA,nan,nan,nan,8,NA,uniform,1.0,422.48841881752014
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,426.7991819381714
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,33,log2,20,28,nan,nan,NA,NA,1.0,432.0199682712555
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,74,log2,16,28,nan,nan,NA,NA,0.9710648148148148,437.58481884002686
1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,99,auto,13,25,nan,nan,NA,NA,0.9016203703703703,443.7800350189209
1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,9,NA,distance,1.0,448.70848083496094
1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,24,NA,nan,NA,nan,nan,nan,4,NA,distance,1.0,453.5207893848419
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,44,sqrt,11,33,nan,nan,NA,NA,0.9814814814814815,459.5613088607788
1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,sqrt,6,30,nan,nan,NA,NA,0.8703703703703703,464.85974073410034
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,99,log2,8,10,nan,nan,NA,NA,1.0,469.87791991233826
