feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,10,NA,distance,0.6087962962962963,5.307103395462036
1,0,1,1,nnClassifier,relu,NA,16,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.5069444444444444,31.64805793762207
0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,10,NA,distance,0.6400462962962963,36.4148964881897
0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,27,log2,4,19,nan,nan,NA,NA,0.7071759259259259,41.75395083427429
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,22,log2,12,10,nan,nan,NA,NA,1.0,46.83921670913696
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,log2,19,28,nan,nan,NA,NA,0.9780092592592593,52.88027787208557
1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,auto,20,13,nan,nan,NA,NA,0.9050925925925926,58.125234603881836
1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,sqrt,14,5,nan,nan,NA,NA,0.9432870370370371,63.4669988155365
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,58,sqrt,9,7,nan,nan,NA,NA,1.0,68.33162641525269
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,87,log2,2,17,nan,nan,NA,NA,1.0,73.32907104492188
0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,53,log2,11,3,nan,nan,NA,NA,0.65625,79.40951609611511
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,16,log2,8,19,nan,nan,NA,NA,1.0,84.68684005737305
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,18,sqrt,16,4,nan,nan,NA,NA,1.0,89.73228120803833
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,auto,10,14,nan,nan,NA,NA,1.0,95.01093411445618
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,log2,12,28,nan,nan,NA,NA,1.0,100.14204382896423
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,29,auto,10,4,nan,nan,NA,NA,1.0,105.43814253807068
1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,auto,18,7,nan,nan,NA,NA,1.0,110.43424105644226
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,log2,1,39,nan,nan,NA,NA,1.0,115.26065754890442
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,50,log2,13,4,nan,nan,NA,NA,1.0,120.56364154815674
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,41,sqrt,3,18,nan,nan,NA,NA,1.0,125.49818015098572
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,13,sqrt,1,3,nan,nan,NA,NA,1.0,130.14127397537231
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,log2,12,2,nan,nan,NA,NA,1.0,135.1655786037445
