,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,kneighborsClassifier,None,brute,None,None,29,None,None,None,None,None,None,4,None,distance,0.47714808043875684,ok,0.3633894750382751
1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,kneighborsClassifier,None,brute,None,None,19,None,None,None,None,None,None,9,None,distance,0.43875685557586835,ok,0.5736475631128997
2,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,92.0,sqrt,16.0,25.0,None,None,None,None,0.5722120658135283,ok,3.049180784029886
3,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,4,None,uniform,0.43875685557586835,ok,3.264200256206095
4,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,nnClassifier,tanh,None,20.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.24954296160877515,ok,34.952826554188505
5,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,nnClassifier,relu,None,27.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.22212065813528337,ok,39.60199675010517
6,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,kneighborsClassifier,None,brute,None,None,11,None,None,None,None,None,None,8,None,uniform,0.38391224862888484,ok,39.88949732715264
7,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,98.0,sqrt,11.0,7.0,None,None,None,None,0.6261425959780622,ok,41.17231340799481
8,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,kneighborsClassifier,None,auto,None,None,37,None,None,None,None,None,None,2,None,distance,0.5173674588665448,ok,41.26654077204876
9,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,18.0,sqrt,2.0,34.0,None,None,None,None,0.5822669104204753,ok,42.532388121122494
10,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,nnClassifier,logistic,None,18.0,None,None,adaptive,None,None,None,None,9.0,None,lbfgs,None,0.22486288848263253,ok,48.603838292183354
11,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,29,None,None,None,None,None,None,5,None,distance,0.443327239488117,ok,48.801189717138186
12,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,kneighborsClassifier,None,auto,None,None,27,None,None,None,None,None,None,8,None,distance,0.4606946983546618,ok,48.89955682307482
13,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,57.0,log2,8.0,38.0,None,None,None,None,0.5246800731261426,ok,50.671731372131035
14,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,kneighborsClassifier,None,brute,None,None,19,None,None,None,None,None,None,4,None,distance,0.46617915904936014,ok,50.86966750910506
15,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,82.0,sqrt,11.0,38.0,None,None,None,None,0.6398537477148081,ok,52.232976525090635
16,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,93.0,sqrt,14.0,40.0,None,None,None,None,0.5539305301645339,ok,53.905514473095536
17,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,52.0,auto,12.0,40.0,None,None,None,None,0.5804387568555759,ok,56.05001694406383
18,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,38,None,None,None,None,None,None,10,None,distance,0.4789762340036563,ok,56.17749017919414
19,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,8,None,uniform,0.3912248628884826,ok,56.308184335008264
20,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,8.0,4.0,None,None,None,None,0.6535648994515539,ok,57.69954936206341
21,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,83.0,sqrt,6.0,4.0,None,None,None,None,0.680073126142596,ok,59.120630179997534
22,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,72.0,sqrt,5.0,4.0,None,None,None,None,0.7047531992687386,ok,61.28880154318176
23,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,71.0,auto,2.0,12.0,None,None,None,None,0.7184643510054844,ok,63.572408623062074
24,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,71.0,auto,2.0,13.0,None,None,None,None,0.7111517367458866,ok,65.89676551311277
