,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,nnClassifier,tanh,None,18,None,None,adaptive,None,None,None,None,3,None,lbfgs,None,0.283363802559415,ok,7.716687379870564
1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,98.0,auto,3.0,22.0,None,None,None,None,0.6142595978062158,ok,12.082794070942327
2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,nnClassifier,logistic,None,30,None,None,adaptive,None,None,None,None,2,None,lbfgs,None,0.11974405850091407,ok,17.96249641291797
3,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,30.0,None,None,None,None,None,None,6.0,None,distance,0.4360146252285192,ok,18.071277183946222
4,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,43.0,auto,19.0,11.0,None,None,None,None,0.5987202925045704,ok,20.47846373403445
5,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,40.0,log2,13.0,21.0,None,None,None,None,0.5484460694698354,ok,22.858926967950538
6,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,74.0,auto,8.0,15.0,None,None,None,None,0.5274223034734917,ok,24.697710199048743
7,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,nnClassifier,tanh,None,21,None,None,constant,None,None,None,None,8,None,lbfgs,None,0.2897623400365631,ok,32.362544770818204
8,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,34.0,None,None,None,None,None,None,4.0,None,uniform,0.4926873857404022,ok,32.49556328402832
9,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,nnClassifier,relu,None,24,None,None,constant,None,None,None,None,3,None,sgd,None,0.07038391224862889,ok,52.84172543394379
10,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,42.0,auto,8.0,37.0,None,None,None,None,0.5246800731261426,ok,54.498825744958594
11,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,73.0,log2,14.0,36.0,None,None,None,None,0.5292504570383912,ok,56.90994741092436
12,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,kneighborsClassifier,None,brute,None,None,10.0,None,None,None,None,None,None,7.0,None,uniform,0.44881170018281535,ok,57.1156207958702
13,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,57.0,log2,3.0,29.0,None,None,None,None,0.5749542961608776,ok,58.40754908090457
14,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,19.0,None,None,None,None,None,None,2.0,None,uniform,0.4424131627056673,ok,58.56663599982858
15,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,9.0,auto,17.0,35.0,None,None,None,None,0.5740402193784278,ok,60.666787542868406
16,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,25.0,None,None,None,None,None,None,4.0,None,uniform,0.4844606946983547,ok,60.81588676804677
17,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,nnClassifier,identity,None,28,None,None,adaptive,None,None,None,None,7,None,lbfgs,None,0.01736745886654479,ok,61.14680995885283
18,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,14.0,None,None,None,None,None,None,5.0,None,uniform,0.453382084095064,ok,61.36287074186839
19,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,kneighborsClassifier,None,auto,None,None,19.0,None,None,None,None,None,None,5.0,None,uniform,0.42778793418647165,ok,61.49900971585885
20,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,97.0,sqrt,2.0,4.0,None,None,None,None,0.6462522851919561,ok,65.53983918088488
21,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,98.0,sqrt,2.0,3.0,None,None,None,None,0.6526508226691042,ok,69.66937034088187
22,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,98.0,sqrt,2.0,3.0,None,None,None,None,0.6462522851919561,ok,73.95818352582864
23,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,99.0,sqrt,6.0,2.0,None,None,None,None,0.6252285191956124,ok,77.38349989801645
24,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,82.0,sqrt,5.0,8.0,None,None,None,None,0.6307129798903108,ok,80.89477584604174
25,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,8.0,sqrt,2.0,2.0,None,None,None,None,0.5758683729433273,ok,83.25195741094649
26,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,86.0,sqrt,6.0,14.0,None,None,None,None,0.6106032906764168,ok,86.66764734894969
27,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,60.0,sqrt,9.0,7.0,None,None,None,None,0.6078610603290676,ok,89.76963181304745
28,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,25.0,sqrt,4.0,17.0,None,None,None,None,0.6489945155393053,ok,93.11794960894622
29,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,nnClassifier,identity,None,8,None,None,invscaling,None,None,None,None,5,None,adam,None,0.08592321755027423,ok,113.53974072099663
30,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,22.0,sqrt,5.0,27.0,None,None,None,None,0.6279707495429616,ok,115.43109687883407
31,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,25.0,sqrt,11.0,16.0,None,None,None,None,0.6106032906764168,ok,118.25898207188584
32,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,nnClassifier,logistic,None,9,None,None,invscaling,None,None,None,None,10,None,sgd,None,0.0,ok,122.60142771992832
33,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,26.0,sqrt,4.0,26.0,None,None,None,None,0.6444241316270567,ok,125.64443094097078
34,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,35.0,sqrt,10.0,19.0,None,None,None,None,0.6206581352833638,ok,128.6644318168983
35,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,19.0,log2,7.0,32.0,None,None,None,None,0.5996343692870201,ok,130.20156180486083
36,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,nnClassifier,relu,None,14,None,None,constant,None,None,None,None,10,None,adam,None,0.2586837294332724,ok,170.37315480201505
37,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,sqrt,12.0,10.0,None,None,None,None,0.4460694698354662,ok,171.14137187902816
38,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,54.0,sqrt,4.0,24.0,None,None,None,None,0.6160877513711152,ok,173.78247661190107
39,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,nnClassifier,logistic,None,14,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.0,ok,176.70590608287603
40,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,65.0,sqrt,15.0,6.0,None,None,None,None,0.6060329067641682,ok,178.76261137099937
41,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,2.0,None,None,None,None,None,None,10.0,None,distance,0.42230347349177333,ok,178.87794214999303
42,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,32.0,log2,4.0,40.0,None,None,None,None,0.5959780621572212,ok,180.46599606401287
43,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,14.0,sqrt,7.0,18.0,None,None,None,None,0.573126142595978,ok,183.79717965889722
44,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,kneighborsClassifier,None,brute,None,None,38.0,None,None,None,None,None,None,10.0,None,distance,0.4570383912248629,ok,184.02260800194927
45,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,nnClassifier,identity,None,26,None,None,constant,None,None,None,None,1,None,adam,None,0.04204753199268738,ok,188.8915465970058
46,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,49.0,sqrt,10.0,12.0,None,None,None,None,0.5420475319926874,ok,191.5204055039212
47,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,auto,3.0,18.0,None,None,None,None,0.4753199268738574,ok,192.12604009197094
48,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,kneighborsClassifier,None,auto,None,None,2.0,None,None,None,None,None,None,8.0,None,distance,0.47074954296160876,ok,192.2892295899801
49,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,31.0,sqrt,16.0,23.0,None,None,None,None,0.5685557586837294,ok,193.63998252595775
50,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,nnClassifier,relu,None,13,None,None,invscaling,None,None,None,None,8,None,sgd,None,0.010968921389396709,ok,201.22916961088777
51,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,47.0,auto,19.0,10.0,None,None,None,None,0.5859232175502742,ok,203.50336361699738
52,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,40.0,None,None,None,None,None,None,1.0,None,distance,0.42230347349177333,ok,203.72162591200322
53,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,37.0,log2,3.0,5.0,None,None,None,None,0.5109689213893968,ok,207.4150926368311
54,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,87.0,sqrt,5.0,13.0,None,None,None,None,0.6224862888482633,ok,210.961532789981
55,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,nnClassifier,tanh,None,19,None,None,adaptive,None,None,None,None,6,None,adam,None,0.23217550274223034,ok,242.89086732594296
56,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,kneighborsClassifier,None,auto,None,None,8.0,None,None,None,None,None,None,2.0,None,distance,0.49177330895795246,ok,243.0019597390201
57,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,69.0,auto,8.0,20.0,None,None,None,None,0.5511882998171846,ok,245.13914017984644
58,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,43.0,log2,12.0,16.0,None,None,None,None,0.6188299817184644,ok,247.5290469280444
59,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,17.0,auto,6.0,30.0,None,None,None,None,0.6307129798903108,ok,250.2470865759533
60,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,25.0,None,None,None,None,None,None,9.0,None,uniform,0.41316270566727603,ok,250.6036885038484
61,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,nnClassifier,identity,None,30,None,None,invscaling,None,None,None,None,9,None,lbfgs,None,0.04936014625228519,ok,250.976205060957
62,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,80.0,sqrt,9.0,9.0,None,None,None,None,0.5950639853747715,ok,252.84501580893993
63,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,92.0,log2,2.0,33.0,None,None,None,None,0.6270566727605119,ok,255.16172221000306
64,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,10.0,sqrt,18.0,22.0,None,None,None,None,0.6096892138939671,ok,256.96774106193334
65,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,96.0,sqrt,2.0,4.0,None,None,None,None,0.6462522851919561,ok,260.9888338728342
66,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,91.0,sqrt,3.0,4.0,None,None,None,None,0.6361974405850092,ok,264.7736491160467
67,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,76.0,sqrt,4.0,7.0,None,None,None,None,0.6361974405850092,ok,268.3640771319624
68,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,94.0,sqrt,7.0,4.0,None,None,None,None,0.6179159049360147,ok,271.70803110697307
69,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,100.0,sqrt,2.0,11.0,None,None,None,None,0.6444241316270567,ok,275.46119989384897
70,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,65.0,sqrt,3.0,2.0,None,None,None,None,0.6361974405850092,ok,279.2448660789523
71,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,82.0,sqrt,5.0,39.0,None,None,None,None,0.6106032906764168,ok,282.3049588848371
72,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,88.0,auto,6.0,15.0,None,None,None,None,0.6334552102376599,ok,285.59292856394313
73,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,75.0,sqrt,2.0,8.0,None,None,None,None,0.6398537477148081,ok,289.4799463718664
74,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,59.0,sqrt,14.0,25.0,None,None,None,None,0.6042047531992687,ok,292.2926669518929
75,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,nnClassifier,logistic,None,32,None,None,adaptive,None,None,None,None,4,None,adam,None,0.25045703839122485,ok,312.1083653359674
76,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,28.0,sqrt,4.0,2.0,None,None,None,None,0.6170018281535649,ok,314.3619670360349
77,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,kneighborsClassifier,None,brute,None,None,7.0,None,None,None,None,None,None,3.0,None,distance,0.4149908592321755,ok,314.5250794950407
78,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,53.0,sqrt,5.0,13.0,None,None,None,None,0.6160877513711152,ok,318.26142543181777
79,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,95.0,log2,2.0,28.0,None,None,None,None,0.623400365630713,ok,321.22873663296923
80,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,40.0,sqrt,8.0,5.0,None,None,None,None,0.6709323583180987,ok,323.4391056939494
81,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,nnClassifier,relu,None,11,None,None,constant,None,None,None,None,6,None,sgd,None,0.26416819012797077,ok,363.58720308193006
82,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,41.0,sqrt,8.0,6.0,None,None,None,None,0.546617915904936,ok,366.62512673204765
83,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,31.0,None,None,None,None,None,None,7.0,None,uniform,0.4725776965265082,ok,366.7407915999647
84,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,37.0,auto,9.0,17.0,None,None,None,None,0.6416819012797075,ok,368.14868029300123
85,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,45.0,sqrt,11.0,21.0,None,None,None,None,0.6608775137111518,ok,370.3484693048522
86,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,47.0,sqrt,13.0,22.0,None,None,None,None,0.6416819012797075,ok,372.27547965501435
87,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,nnClassifier,tanh,None,22,None,None,constant,None,None,None,None,1,None,lbfgs,None,0.061243144424131625,ok,378.5757503018249
88,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,63.0,sqrt,10.0,20.0,None,None,None,None,0.6489945155393053,ok,380.4384685039986
89,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,15.0,None,None,None,None,None,None,1.0,None,distance,0.5895795246800731,ok,380.56469481182285
90,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,54.0,log2,11.0,31.0,None,None,None,None,0.6444241316270567,ok,382.69678528793156
91,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,46.0,sqrt,12.0,25.0,None,None,None,None,0.5301645338208409,ok,383.8699879848864
92,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,nnClassifier,identity,None,16,None,None,invscaling,None,None,None,None,4,None,adam,None,0.03930530164533821,ok,398.6575662889518
93,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,33.0,sqrt,14.0,27.0,None,None,None,None,0.6142595978062158,ok,400.500749720959
94,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,24.0,None,None,None,None,None,None,9.0,None,distance,0.5521023765996343,ok,400.72815352585167
95,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,69.0,auto,13.0,14.0,None,None,None,None,0.6416819012797075,ok,402.69635392795317
96,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,44.0,sqrt,15.0,11.0,None,None,None,None,0.5493601462522852,ok,405.5062166978605
97,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,51.0,sqrt,20.0,34.0,None,None,None,None,0.6078610603290676,ok,407.3798945089802
