activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,20,gini,1,1,1,0,0,9,constant,5,auto,16,6,nnClassifier,7,4,adam,uniform,0.7277777777777777,106.77756199520081
relu,ball_tree,20,gini,1,1,1,0,1,15,constant,27,auto,2,36,randomForestClassifier,6,2,sgd,uniform,0.7944444444444444,106.77761192503385
relu,ball_tree,20,entropy,1,1,1,0,0,24,constant,75,log2,2,32,nnClassifier,6,1,sgd,distance,0.7277777777777777,106.77764740516432
relu,ball_tree,21,gini,1,1,1,0,1,18,constant,63,auto,8,38,nnClassifier,6,2,adam,distance,0.6333333333333333,106.77768121403642
relu,ball_tree,26,gini,1,1,1,1,1,6,constant,54,auto,2,14,kneighborsClassifier,5,5,sgd,distance,0.8444444444444444,106.77771478402428
relu,ball_tree,19,entropy,1,1,1,0,0,29,constant,30,sqrt,9,35,kneighborsClassifier,6,2,lbfgs,distance,0,106.77774889417924
relu,ball_tree,21,gini,1,1,1,1,1,8,constant,79,auto,14,15,randomForestClassifier,4,3,sgd,distance,0.7648148148148148,106.77778115309775
relu,ball_tree,23,entropy,1,1,1,1,0,26,constant,46,log2,5,18,nnClassifier,7,10,lbfgs,distance,0.5685185185185185,106.77781393309124
relu,ball_tree,15,entropy,1,1,1,0,1,33,constant,75,log2,9,25,randomForestClassifier,6,6,adam,distance,0.8407407407407408,106.77784663299099
relu,auto,20,gini,1,1,1,1,1,28,constant,54,log2,13,20,nnClassifier,6,2,sgd,distance,0.6333333333333333,106.77787940204144
relu,auto,20,gini,1,1,1,0,1,6,constant,85,auto,13,11,randomForestClassifier,6,3,adam,uniform,0.8481481481481481,106.77791203209199
relu,ball_tree,19,entropy,1,1,1,1,0,14,constant,27,sqrt,13,31,randomForestClassifier,8,2,sgd,distance,0.8481481481481481,106.77794472198002
relu,ball_tree,23,entropy,1,1,1,0,0,6,constant,13,sqrt,13,10,nnClassifier,5,5,adam,uniform,0.6296296296296297,106.77797716110945
relu,ball_tree,19,entropy,1,1,1,0,1,36,constant,42,sqrt,15,28,nnClassifier,8,1,sgd,uniform,0.7277777777777777,106.77800952107646
relu,ball_tree,20,gini,1,1,1,1,0,30,constant,50,auto,8,21,randomForestClassifier,6,2,sgd,distance,0.7648148148148148,106.77804182120599
relu,ball_tree,21,entropy,1,1,1,1,1,8,constant,94,auto,16,39,randomForestClassifier,5,5,lbfgs,uniform,0.8240740740740741,106.77807436999865
relu,ball_tree,19,gini,1,1,1,1,1,33,constant,43,log2,16,16,nnClassifier,6,3,lbfgs,uniform,0.6037037037037037,106.77810706011951
relu,ball_tree,20,entropy,1,1,1,0,0,14,constant,75,log2,2,36,randomForestClassifier,6,2,lbfgs,uniform,0.8518518518518519,106.77813933999278
relu,ball_tree,20,gini,1,1,1,1,1,29,constant,75,log2,16,29,kneighborsClassifier,7,1,sgd,uniform,0.8,106.77817156910896
relu,ball_tree,28,gini,1,1,1,0,1,15,constant,74,log2,10,34,randomForestClassifier,8,7,adam,uniform,0.7592592592592593,106.7782036990393
relu,auto,23,gini,1,1,1,1,1,13,constant,9,auto,16,10,nnClassifier,9,2,adam,distance,0.6074074074074074,281.6292073610239
relu,auto,20,gini,1,1,1,1,1,19,constant,31,auto,6,32,nnClassifier,9,1,adam,distance,0.8611111111111112,281.6292587011121
relu,auto,19,gini,1,1,1,1,1,26,constant,71,auto,6,30,nnClassifier,6,3,adam,distance,0.6092592592592593,281.6292931600474
relu,auto,25,gini,1,1,1,1,1,22,constant,67,auto,12,34,nnClassifier,2,2,adam,distance,0.587037037037037,281.6293265700806
relu,auto,22,gini,1,1,1,1,1,10,constant,58,auto,6,18,nnClassifier,9,1,adam,distance,0.8925925925925926,281.62936007999815
relu,auto,19,gini,1,1,1,1,1,27,constant,34,auto,13,35,nnClassifier,4,2,adam,distance,0.8740740740740741,281.629393639043
relu,auto,21,gini,1,1,1,1,1,12,constant,75,auto,13,19,nnClassifier,7,1,adam,distance,0.8592592592592593,281.6294271789957
relu,auto,20,gini,1,1,1,1,1,24,constant,50,auto,9,22,nnClassifier,9,6,adam,distance,0.6018518518518519,281.62946043908596
relu,auto,19,gini,1,1,1,1,1,29,constant,75,auto,13,29,nnClassifier,9,2,adam,distance,0.8666666666666667,281.6294937080238
relu,auto,22,gini,1,1,1,1,1,32,constant,52,auto,13,24,nnClassifier,7,2,adam,distance,0.5888888888888889,281.62953964807093
relu,auto,22,gini,1,1,1,1,1,10,constant,81,auto,11,15,nnClassifier,5,1,adam,distance,0.8518518518518519,281.62957348814234
relu,auto,23,gini,1,1,1,1,1,18,constant,31,auto,17,32,nnClassifier,6,1,adam,distance,0.8555555555555555,281.62960686697625
relu,auto,21,gini,1,1,1,1,1,10,constant,17,auto,17,14,nnClassifier,9,1,adam,distance,0.575925925925926,281.6296402271837
relu,auto,22,gini,1,1,1,1,1,33,constant,46,auto,19,27,nnClassifier,6,4,adam,distance,0.5888888888888889,281.6296733170748
relu,auto,18,gini,1,1,1,1,1,28,constant,54,auto,9,25,nnClassifier,6,1,adam,distance,0.8611111111111112,281.6297064269893
relu,auto,20,gini,1,1,1,1,1,12,constant,90,auto,14,38,nnClassifier,7,1,adam,distance,0.8592592592592593,281.62973956600763
relu,auto,20,gini,1,1,1,1,1,30,constant,47,auto,18,20,nnClassifier,8,2,adam,distance,0.5944444444444444,281.6297728361096
relu,auto,20,gini,1,1,1,1,1,18,constant,75,auto,5,32,nnClassifier,8,1,adam,distance,0.8518518518518519,281.62980570597574
relu,auto,20,gini,1,1,1,1,1,27,constant,74,auto,14,31,nnClassifier,6,1,adam,distance,0.8981481481481481,281.6298388550058
relu,auto,24,gini,1,1,1,1,1,19,constant,77,auto,14,30,nnClassifier,7,3,adam,distance,0.8537037037037037,281.6298719251063
relu,auto,20,gini,1,1,1,1,1,17,constant,13,auto,20,14,nnClassifier,5,5,adam,distance,0.6111111111111112,802.578401813982
relu,auto,20,gini,1,1,1,1,1,23,constant,35,auto,3,31,nnClassifier,5,1,adam,distance,0.6055555555555555,802.5784592831042
relu,auto,23,gini,1,1,1,1,1,30,constant,73,auto,10,28,nnClassifier,10,3,adam,distance,0.6074074074074074,802.5784948831424
relu,auto,25,gini,1,1,1,1,1,26,constant,69,auto,16,31,nnClassifier,3,2,adam,distance,0.6055555555555555,802.5785417321604
relu,auto,21,gini,1,1,1,1,1,14,constant,62,auto,10,22,nnClassifier,5,1,adam,distance,0.6037037037037037,802.578575972002
relu,auto,19,gini,1,1,1,1,1,29,constant,38,auto,17,31,nnClassifier,5,1,adam,distance,0.5962962962962963,802.5786098521203
relu,auto,20,gini,1,1,1,1,1,16,constant,73,auto,17,23,nnClassifier,8,1,adam,distance,0.6018518518518519,802.5786440509837
relu,auto,19,gini,1,1,1,1,1,28,constant,54,auto,13,26,nnClassifier,9,2,adam,distance,0.6055555555555555,802.5786775611341
relu,auto,22,gini,1,1,1,1,1,33,constant,75,auto,17,27,nnClassifier,5,2,adam,distance,0.6111111111111112,802.5787112710532
relu,auto,20,gini,1,1,1,1,1,31,constant,56,auto,17,20,nnClassifier,8,2,adam,distance,0.6074074074074074,802.5787447202019
relu,auto,18,gini,1,1,1,1,1,14,constant,79,auto,15,19,nnClassifier,9,2,adam,distance,0.5740740740740741,802.5787780901883
relu,auto,19,gini,1,1,1,1,1,22,constant,35,auto,17,31,nnClassifier,8,1,adam,distance,0.6148148148148148,802.5788115200121
relu,auto,21,gini,1,1,1,1,1,14,constant,21,auto,18,18,nnClassifier,10,5,adam,distance,0.6166666666666667,802.5788451400585
relu,auto,23,gini,1,1,1,1,1,36,constant,50,auto,15,26,nnClassifier,7,1,adam,distance,0.6,802.578879188979
relu,auto,20,gini,1,1,1,1,1,29,constant,58,auto,13,27,nnClassifier,7,2,adam,distance,0.5796296296296296,802.5789124190342
relu,auto,21,gini,1,1,1,1,1,16,constant,90,auto,18,34,nnClassifier,5,3,adam,distance,0.5944444444444444,802.5789460791275
relu,auto,20,gini,1,1,1,1,1,34,constant,51,auto,16,22,nnClassifier,8,6,adam,distance,0.6018518518518519,802.5789794281591
relu,auto,20,gini,1,1,1,1,1,22,constant,75,auto,9,31,nnClassifier,4,2,adam,distance,0.6018518518518519,802.5790129080415
relu,auto,20,gini,1,1,1,1,1,30,constant,75,auto,17,28,nnClassifier,6,1,adam,distance,0.6074074074074074,802.5790465681348
relu,auto,28,gini,1,1,1,1,1,22,constant,73,auto,15,28,nnClassifier,7,1,adam,distance,0.5925925925925926,802.5790801970288
relu,auto,19,gini,1,1,1,1,1,21,constant,17,auto,17,10,nnClassifier,5,4,adam,distance,0.5703703703703704,1335.0100685611833
relu,auto,20,gini,1,1,1,1,1,27,constant,39,auto,7,32,nnClassifier,8,1,adam,distance,0.5703703703703704,1335.0101222710218
relu,auto,22,gini,1,1,1,1,1,30,constant,72,auto,14,27,nnClassifier,7,1,adam,distance,0.5962962962962963,1335.0101575511508
relu,auto,21,gini,1,1,1,1,1,22,constant,67,auto,17,29,nnClassifier,7,1,adam,distance,0.5907407407407408,1335.0101916301064
relu,auto,25,gini,1,1,1,1,1,18,constant,66,auto,10,24,nnClassifier,3,4,adam,distance,0.562962962962963,1335.010240580188
relu,auto,20,gini,1,1,1,1,1,30,constant,42,auto,13,28,nnClassifier,8,1,adam,distance,0.5666666666666667,1335.0102745401673
relu,auto,20,gini,1,1,1,1,1,19,constant,77,auto,17,19,nnClassifier,4,3,adam,distance,0.6018518518518519,1335.0103088491596
relu,auto,20,gini,1,1,1,1,1,30,constant,58,auto,15,30,nnClassifier,7,1,adam,distance,0.6111111111111112,1335.0103424990084
relu,auto,18,gini,1,1,1,1,1,35,constant,75,auto,13,27,nnClassifier,5,3,adam,distance,0.5740740740740741,1335.0103758689947
relu,auto,16,gini,1,1,1,1,1,30,constant,55,auto,17,19,nnClassifier,6,1,adam,distance,0.6018518518518519,1335.0104101181496
relu,auto,20,gini,1,1,1,1,1,18,constant,77,auto,15,17,nnClassifier,9,2,adam,distance,0.6148148148148148,1335.0104437880218
relu,auto,17,gini,1,1,1,1,1,22,constant,31,auto,14,27,nnClassifier,8,3,adam,distance,0.5796296296296296,1335.010477118194
relu,auto,25,gini,1,1,1,1,1,18,constant,25,auto,15,21,nnClassifier,8,7,adam,distance,0.5851851851851851,1335.0105105580296
relu,auto,22,gini,1,1,1,1,1,36,constant,54,auto,16,25,nnClassifier,9,1,adam,distance,0.6037037037037037,1335.010553887114
relu,auto,21,gini,1,1,1,1,1,31,constant,62,auto,16,23,nnClassifier,6,1,adam,distance,0.5944444444444444,1335.010587777011
relu,auto,21,gini,1,1,1,1,1,17,constant,86,auto,14,30,nnClassifier,6,1,adam,distance,0.562962962962963,1335.010621197056
relu,auto,18,gini,1,1,1,1,1,30,constant,55,auto,20,26,nnClassifier,10,2,adam,distance,0.6018518518518519,1335.0106546462048
relu,auto,20,gini,1,1,1,1,1,20,constant,75,auto,6,35,nnClassifier,6,2,adam,distance,0.5981481481481481,1335.0106883961707
relu,auto,20,gini,1,1,1,1,1,30,constant,76,auto,16,30,nnClassifier,8,1,adam,distance,0.6074074074074074,1335.010721846018
relu,auto,24,gini,1,1,1,1,1,20,constant,73,auto,17,32,nnClassifier,8,5,adam,distance,0.6055555555555555,1335.0107548651285
