activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,28,gini,1,1,1,1,1,39,constant,84,auto,14,35,kneighborsClassifier,5,7,adam,distance,0.6722222222222223,52.502394621958956
relu,auto,8,gini,1,1,1,1,1,39,constant,41,auto,14,33,kneighborsClassifier,6,9,adam,uniform,0.8907407407407407,52.50244329101406
relu,auto,8,gini,1,1,1,1,1,13,constant,42,auto,14,15,kneighborsClassifier,7,4,adam,distance,0.8518518518518519,52.5024785308633
relu,auto,10,gini,1,1,1,1,1,32,constant,58,auto,8,37,nnClassifier,6,10,adam,uniform,0.5648148148148148,52.50251317000948
relu,auto,8,gini,1,1,1,1,1,38,constant,83,auto,16,30,nnClassifier,6,6,adam,uniform,0.5666666666666667,52.502547750016674
relu,auto,18,gini,1,1,1,1,1,40,constant,57,auto,11,28,kneighborsClassifier,8,10,adam,distance,0.8833333333333333,52.50258191884495
relu,auto,8,gini,1,1,1,1,1,30,constant,65,auto,13,22,kneighborsClassifier,6,10,adam,distance,0.6814814814814815,52.50261622900143
relu,auto,27,gini,1,1,1,1,1,34,constant,28,auto,12,15,kneighborsClassifier,6,8,adam,distance,0.7388888888888889,52.50265023787506
relu,auto,23,gini,1,1,1,1,1,27,constant,52,auto,13,6,kneighborsClassifier,8,8,adam,distance,0.812962962962963,52.50268415804021
relu,auto,23,gini,1,1,1,1,1,10,constant,33,auto,14,33,kneighborsClassifier,6,9,adam,distance,0.774074074074074,52.502717586932704
relu,auto,19,gini,1,1,1,1,1,11,constant,68,auto,14,16,kneighborsClassifier,7,10,adam,distance,0.8037037037037037,52.502750696847215
relu,auto,20,gini,1,1,1,1,1,6,constant,70,auto,8,17,kneighborsClassifier,7,8,adam,uniform,0.8685185185185185,52.50278394599445
relu,auto,17,gini,1,1,1,1,1,39,constant,95,auto,15,9,kneighborsClassifier,6,7,adam,uniform,0.8759259259259259,52.50281746592373
relu,auto,19,gini,1,1,1,1,1,8,constant,44,auto,17,33,nnClassifier,6,8,adam,distance,0.55,52.50285060494207
relu,auto,13,gini,1,1,1,1,1,19,constant,71,auto,13,35,kneighborsClassifier,7,9,adam,uniform,0.7944444444444444,52.50288323499262
relu,auto,21,gini,1,1,1,1,1,20,constant,58,auto,15,34,kneighborsClassifier,8,10,adam,uniform,0.8222222222222222,52.5029160939157
relu,auto,8,gini,1,1,1,1,1,17,constant,7,auto,15,33,kneighborsClassifier,6,6,adam,uniform,0.7685185185185185,52.50294929393567
relu,auto,22,gini,1,1,1,1,1,37,constant,20,auto,14,11,kneighborsClassifier,6,9,adam,uniform,0.85,52.502981913043186
relu,auto,16,gini,1,1,1,1,1,27,constant,41,auto,12,9,kneighborsClassifier,6,9,adam,distance,0.8777777777777778,52.50301453284919
relu,auto,28,gini,1,1,1,1,1,6,constant,11,auto,13,9,nnClassifier,5,5,adam,uniform,0.6277777777777778,52.50306012202054
relu,auto,24,gini,1,1,1,1,1,35,constant,80,auto,14,31,nnClassifier,4,4,adam,distance,0.9074074074074074,214.62234202492982
relu,auto,8,gini,1,1,1,1,1,35,constant,42,auto,14,29,nnClassifier,7,7,adam,distance,0.8907407407407407,214.6223918539472
relu,auto,8,gini,1,1,1,1,1,15,constant,40,auto,14,17,nnClassifier,7,5,adam,distance,0.9166666666666666,214.6224267538637
relu,auto,14,gini,1,1,1,1,1,28,constant,54,auto,12,38,nnClassifier,10,6,adam,distance,0.5333333333333333,214.62246034294367
relu,auto,8,gini,1,1,1,1,1,34,constant,79,auto,17,26,nnClassifier,7,2,adam,distance,0.5333333333333333,214.62249410292134
relu,auto,14,gini,1,1,1,1,1,39,constant,53,auto,15,24,nnClassifier,6,6,adam,distance,0.9055555555555556,214.62252705194987
relu,auto,8,gini,1,1,1,1,1,26,constant,61,auto,14,20,nnClassifier,7,6,adam,distance,0.9055555555555556,214.62256045197137
relu,auto,23,gini,1,1,1,1,1,30,constant,32,auto,16,17,nnClassifier,7,4,adam,distance,0.9111111111111111,214.62259331089444
relu,auto,19,gini,1,1,1,1,1,24,constant,48,auto,11,10,nnClassifier,6,5,adam,distance,0.9111111111111111,214.62262633093633
relu,auto,19,gini,1,1,1,1,1,13,constant,37,auto,16,29,nnClassifier,8,6,adam,distance,0.9037037037037037,214.62265925994143
relu,auto,15,gini,1,1,1,1,1,14,constant,64,auto,16,17,nnClassifier,6,6,adam,distance,0.9055555555555556,214.6226922799833
relu,auto,16,gini,1,1,1,1,1,10,constant,66,auto,12,17,nnClassifier,7,8,adam,distance,0.8888888888888888,214.6227253698744
relu,auto,13,gini,1,1,1,1,1,35,constant,91,auto,14,13,nnClassifier,7,8,adam,distance,0.8944444444444445,214.622758239042
relu,auto,15,gini,1,1,1,1,1,12,constant,46,auto,13,29,nnClassifier,5,4,adam,distance,0.5296296296296297,214.6227911990136
relu,auto,9,gini,1,1,1,1,1,15,constant,67,auto,12,31,nnClassifier,9,5,adam,distance,0.8907407407407407,214.6228239678312
relu,auto,17,gini,1,1,1,1,1,16,constant,54,auto,14,30,nnClassifier,8,6,adam,distance,0.8888888888888888,214.62285746796988
relu,auto,8,gini,1,1,1,1,1,14,constant,11,auto,13,29,nnClassifier,10,8,adam,distance,0.8759259259259259,214.62289054691792
relu,auto,18,gini,1,1,1,1,1,33,constant,24,auto,14,15,nnClassifier,8,5,adam,distance,0.8907407407407407,214.62292439700104
relu,auto,12,gini,1,1,1,1,1,23,constant,43,auto,10,13,nnClassifier,8,5,adam,distance,0.9037037037037037,214.62295763590373
relu,auto,24,gini,1,1,1,1,1,2,constant,15,auto,16,13,nnClassifier,3,4,adam,distance,0.5611111111111111,214.6229906559456
relu,auto,20,gini,1,1,1,1,1,31,constant,76,auto,14,29,nnClassifier,8,8,adam,distance,0.5425925925925926,1028.9638563469052
relu,auto,8,gini,1,1,1,1,1,31,constant,42,auto,14,26,nnClassifier,7,8,adam,distance,0.5388888888888889,1028.9639054569416
relu,auto,8,gini,1,1,1,1,1,12,constant,44,auto,14,13,nnClassifier,7,3,adam,distance,0.5388888888888889,1028.96394100599
relu,auto,10,gini,1,1,1,1,1,24,constant,58,auto,8,34,nnClassifier,8,3,adam,distance,0.5592592592592592,1028.9639754160307
relu,auto,10,gini,1,1,1,1,1,30,constant,75,auto,20,27,nnClassifier,8,1,adam,distance,0.5388888888888889,1028.9640098949894
relu,auto,10,gini,1,1,1,1,1,35,constant,50,auto,11,20,nnClassifier,6,5,adam,distance,0.5351851851851852,1028.9640442149248
relu,auto,8,gini,1,1,1,1,1,22,constant,57,auto,15,16,nnClassifier,7,6,adam,distance,0.5388888888888889,1028.964085433865
relu,auto,19,gini,1,1,1,1,1,26,constant,36,auto,12,13,nnClassifier,7,5,adam,distance,0.5537037037037037,1028.9641193740536
