activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,31,gini,1,1,1,1,1,12,constant,32,auto,7,19,nnClassifier,10,5,adam,distance,0.5740740740740741,737.4236599099822
relu,auto,31,gini,1,1,1,1,1,10,constant,16,auto,8,10,nnClassifier,9,7,adam,distance,0.5888888888888889,737.4236934599467
relu,auto,29,gini,1,1,1,1,1,12,constant,45,auto,13,31,nnClassifier,7,5,adam,distance,0.6203703703703703,737.4237269689329
relu,auto,31,gini,1,1,1,1,1,9,constant,48,auto,6,9,nnClassifier,10,4,adam,distance,0.5888888888888889,737.4237599878106
relu,auto,32,gini,1,1,1,1,1,16,constant,79,auto,8,10,nnClassifier,9,5,adam,distance,0.6055555555555555,737.4237931380048
relu,auto,22,gini,1,1,1,1,1,27,constant,65,auto,10,7,nnClassifier,3,2,adam,distance,0.587037037037037,737.4238259869162
relu,auto,27,gini,1,1,1,1,1,9,constant,34,auto,4,12,nnClassifier,8,4,adam,distance,0.5814814814814815,737.4238590570167
relu,auto,32,gini,1,1,1,1,1,19,constant,78,auto,12,14,nnClassifier,8,4,adam,distance,0.5740740740740741,737.4238919159397
relu,auto,20,gini,1,1,1,1,1,8,constant,45,auto,8,14,nnClassifier,9,8,adam,distance,0.6037037037037037,737.4239247660153
relu,auto,32,gini,1,1,1,1,1,23,constant,56,auto,12,11,nnClassifier,9,3,adam,distance,0.5888888888888889,737.4239576449618
relu,auto,30,gini,1,1,1,1,1,28,constant,16,auto,8,26,nnClassifier,9,3,adam,distance,0.6148148148148148,737.4239903048147
relu,auto,28,gini,1,1,1,1,1,10,constant,29,auto,4,10,nnClassifier,10,4,adam,distance,0.5814814814814815,737.424023124855
relu,auto,28,gini,1,1,1,1,1,8,constant,40,auto,19,26,nnClassifier,9,5,adam,distance,0.6092592592592593,737.4240559339523
relu,auto,24,gini,1,1,1,1,1,10,constant,79,auto,3,32,nnClassifier,6,2,adam,distance,0.5851851851851851,737.4240887938067
relu,auto,25,gini,1,1,1,1,1,11,constant,21,auto,7,8,nnClassifier,9,4,adam,distance,0.6129629629629629,737.4241216629744
relu,auto,31,gini,1,1,1,1,1,24,constant,41,auto,7,14,nnClassifier,9,2,adam,distance,0.6148148148148148,737.4241545428522
relu,auto,28,gini,1,1,1,1,1,26,constant,48,auto,3,18,nnClassifier,7,4,adam,distance,0.6,1166.368434249889
relu,auto,26,gini,1,1,1,1,1,21,constant,50,auto,11,10,nnClassifier,5,8,adam,distance,0.6148148148148148,1166.36849870882
relu,auto,24,gini,1,1,1,1,1,14,constant,47,auto,11,21,nnClassifier,7,6,adam,distance,0.6185185185185185,1166.3685459478293
relu,auto,32,gini,1,1,1,1,1,9,constant,39,auto,5,13,nnClassifier,10,6,adam,distance,0.6148148148148148,1166.3685803078115
