,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,0,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,3,log2,4,16,None,None,None,None,0.6776556776556777,ok,0.5016242899000645
1,0,0,0,1,1,1,1,1,nnClassifier,logistic,None,26.0,None,None,invscaling,None,None,None,None,2.0,None,adam,None,0.2796092796092796,ok,1.921248323051259
2,0,0,0,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,4,auto,13,33,None,None,None,None,0.503052503052503,ok,2.4648443979676813
3,0,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,22,log2,11,27,None,None,None,None,0.8437118437118437,ok,3.7572307100053877
4,0,1,1,1,0,0,0,1,nnClassifier,identity,None,31.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,0.4993894993894994,ok,4.743663223925978
5,1,1,0,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,13.0,None,None,None,None,None,None,9.0,None,distance,0.6800976800976801,ok,4.776531744049862
6,1,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,60,sqrt,17,37,None,None,None,None,0.6605616605616605,ok,6.137822870863602
7,0,1,0,0,1,1,0,1,kneighborsClassifier,None,brute,None,None,30.0,None,None,None,None,None,None,3.0,None,uniform,0.6581196581196581,ok,6.240757783874869
8,1,1,0,0,1,1,0,1,nnClassifier,logistic,None,27.0,None,None,invscaling,None,None,None,None,3.0,None,lbfgs,None,0.4896214896214896,ok,9.953467505984008
9,1,1,0,1,0,0,0,1,kneighborsClassifier,None,ball_tree,None,None,10.0,None,None,None,None,None,None,4.0,None,distance,0.6605616605616605,ok,9.985628702910617
10,0,0,0,1,1,1,1,0,nnClassifier,identity,None,12.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.32844932844932845,ok,16.72037464589812
11,0,1,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,25.0,None,None,None,None,None,None,2.0,None,uniform,0.6092796092796092,ok,16.81208928488195
12,1,0,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,82,sqrt,10,19,None,None,None,None,0.6593406593406593,ok,19.150774370878935
13,0,0,1,0,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,4.0,None,None,None,None,None,None,1.0,None,uniform,0.5555555555555556,ok,19.196985000977293
