,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
49,0,1,0,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,58.0,auto,6.0,14.0,None,None,None,None,0.6874236874236874,ok,136.0262495300267
50,0,1,1,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,44.0,log2,9.0,26.0,None,None,None,None,0.8156288156288156,ok,137.2871137529146
51,1,0,1,0,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,28,None,None,None,None,None,None,7,None,uniform,0.6178266178266179,ok,137.35480959899724
52,0,1,0,0,0,0,0,0,nnClassifier,tanh,None,14.0,None,None,adaptive,None,None,None,None,3.0,None,adam,None,0.5201465201465202,ok,143.09907693089917
53,1,1,1,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,68.0,sqrt,8.0,3.0,None,None,None,None,0.8070818070818071,ok,145.16878542792983
54,1,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,9.0,log2,3.0,7.0,None,None,None,None,0.8144078144078144,ok,146.36198740592226
55,0,0,1,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,3,None,distance,0.5616605616605617,ok,146.40923457592726
56,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,47.0,auto,6.0,29.0,None,None,None,None,0.6752136752136753,ok,148.97298905509524
57,1,1,1,0,0,0,0,0,nnClassifier,logistic,None,31.0,None,None,invscaling,None,None,None,None,2.0,None,sgd,None,0.5006105006105006,ok,150.3090925239958
58,0,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,97.0,sqrt,9.0,20.0,None,None,None,None,0.8131868131868132,ok,151.60885143396445
59,1,0,1,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,26.0,log2,11.0,9.0,None,None,None,None,0.6593406593406593,ok,153.03335126000457
