,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,1,1,1,1,1,nnClassifier,tanh,None,27,None,None,constant,None,None,None,None,3,None,sgd,None,0.24664224664224665,ok,1.8406308898702264
1,1,1,1,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,59.0,sqrt,6.0,26.0,None,None,None,None,0.8241758241758241,ok,3.9898695128504187
2,0,0,1,0,1,0,1,1,kneighborsClassifier,None,brute,None,None,5.0,None,None,None,None,None,None,9.0,None,distance,0.6141636141636142,ok,4.114870354998857
3,1,1,0,1,0,1,1,1,nnClassifier,relu,None,20,None,None,adaptive,None,None,None,None,2,None,adam,None,0.4945054945054945,ok,24.957908418029547
4,0,0,1,1,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,5.0,None,None,None,None,None,None,7.0,None,uniform,0.6092796092796092,ok,25.016205021878704
5,1,0,0,1,1,1,0,1,kneighborsClassifier,None,brute,None,None,9.0,None,None,None,None,None,None,6.0,None,uniform,0.49206349206349204,ok,25.158794005867094
6,0,1,0,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,68.0,sqrt,13.0,18.0,None,None,None,None,0.6898656898656899,ok,26.098654511850327
7,1,1,1,0,0,1,1,0,nnClassifier,relu,None,28,None,None,constant,None,None,None,None,1,None,adam,None,0.5079365079365079,ok,32.79456963902339
8,0,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,52.0,log2,4.0,10.0,None,None,None,None,0.6398046398046398,ok,34.54166839085519
9,1,0,0,0,1,0,1,1,nnClassifier,identity,None,24,None,None,adaptive,None,None,None,None,2,None,lbfgs,None,0.4835164835164835,ok,34.67005490907468
10,0,1,0,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,45.0,log2,11.0,15.0,None,None,None,None,0.6910866910866911,ok,36.99539733189158
11,1,1,0,1,1,1,1,1,nnClassifier,relu,None,9,None,None,adaptive,None,None,None,None,4,None,lbfgs,None,0.4993894993894994,ok,40.287449057912454
12,0,1,0,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,38.0,None,None,None,None,None,None,2.0,None,distance,0.5787545787545788,ok,40.319857803871855
13,0,0,1,1,1,1,0,1,nnClassifier,logistic,None,29,None,None,adaptive,None,None,None,None,10,None,adam,None,0.5067155067155067,ok,43.641865932848305
14,0,0,0,0,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,24.0,log2,6.0,30.0,None,None,None,None,0.4981684981684982,ok,44.87294224090874
15,1,1,1,0,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,8.0,None,None,None,None,None,None,5.0,None,distance,0.8083028083028083,ok,44.91620822506957
16,0,1,1,1,0,1,1,1,nnClassifier,tanh,None,23,None,None,adaptive,None,None,None,None,9,None,sgd,None,0.4932844932844933,ok,62.751216114964336
17,0,1,0,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,6.0,None,None,None,None,None,None,8.0,None,uniform,0.6727716727716728,ok,62.81411518296227
18,1,0,1,1,0,1,1,1,nnClassifier,identity,None,28,None,None,invscaling,None,None,None,None,2,None,lbfgs,None,0.514041514041514,ok,62.913410373963416
19,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,76.0,log2,17.0,22.0,None,None,None,None,0.48473748473748474,ok,65.47239568503574
20,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,94.0,sqrt,2.0,37.0,None,None,None,None,0.8302808302808303,ok,67.63001135201193
21,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,100.0,sqrt,3.0,40.0,None,None,None,None,0.8253968253968254,ok,69.74806531704962
22,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,93.0,auto,2.0,37.0,None,None,None,None,0.8302808302808303,ok,71.90898112300783
23,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,99.0,auto,2.0,39.0,None,None,None,None,0.8363858363858364,ok,74.06393224000931
24,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,89.0,auto,8.0,34.0,None,None,None,None,0.8266178266178266,ok,76.1013817070052
25,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,99.0,auto,2.0,40.0,None,None,None,None,0.8302808302808303,ok,78.24302373197861
26,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,77.0,auto,20.0,3.0,None,None,None,None,0.8266178266178266,ok,80.06199775799178
27,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,25.0,sqrt,8.0,34.0,None,None,None,None,0.8266178266178266,ok,82.0964651890099
28,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,5.0,sqrt,5.0,29.0,None,None,None,None,0.8302808302808303,ok,83.35625680186786
29,1,1,1,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,3.0,auto,5.0,27.0,None,None,None,None,0.8131868131868132,ok,84.26793527905829
30,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,84.0,auto,15.0,40.0,None,None,None,None,0.8241758241758241,ok,85.56661728699692
31,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,3.0,sqrt,8.0,30.0,None,None,None,None,0.8131868131868132,ok,86.47256107092835
32,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,31.0,auto,10.0,24.0,None,None,None,None,0.8290598290598291,ok,88.47053544805385
