activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,20,poisson,1,0,1,1,1,0,24,invscaling,94,log2,5,21,nnRegressor,6,9,sgd,distance,-2.8670721829347277
relu,auto,20,poisson,1,1,1,1,1,0,18,invscaling,85,log2,13,17,kneighborsRegressor,2,4,sgd,distance,0.4728429665769668
tanh,brute,28,poisson,0,0,0,1,0,1,30,invscaling,60,auto,12,35,kneighborsRegressor,3,3,lbfgs,uniform,-0.18595385549483878
identity,auto,11,mse,0,1,1,0,1,1,38,constant,9,auto,14,4,randomForestRegressor,1,7,lbfgs,distance,0.506087805561324
logistic,auto,28,poisson,1,1,0,1,0,1,21,invscaling,21,log2,13,10,nnRegressor,4,6,lbfgs,distance,-3.223244502664765
identity,auto,19,poisson,1,0,1,0,0,0,37,invscaling,49,auto,2,6,randomForestRegressor,5,3,lbfgs,uniform,-0.00037602636413369694
identity,ball_tree,16,mse,0,1,1,0,1,1,9,constant,41,sqrt,12,28,randomForestRegressor,1,9,adam,uniform,0.5084151771082728
logistic,brute,27,mse,1,0,1,0,0,1,15,invscaling,19,auto,5,14,randomForestRegressor,4,8,sgd,uniform,0.5010746379946494
tanh,kd_tree,23,mae,0,1,0,1,1,1,24,invscaling,86,sqrt,11,3,kneighborsRegressor,5,5,adam,uniform,0.37454120218579245
tanh,brute,15,mae,1,0,1,1,0,0,4,constant,87,sqrt,15,2,kneighborsRegressor,5,3,lbfgs,uniform,0.34786885245901655
tanh,brute,22,poisson,0,1,1,0,0,1,19,constant,80,auto,15,2,nnRegressor,3,8,lbfgs,uniform,-0.9168336824966516
relu,kd_tree,10,mae,0,1,0,1,1,0,6,adaptive,93,auto,15,10,kneighborsRegressor,5,8,sgd,uniform,0.37329337431694
relu,kd_tree,28,mse,0,1,0,1,0,0,17,adaptive,96,auto,13,30,randomForestRegressor,6,4,lbfgs,uniform,0.026327418837475247
relu,ball_tree,9,mae,1,1,0,0,0,0,23,adaptive,84,sqrt,5,4,nnRegressor,10,6,lbfgs,uniform,-4.942181013772679
identity,brute,29,mse,0,1,0,1,0,0,39,constant,3,log2,17,14,randomForestRegressor,10,10,sgd,uniform,0.035002326584524845
tanh,brute,30,mae,0,0,0,1,0,1,26,adaptive,16,auto,11,22,nnRegressor,8,9,lbfgs,uniform,-0.5491872928659749
logistic,auto,15,mae,1,0,1,0,0,1,9,invscaling,66,sqrt,4,35,randomForestRegressor,9,5,sgd,uniform,0.5085360103825138
tanh,kd_tree,25,mae,1,0,1,0,1,1,5,constant,43,auto,9,17,kneighborsRegressor,8,1,sgd,distance,0.28934426229508203
tanh,ball_tree,23,poisson,1,0,1,1,1,1,14,adaptive,90,sqrt,12,5,randomForestRegressor,6,8,lbfgs,uniform,-0.00037602636413369694
tanh,ball_tree,30,poisson,0,1,1,1,0,0,17,constant,92,log2,17,29,nnRegressor,9,9,sgd,uniform,-43.969887129906965
logistic,ball_tree,28,mse,1,0,1,0,0,0,14,constant,63,auto,5,31,kneighborsRegressor,1,6,adam,distance,0.2865832891974819
identity,brute,9,mae,0,0,1,1,0,1,35,adaptive,92,auto,18,27,kneighborsRegressor,6,5,adam,distance,-0.35107273393788363
logistic,auto,32,poisson,0,0,0,0,1,0,17,invscaling,52,auto,10,14,nnRegressor,2,5,lbfgs,uniform,-0.5637488066091005
tanh,brute,31,mse,1,1,1,0,0,0,32,adaptive,31,sqrt,2,30,kneighborsRegressor,9,3,lbfgs,uniform,0.2817887067395265
logistic,auto,24,poisson,0,0,0,1,1,0,18,adaptive,29,sqrt,4,30,randomForestRegressor,9,4,lbfgs,uniform,-0.00037602636413369694
tanh,brute,18,mae,1,1,0,0,1,1,29,constant,23,log2,7,34,kneighborsRegressor,10,7,sgd,uniform,0.5398719750195161
identity,kd_tree,27,mse,0,1,1,0,0,0,9,adaptive,97,log2,3,18,randomForestRegressor,5,6,lbfgs,distance,-0.03240674905451146
identity,brute,24,mae,0,0,0,0,1,0,22,adaptive,20,sqrt,17,3,nnRegressor,9,7,lbfgs,distance,0.4002078904730162
relu,kd_tree,9,mse,0,0,1,1,1,0,11,constant,15,log2,2,36,randomForestRegressor,9,10,adam,distance,0.4302919514260206
tanh,brute,16,mse,1,0,0,1,0,1,16,invscaling,97,auto,14,26,nnRegressor,10,7,lbfgs,uniform,-1.4092766478218204
relu,kd_tree,13,mse,1,0,0,1,0,0,25,adaptive,62,sqrt,15,5,nnRegressor,8,7,sgd,uniform,-2.1103917787575677
relu,auto,18,mae,0,0,0,0,0,0,30,adaptive,47,log2,12,20,randomForestRegressor,7,5,adam,uniform,0
identity,auto,22,mae,0,1,0,1,0,1,40,constant,83,log2,13,39,nnRegressor,9,2,lbfgs,uniform,0.027389932330312394
relu,ball_tree,19,mae,1,0,1,1,1,0,32,constant,74,auto,6,13,nnRegressor,2,10,lbfgs,distance,-7.6801866154920635
