activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,20,mse,0,0,0,0,0,1,10,invscaling,100,sqrt,16,34,nnRegressor,10,1,adam,distance,-0.7370212974873425
logistic,kd_tree,24,mae,0,0,0,1,0,1,38,adaptive,55,log2,20,23,kneighborsRegressor,3,4,adam,distance,-0.2828232212642363
relu,brute,11,poisson,1,1,1,1,1,0,21,constant,80,sqrt,10,27,kneighborsRegressor,9,3,lbfgs,uniform,0.5230353087178374
tanh,kd_tree,29,poisson,1,0,0,1,0,0,27,constant,43,sqrt,2,16,randomForestRegressor,1,1,adam,distance,-0.002089369283012177
logistic,brute,18,poisson,1,0,1,1,1,0,9,constant,53,sqrt,4,4,randomForestRegressor,7,3,lbfgs,distance,-0.002089369283012177
logistic,ball_tree,31,poisson,0,1,0,1,0,1,14,adaptive,86,log2,10,23,kneighborsRegressor,4,8,lbfgs,uniform,-0.04921562957474124
tanh,auto,21,mse,0,0,1,1,1,1,35,adaptive,99,auto,5,30,nnRegressor,2,5,sgd,distance,-39.04572399083633
relu,ball_tree,32,mse,1,1,0,0,1,1,2,adaptive,36,sqrt,3,7,randomForestRegressor,8,1,sgd,distance,0.6459789517160928
logistic,auto,19,mse,0,1,0,0,1,1,10,constant,17,sqrt,10,22,randomForestRegressor,9,3,adam,distance,0.44272495129833145
identity,kd_tree,12,poisson,1,1,0,1,1,1,37,adaptive,29,sqrt,18,25,kneighborsRegressor,8,10,adam,distance,0.551622966941355
tanh,brute,26,poisson,0,0,0,0,1,1,17,constant,39,auto,5,20,nnRegressor,8,7,adam,distance,-0.7514227434230347
relu,auto,11,mae,0,1,1,1,1,1,37,constant,8,sqrt,16,39,randomForestRegressor,7,8,sgd,distance,0.44726327519835163
relu,auto,29,mse,0,0,1,1,0,0,7,constant,78,auto,2,24,randomForestRegressor,5,7,sgd,uniform,-0.026012309693331792
logistic,auto,12,poisson,0,1,1,1,1,1,25,invscaling,59,log2,19,36,randomForestRegressor,10,7,lbfgs,uniform,-0.002089369283012177
identity,ball_tree,26,mse,0,1,0,0,0,1,19,adaptive,65,log2,5,35,nnRegressor,9,6,lbfgs,uniform,0.016615529448696376
identity,ball_tree,16,mae,1,1,0,0,1,1,22,adaptive,31,log2,20,13,randomForestRegressor,4,1,adam,uniform,0.6437905644213913
tanh,kd_tree,16,mae,1,0,1,1,1,1,17,invscaling,77,log2,12,2,randomForestRegressor,8,1,sgd,distance,0.6532487459109722
tanh,ball_tree,18,mse,1,1,1,0,1,1,4,constant,73,sqrt,15,19,randomForestRegressor,8,2,sgd,distance,0.6610464596504333
logistic,ball_tree,25,poisson,0,0,1,1,1,0,26,invscaling,93,sqrt,18,36,nnRegressor,4,6,lbfgs,uniform,-2.248050553553095
tanh,auto,12,poisson,1,1,0,1,0,1,14,invscaling,85,auto,4,29,randomForestRegressor,8,5,lbfgs,distance,-0.002089369283012177
relu,ball_tree,24,poisson,1,0,0,1,1,0,37,invscaling,55,auto,5,14,kneighborsRegressor,9,9,adam,distance,0.5253933856412641
identity,kd_tree,9,mse,1,1,0,0,0,0,30,constant,1,log2,4,28,kneighborsRegressor,7,1,sgd,uniform,-0.08921219569499939
identity,kd_tree,17,mse,0,1,1,0,0,1,19,invscaling,62,log2,18,2,nnRegressor,7,2,lbfgs,uniform,0.033998287526315285
relu,kd_tree,9,poisson,0,0,0,0,1,1,14,constant,53,log2,10,11,nnRegressor,6,3,lbfgs,uniform,-1.0138939945582175
identity,brute,10,mse,0,1,1,0,1,1,12,constant,10,sqrt,13,17,randomForestRegressor,7,7,adam,distance,0.4735779207149954
identity,auto,29,poisson,1,0,0,1,1,0,11,invscaling,34,auto,14,27,randomForestRegressor,2,1,sgd,distance,-0.002089369283012177
tanh,auto,16,mae,0,0,1,1,1,0,31,adaptive,29,log2,15,15,kneighborsRegressor,7,8,sgd,distance,0.2942218035399319
identity,auto,29,poisson,0,0,0,0,1,1,11,invscaling,2,log2,19,34,kneighborsRegressor,4,3,lbfgs,distance,0.19537387262170836
relu,brute,27,mse,1,0,0,1,0,1,19,constant,56,sqrt,14,10,kneighborsRegressor,4,6,adam,distance,0.29007413391615566
logistic,kd_tree,18,poisson,1,1,1,0,0,0,30,adaptive,59,sqrt,20,3,nnRegressor,9,4,sgd,distance,-0.4599614820362199
logistic,auto,8,mae,0,1,0,0,0,0,14,adaptive,29,log2,12,15,randomForestRegressor,10,4,lbfgs,uniform,-0.05930393378034049
identity,ball_tree,26,mse,1,1,0,1,0,1,34,invscaling,22,sqrt,10,30,randomForestRegressor,5,2,sgd,distance,0.5200366662779504
logistic,brute,17,mse,1,0,0,0,0,1,36,constant,48,auto,13,2,randomForestRegressor,4,10,lbfgs,uniform,0.49878861660264284
logistic,kd_tree,11,mse,1,1,1,0,1,0,20,invscaling,55,log2,16,18,nnRegressor,6,5,adam,uniform,0.29910293524094844
