activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,26,mse,1,0,1,1,1,0,16,invscaling,100,log2,12,39,kneighborsRegressor,8,10,adam,uniform,0.5791082687349455
identity,brute,21,poisson,0,1,1,0,0,1,19,invscaling,34,auto,10,5,randomForestRegressor,8,1,sgd,uniform,-0.00011377377463528404
logistic,ball_tree,28,mse,1,1,1,0,0,1,37,constant,60,log2,6,37,kneighborsRegressor,8,9,lbfgs,uniform,0.41194367417756894
tanh,brute,23,poisson,1,1,0,0,1,0,22,constant,26,sqrt,8,38,kneighborsRegressor,6,9,sgd,distance,0.432342964558574
relu,brute,22,mse,0,0,0,0,1,0,23,invscaling,63,log2,3,10,kneighborsRegressor,10,4,lbfgs,uniform,0.22801237608423464
identity,kd_tree,22,mae,1,0,1,1,1,0,37,adaptive,1,sqrt,16,25,nnRegressor,3,7,adam,distance,-8.343289649018816
relu,ball_tree,10,mae,0,0,1,0,0,0,20,constant,24,sqrt,14,6,nnRegressor,3,2,adam,distance,-0.8506628457151737
relu,auto,22,mae,0,0,0,1,1,1,39,invscaling,82,log2,13,14,nnRegressor,4,1,sgd,uniform,-680.6933832687951
identity,brute,32,poisson,1,0,0,1,0,1,21,constant,35,sqrt,2,33,kneighborsRegressor,10,10,sgd,uniform,0.408602016402268
relu,ball_tree,20,poisson,1,1,1,1,0,1,39,constant,45,auto,11,9,kneighborsRegressor,2,10,adam,distance,0.356441007970421
relu,ball_tree,29,mse,1,1,0,0,1,1,38,constant,96,auto,14,37,randomForestRegressor,4,9,adam,distance,0.6149629348350192
relu,brute,21,poisson,1,1,1,1,1,1,36,invscaling,57,sqrt,10,39,randomForestRegressor,8,8,adam,uniform,-0.00011377377463528404
relu,kd_tree,14,poisson,0,0,1,1,0,0,6,constant,44,auto,8,28,randomForestRegressor,10,4,lbfgs,uniform,-0.00011377377463528404
identity,kd_tree,29,mae,0,0,1,0,0,0,33,adaptive,96,auto,7,26,randomForestRegressor,3,8,sgd,uniform,-0.02281262307302412
tanh,auto,15,poisson,0,0,1,1,1,0,39,invscaling,72,log2,11,31,randomForestRegressor,2,8,sgd,uniform,-0.00011377377463528404
tanh,kd_tree,31,mse,1,0,0,0,1,0,21,constant,85,log2,12,25,randomForestRegressor,7,2,lbfgs,uniform,0.5939739409621597
logistic,ball_tree,16,mae,0,0,1,1,1,0,39,constant,12,auto,9,2,randomForestRegressor,10,7,adam,uniform,0.39765987580718964
relu,auto,12,mse,0,0,1,0,1,1,30,constant,94,log2,5,22,nnRegressor,10,3,adam,distance,-0.157208275806469
logistic,brute,18,mse,0,1,1,1,1,0,37,invscaling,87,sqrt,8,13,randomForestRegressor,10,9,lbfgs,distance,0.4443843469275587
relu,kd_tree,25,mae,1,1,0,0,1,1,27,adaptive,72,log2,6,35,randomForestRegressor,3,8,sgd,distance,0.6085049598199139
tanh,ball_tree,27,mae,0,0,1,0,1,0,36,invscaling,2,log2,16,12,nnRegressor,1,7,lbfgs,uniform,-1.0884259601121569
tanh,brute,9,poisson,1,0,1,0,1,1,17,constant,4,auto,2,27,nnRegressor,2,4,sgd,distance,-17.90352396101534
