feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,1,0,0,kneighborsRegressor,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,2,NA,uniform,-0.4900691334480205,5.133194923400879
0,0,0,0,0,0,nnRegressor,relu,NA,25,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.0,9.813831090927124
0,1,1,0,1,0,nnRegressor,tanh,NA,26,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,-4.513454488856072,15.475109815597534
0,1,0,0,0,0,kneighborsRegressor,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,4,NA,distance,-0.34437278132482874,20.02266788482666
0,1,0,0,0,1,nnRegressor,tanh,NA,25,NA,nan,constant,nan,NA,nan,nan,2,nan,lbfgs,NA,-1.4958622378683137,24.94624662399292
1,0,0,1,0,0,kneighborsRegressor,NA,ball_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.3911877913458628,29.43852996826172
1,0,0,0,1,0,kneighborsRegressor,NA,auto,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,distance,0.5173440244101264,34.156675577163696
1,0,1,1,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5640522141084334,38.64112901687622
1,0,1,0,1,1,kneighborsRegressor,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5651597956479484,43.898518323898315
1,0,1,0,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.5576370608100241,48.43453526496887
1,1,1,0,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,7,NA,distance,0.4538706525442966,52.62691593170166
1,0,0,1,0,0,nnRegressor,logistic,NA,10,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.011880570638881038,60.28151488304138
1,0,1,0,1,0,nnRegressor,relu,NA,30,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,-6.3170348646361925,66.05227398872375
