feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,1,0,1,nnRegressor,relu,NA,15,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,-13.414339343179623,6.23832368850708
0,1,1,0,0,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,87,log2,12,26,nan,nan,NA,NA,0.0007420097106756174,11.588823795318604
1,1,1,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,56,auto,2,2,nan,nan,NA,NA,0.5689592371633374,18.017695903778076
1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,44,auto,5,16,nan,nan,NA,NA,0.607355133162065,24.194141626358032
1,1,1,1,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,3,NA,distance,0.41601936615751023,28.56975817680359
0,0,0,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,72,auto,12,17,nan,nan,NA,NA,0.40078212465501695,33.6991503238678
1,0,0,1,1,1,nnRegressor,logistic,NA,8,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,-1.3196440921060253,56.562604904174805
1,1,0,1,0,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,25,auto,12,2,nan,nan,NA,NA,0.4706459817873495,62.1377170085907
1,1,0,0,0,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,40,auto,6,18,nan,nan,NA,NA,-0.00076628407415269,66.90054106712341
0,0,1,1,1,1,kneighborsRegressor,NA,brute,nan,NA,31,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.3989121085883406,72.33619999885559
1,0,1,1,0,0,nnRegressor,logistic,NA,26,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.40052366947495943,78.15357041358948
0,1,0,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,68,sqrt,1,9,nan,nan,NA,NA,0.4237368688941189,83.2016077041626
0,1,0,0,1,0,nnRegressor,identity,NA,21,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.06863473361615269,88.88263154029846
1,1,1,1,0,1,nnRegressor,logistic,NA,24,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.35499817990797844,95.18498921394348
1,1,1,0,0,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,100,auto,9,8,nan,nan,NA,NA,0.4980948472919652,101.12458348274231
1,1,1,1,1,1,nnRegressor,relu,NA,27,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,-26.4306786223558,107.85765886306763
