feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,0,1,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,69,log2,16,32,nan,nan,NA,NA,-0.004087557376976303,603.2068889141083
1,0,0,0,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,46,auto,17,2,nan,nan,NA,NA,0.6169557191407317,607.9784364700317
1,0,1,0,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,78,auto,8,7,nan,nan,NA,NA,0.6294202009341935,613.9045126438141
1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,79,sqrt,8,36,nan,nan,NA,NA,0.6234499700097028,640.7604913711548
1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,99,auto,6,31,nan,nan,NA,NA,0.6173958117514411,717.7501981258392
1,0,1,0,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,81,auto,17,2,nan,nan,NA,NA,0.633308822917718,722.4751229286194
1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,35,sqrt,14,13,nan,nan,NA,NA,0.6433952729483583,727.1202120780945
0,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,16,auto,9,21,nan,nan,NA,NA,0.4532473094430668,732.6348009109497
1,1,1,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,37,log2,1,24,nan,nan,NA,NA,0.639879154520725,738.1146373748779
1,0,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,28,sqrt,18,15,nan,nan,NA,NA,0.6410536702940728,744.0189714431763
1,1,1,1,1,1,kneighborsRegressor,NA,ball_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,10,NA,distance,0.5030478732341603,748.7539532184601
1,1,1,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,33,sqrt,3,30,nan,nan,NA,NA,0.6412596679427767,753.7874174118042
1,0,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,33,log2,2,5,nan,nan,NA,NA,0.6277935508544936,759.97243309021
