feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,0,1,kneighborsRegressor,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,6,NA,uniform,-0.19395236529317583,5.302428722381592
0,1,0,1,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,10,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.36622306743617317,10.548286199569702
0,0,1,1,1,0,nnRegressor,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,-1.3400002854455941,19.285813570022583
1,1,0,0,0,1,nnRegressor,tanh,NA,17,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,-3.073920250854716,26.324243545532227
1,1,1,1,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5168808702666204,31.676323175430298
1,0,0,1,0,0,kneighborsRegressor,NA,auto,nan,NA,38,NA,nan,NA,nan,nan,nan,9,NA,distance,0.2747323712607763,36.4157874584198
0,1,1,0,1,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,26,sqrt,4,19,nan,nan,NA,NA,-0.00042244079631359455,41.55762314796448
1,0,1,1,1,1,nnRegressor,identity,NA,20,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.62706345613929,47.425995111465454
1,1,1,1,1,1,kneighborsRegressor,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,8,NA,distance,0.48752382123524274,52.50344133377075
1,1,1,1,0,1,nnRegressor,identity,NA,21,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.4582735181291543,57.02431607246399
1,0,1,1,1,0,nnRegressor,logistic,NA,27,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,-6.071847904636336,63.06578493118286
1,0,1,1,1,0,nnRegressor,logistic,NA,13,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,-5.177646184704478,67.7203094959259
1,0,1,1,0,0,nnRegressor,relu,NA,22,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,-7.050756894997921,74.01064419746399
1,0,1,1,0,0,nnRegressor,logistic,NA,15,NA,nan,adaptive,nan,NA,nan,nan,1,nan,sgd,NA,-0.11878963272011789,88.71612930297852
