feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,72,sqrt,2,35,nan,nan,NA,NA,0.6118112364456785,5.816835641860962
0,1,0,1,1,0,kneighborsRegressor,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.32479728566242316,10.836438179016113
1,1,0,1,0,1,nnRegressor,tanh,NA,17,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,-37.72737732647712,18.01294755935669
0,0,1,0,0,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,70,auto,4,22,nan,nan,NA,NA,-0.043797275900986365,86.42562556266785
1,1,1,0,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,7,NA,distance,0.4600645565698468,91.51881527900696
1,1,0,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,16,log2,1,4,nan,nan,NA,NA,0.5873262454751309,97.41095757484436
0,0,1,1,0,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,26,auto,7,21,nan,nan,NA,NA,0.005319894124053426,155.99565267562866
1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,28,log2,17,28,nan,nan,NA,NA,0.6133881385263742,161.54889130592346
0,1,1,0,1,1,nnRegressor,tanh,NA,15,NA,nan,invscaling,nan,NA,nan,nan,10,nan,sgd,NA,-142.568527802836,168.65730476379395
1,0,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,65,log2,5,30,nan,nan,NA,NA,0.6074697367715625,174.3406503200531
1,0,1,0,1,1,nnRegressor,relu,NA,16,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,-0.016940050898810677,179.5846996307373
1,1,1,1,0,1,kneighborsRegressor,NA,ball_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,10,NA,distance,0.3662163193452488,184.32265663146973
0,0,1,1,1,0,nnRegressor,relu,NA,17,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,-0.0725668209879855,189.07347702980042
1,1,1,1,0,1,nnRegressor,identity,NA,8,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,0.446645005423408,196.45214295387268
1,1,1,0,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,14,log2,14,33,nan,nan,NA,NA,0.6110126889028306,201.82837843894958
1,1,0,1,1,1,nnRegressor,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,-7.730856410522417,207.22345304489136
0,1,1,1,0,0,nnRegressor,relu,NA,10,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,-0.02565294224810266,212.55909395217896
1,0,0,0,0,1,nnRegressor,logistic,NA,31,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,0.1611918916588253,218.08915972709656
1,1,0,1,0,1,nnRegressor,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,-2.276778491759645,222.87473368644714
