feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,nnClassifier,logistic,NA,30,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.5274725274725275,18.811047554016113
1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,39,sqrt,7,11,nan,nan,NA,NA,0.6483516483516484,28.89915943145752
0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,auto,16,25,nan,nan,NA,NA,0.8876678876678876,37.149205684661865
0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.5958485958485958,42.28964114189148
0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,auto,4,40,nan,nan,NA,NA,0.49572649572649574,53.505406618118286
0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,53,log2,19,32,nan,nan,NA,NA,0.5335775335775336,61.63635468482971
1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,sqrt,18,17,nan,nan,NA,NA,0.6556776556776557,70.27667260169983
1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,81,sqrt,11,31,nan,nan,NA,NA,0.6568986568986569,78.0398383140564
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,auto,13,29,nan,nan,NA,NA,0.8864468864468864,85.29205584526062
1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,55,auto,19,7,nan,nan,NA,NA,0.884004884004884,92.99327087402344
0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,10,auto,13,26,nan,nan,NA,NA,0.884004884004884,101.32710242271423
0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,auto,10,20,nan,nan,NA,NA,0.5152625152625152,108.94541144371033
1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,auto,5,26,nan,nan,NA,NA,0.48595848595848595,115.42817831039429
0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,51,auto,13,9,nan,nan,NA,NA,0.5103785103785103,124.33285617828369
0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,64,auto,16,3,nan,nan,NA,NA,0.884004884004884,133.13560724258423
0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,88,auto,16,29,nan,nan,NA,NA,0.6507936507936508,140.02189660072327
1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,75,auto,18,13,nan,nan,NA,NA,0.8778998778998779,146.93998789787292
0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,79,auto,13,2,nan,nan,NA,NA,0.5079365079365079,154.03197407722473
0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,11,auto,19,24,nan,nan,NA,NA,0.8620268620268621,161.66731715202332
0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,log2,15,26,nan,nan,NA,NA,0.49572649572649574,168.40985465049744
1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,49,auto,8,5,nan,nan,NA,NA,0.8852258852258852,176.5830419063568
1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,58,auto,2,38,nan,nan,NA,NA,0.8888888888888888,184.54447078704834
0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,36,auto,17,28,nan,nan,NA,NA,0.6532356532356532,192.56578731536865
1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,78,log2,5,39,nan,nan,NA,NA,0.8791208791208791,200.48955750465393
0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,62,auto,16,29,nan,nan,NA,NA,0.8852258852258852,208.0071303844452
0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,86,auto,7,26,nan,nan,NA,NA,0.8803418803418803,215.20011067390442
0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,44,sqrt,2,21,nan,nan,NA,NA,0.8888888888888888,223.79086112976074
1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,34,sqrt,3,2,nan,nan,NA,NA,0.8791208791208791,231.71808314323425
0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,36,log2,1,29,nan,nan,NA,NA,0.8827838827838828,240.83275628089905
0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,auto,15,22,nan,nan,NA,NA,0.8864468864468864,248.79221534729004
1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,46,log2,12,26,nan,nan,NA,NA,0.8803418803418803,256.5740623474121
