activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,13,gini,1,1,0,1,1,1,28,invscaling,85,sqrt,9,31,nnClassifier,2,6,adam,distance,0.9749552772808586,44.51637119008228
relu,ball_tree,25,gini,1,1,1,1,1,1,9,adaptive,79,sqrt,7,28,nnClassifier,3,6,adam,distance,0.9785330948121646,44.51642398908734
relu,ball_tree,25,entropy,1,1,0,1,1,1,38,adaptive,91,sqrt,9,38,nnClassifier,1,5,adam,distance,1.0,44.51646013907157
relu,ball_tree,14,entropy,1,1,0,1,1,1,21,adaptive,69,sqrt,12,33,nnClassifier,1,5,adam,distance,0.9740608228980322,44.516494918148965
relu,ball_tree,24,gini,1,1,1,1,1,1,9,invscaling,64,sqrt,5,19,nnClassifier,6,4,adam,distance,1.0,44.51653098803945
relu,ball_tree,26,gini,1,1,1,1,1,1,20,invscaling,87,sqrt,10,12,nnClassifier,3,6,adam,distance,0.9821109123434705,44.516565636964515
relu,ball_tree,25,gini,1,1,0,1,1,1,39,invscaling,67,sqrt,15,12,nnClassifier,1,5,adam,distance,0.9749552772808586,44.51660022698343
relu,ball_tree,14,gini,1,1,0,1,1,1,31,constant,28,sqrt,16,9,nnClassifier,2,4,adam,distance,0.9740608228980322,44.51663449709304
relu,ball_tree,21,gini,1,1,1,1,1,1,26,invscaling,83,sqrt,13,17,nnClassifier,1,5,adam,distance,0.9758497316636852,44.516669725999236
relu,ball_tree,15,gini,1,1,0,1,1,1,29,invscaling,36,auto,7,11,nnClassifier,5,2,adam,distance,0,44.516704376088455
relu,ball_tree,24,entropy,1,1,1,1,1,1,31,invscaling,34,auto,16,6,nnClassifier,9,3,adam,distance,0.9794275491949911,44.516738296020776
relu,auto,22,gini,1,1,0,1,1,1,13,constant,28,sqrt,9,23,nnClassifier,6,4,adam,distance,1.0,44.516772855073214
relu,ball_tree,13,gini,1,1,1,1,1,1,7,adaptive,92,sqrt,13,27,nnClassifier,2,5,adam,distance,0.9785330948121646,44.51680614496581
relu,ball_tree,25,gini,1,1,1,1,1,1,38,invscaling,18,sqrt,13,31,nnClassifier,6,5,adam,distance,1.0,44.516840134048834
relu,auto,23,gini,1,1,0,1,1,1,11,constant,13,sqrt,9,9,nnClassifier,3,6,adam,distance,0.9847942754919499,44.516888884129
relu,ball_tree,20,entropy,1,1,1,1,1,1,16,adaptive,29,sqrt,6,21,nnClassifier,2,5,adam,distance,0.9776386404293381,44.5169227339793
