activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,21,gini,1,1,1,0,0,1,25,constant,36,sqrt,12,19,nnClassifier,8,8,sgd,uniform,0.9776386404293381,86.30806309287436
relu,ball_tree,30,gini,0,0,1,0,0,1,25,adaptive,91,log2,12,23,nnClassifier,9,8,sgd,uniform,1.0,86.308125911979
relu,auto,30,gini,1,1,1,0,1,1,33,invscaling,79,log2,9,7,nnClassifier,6,7,adam,uniform,0.9874776386404294,86.30816150200553
relu,ball_tree,23,gini,0,1,1,0,1,1,6,adaptive,44,log2,12,16,nnClassifier,6,8,adam,distance,0.9821109123434705,86.30819722102024
relu,ball_tree,15,gini,1,1,1,0,1,1,34,invscaling,91,log2,10,13,nnClassifier,9,7,sgd,uniform,0.9856887298747764,86.30823238100857
relu,ball_tree,26,gini,1,1,1,0,1,1,27,invscaling,71,auto,12,23,nnClassifier,6,6,adam,uniform,0.9856887298747764,86.30826670001261
relu,ball_tree,14,gini,0,0,1,1,1,1,9,invscaling,92,sqrt,11,28,nnClassifier,5,8,adam,distance,0.9865831842576028,86.30830123904161
relu,ball_tree,16,gini,1,1,1,1,0,1,23,constant,63,log2,18,31,nnClassifier,8,4,sgd,distance,1.0,86.30833549890667
relu,auto,12,gini,1,1,1,1,1,1,12,constant,45,sqrt,9,26,nnClassifier,9,5,sgd,distance,1.0,86.30836957786232
relu,ball_tree,16,gini,1,0,1,1,1,1,5,invscaling,20,auto,16,20,nnClassifier,10,5,sgd,distance,0.9865831842576028,86.30840284796432
relu,auto,22,gini,0,1,1,0,0,1,15,adaptive,87,log2,13,21,nnClassifier,8,8,sgd,distance,0.9794275491949911,86.30843686684966
relu,auto,25,gini,0,1,1,1,0,1,18,constant,79,sqrt,12,24,nnClassifier,9,7,sgd,distance,0.981216457960644,86.30847060703672
relu,ball_tree,17,gini,1,1,1,0,0,1,25,invscaling,10,sqrt,12,15,nnClassifier,8,4,adam,distance,0.983005366726297,86.30850482592359
relu,ball_tree,24,gini,1,0,1,1,1,1,3,constant,53,log2,13,22,nnClassifier,6,7,sgd,distance,0.9865831842576028,86.30853937589563
relu,ball_tree,29,gini,0,1,1,0,0,1,12,constant,41,log2,7,35,nnClassifier,6,4,sgd,distance,1.0,86.3085737649817
relu,ball_tree,31,gini,1,1,1,0,1,1,34,constant,31,log2,8,13,nnClassifier,6,8,adam,uniform,1.0,86.30860702390783
relu,auto,20,gini,0,0,1,1,1,1,26,invscaling,13,auto,9,16,nnClassifier,9,8,sgd,distance,1.0,86.30864072404802
relu,ball_tree,26,gini,0,0,1,0,0,1,22,invscaling,16,auto,11,6,nnClassifier,10,10,adam,distance,0.9713774597495528,86.30867422302254
relu,ball_tree,27,gini,0,1,1,1,0,1,25,invscaling,82,log2,12,26,nnClassifier,9,6,sgd,distance,0.9749552772808586,86.30870906286873
relu,ball_tree,13,gini,1,1,1,0,1,1,36,adaptive,39,auto,16,22,nnClassifier,8,6,adam,distance,1.0,86.30874373205006
relu,auto,25,gini,1,1,1,1,1,1,25,constant,40,auto,13,23,nnClassifier,10,8,adam,distance,1.0,248.0145887900144
relu,auto,30,gini,1,1,1,1,1,1,25,constant,91,auto,12,23,nnClassifier,9,8,adam,distance,1.0,248.0146450388711
relu,auto,29,gini,1,1,1,1,1,1,29,constant,83,auto,13,11,nnClassifier,9,7,adam,distance,1.0,248.01467996882275
relu,auto,27,gini,1,1,1,1,1,1,10,constant,48,auto,11,20,nnClassifier,10,8,adam,distance,1.0,248.01471394789405
relu,auto,19,gini,1,1,1,1,1,1,30,constant,91,auto,10,16,nnClassifier,9,7,adam,distance,1.0,248.01474752789363
relu,auto,30,gini,1,1,1,1,1,1,25,constant,75,auto,10,22,nnClassifier,10,9,adam,distance,1.0,248.01478042686358
relu,auto,18,gini,1,1,1,1,1,1,13,constant,91,auto,14,24,nnClassifier,9,9,adam,distance,1.0,248.0148131570313
relu,auto,20,gini,1,1,1,1,1,1,20,constant,67,auto,16,30,nnClassifier,10,7,adam,distance,1.0,248.01484618592076
relu,auto,16,gini,1,1,1,1,1,1,16,constant,49,auto,12,22,nnClassifier,9,3,adam,distance,1.0,248.01487949490547
relu,auto,20,gini,1,1,1,1,1,1,9,constant,24,auto,12,24,nnClassifier,9,8,adam,distance,1.0,248.01491237501614
relu,auto,26,gini,1,1,1,1,1,1,19,constant,91,auto,11,24,nnClassifier,10,8,adam,distance,1.0,248.01494568400085
relu,auto,28,gini,1,1,1,1,1,1,22,constant,83,auto,12,26,nnClassifier,10,9,adam,distance,1.0,248.0149785040412
relu,auto,21,gini,1,1,1,1,1,1,24,constant,14,auto,10,19,nnClassifier,8,8,adam,distance,1.0,248.01501129288226
relu,auto,28,gini,1,1,1,1,1,1,7,constant,57,auto,14,24,nnClassifier,9,6,adam,distance,1.0,248.0150443930179
relu,auto,28,gini,1,1,1,1,1,1,16,constant,45,auto,11,31,nnClassifier,10,8,adam,distance,1.0,248.0150772719644
relu,auto,29,gini,1,1,1,1,1,1,36,constant,35,auto,5,16,nnClassifier,9,9,adam,distance,1.0,248.01511778193526
relu,auto,24,gini,1,1,1,1,1,1,26,constant,17,auto,10,17,nnClassifier,9,9,adam,distance,1.0,248.015151161002
relu,auto,30,gini,1,1,1,1,1,1,24,constant,20,auto,12,10,nnClassifier,10,10,adam,distance,1.0,248.01518404996023
relu,auto,29,gini,1,1,1,1,1,1,26,constant,86,auto,11,24,nnClassifier,10,10,adam,distance,1.0,248.01521711982787
relu,auto,17,gini,1,1,1,1,1,1,32,constant,43,auto,19,26,nnClassifier,9,10,adam,distance,1.0,248.0152498788666
relu,auto,27,gini,1,1,1,1,1,1,25,constant,44,auto,12,20,nnClassifier,10,8,adam,distance,1.0,355.0986685738899
relu,auto,30,gini,1,1,1,1,1,1,25,constant,91,auto,12,23,nnClassifier,9,8,adam,distance,1.0,355.09873196296394
relu,auto,30,gini,1,1,1,1,1,1,28,constant,79,auto,10,15,nnClassifier,7,8,adam,distance,1.0,355.09876823285595
relu,auto,25,gini,1,1,1,1,1,1,14,constant,52,auto,12,17,nnClassifier,10,8,adam,distance,1.0,355.0988022319507
relu,auto,23,gini,1,1,1,1,1,1,29,constant,91,auto,13,20,nnClassifier,9,8,adam,distance,1.0,355.0988369609695
relu,auto,26,gini,1,1,1,1,1,1,26,constant,79,auto,13,24,nnClassifier,7,6,adam,distance,1.0,355.09887164086103
relu,auto,18,gini,1,1,1,1,1,1,17,constant,92,auto,10,28,nnClassifier,10,9,adam,distance,1.0,355.0989067698829
relu,auto,24,gini,1,1,1,1,1,1,22,constant,71,auto,13,30,nnClassifier,6,9,adam,distance,1.0,355.09894180996343
relu,auto,17,gini,1,1,1,1,1,1,20,constant,53,auto,8,26,nnClassifier,9,3,adam,distance,1.0,355.098975779023
relu,auto,24,gini,1,1,1,1,1,1,13,constant,28,auto,15,22,nnClassifier,9,4,adam,distance,1.0,355.0990100989584
relu,auto,30,gini,1,1,1,1,1,1,23,constant,89,auto,13,25,nnClassifier,7,8,adam,distance,1.0,355.09904357790947
