activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,27,gini,1,1,1,1,1,1,26,constant,38,auto,17,16,nnClassifier,4,5,adam,distance,1.0,261.87729217810556
relu,auto,24,gini,1,1,1,1,1,1,24,constant,73,auto,20,16,nnClassifier,5,3,adam,distance,1.0,261.8773265071213
relu,auto,21,gini,1,1,1,1,1,1,30,constant,84,auto,11,10,nnClassifier,2,5,adam,distance,1.0,261.8773858959321
relu,auto,23,gini,1,1,1,1,1,1,27,constant,85,auto,13,15,nnClassifier,7,2,adam,distance,1.0,261.87742017488927
relu,auto,26,gini,1,1,1,1,1,1,26,constant,48,auto,19,18,nnClassifier,9,1,adam,distance,1.0,261.87745368503965
relu,auto,23,gini,1,1,1,1,1,1,26,constant,30,auto,15,22,nnClassifier,6,2,adam,distance,1.0,261.87748802406713
relu,auto,25,gini,1,1,1,1,1,1,24,constant,23,auto,19,14,nnClassifier,7,2,adam,distance,1.0,261.8775219230447
relu,auto,21,gini,1,1,1,1,1,1,17,constant,81,auto,17,31,nnClassifier,9,2,adam,distance,1.0,261.8775560229551
relu,auto,25,gini,1,1,1,1,1,1,17,constant,30,auto,11,16,nnClassifier,5,1,adam,distance,1.0,261.8775897519663
relu,auto,24,gini,1,1,1,1,1,1,26,constant,33,auto,16,15,nnClassifier,7,2,adam,distance,1.0,261.8776234011166
relu,auto,27,gini,1,1,1,1,1,1,10,constant,45,auto,16,14,nnClassifier,7,3,adam,distance,1.0,261.8776569010224
relu,auto,25,gini,1,1,1,1,1,1,25,constant,40,auto,14,17,nnClassifier,7,1,adam,distance,1.0,261.8776900700759
relu,auto,23,gini,1,1,1,1,1,1,21,constant,74,auto,19,15,nnClassifier,8,2,adam,distance,1.0,261.87772339908406
relu,auto,13,gini,1,1,1,1,1,1,21,constant,69,auto,20,29,nnClassifier,7,5,adam,distance,1.0,261.8777570389211
relu,auto,25,gini,1,1,1,1,1,1,16,constant,20,auto,18,21,nnClassifier,7,5,adam,distance,1.0,261.8777905879542
relu,auto,27,gini,1,1,1,1,1,1,26,constant,55,auto,18,25,nnClassifier,6,4,adam,distance,1.0,261.87782380799763
relu,auto,19,gini,1,1,1,1,1,1,19,constant,48,auto,19,25,nnClassifier,4,3,adam,distance,1.0,367.9121486390941
relu,auto,21,gini,1,1,1,1,1,1,27,constant,71,auto,19,14,nnClassifier,5,2,adam,distance,1.0,367.91220131795853
relu,auto,22,gini,1,1,1,1,1,1,30,constant,44,auto,15,20,nnClassifier,5,2,adam,distance,1.0,367.91223628795706
relu,auto,26,gini,1,1,1,1,1,1,25,constant,29,auto,19,16,nnClassifier,7,2,adam,distance,1.0,367.9122701170854
