,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,0,1,0,1,0,kneighborsRegressor,None,auto,None,None,3,None,None,None,None,None,None,5,None,uniform,0.2625460810219422,ok,0.2118234201334417
1,1,1,1,0,0,0,0,1,nnRegressor,relu,None,14.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.34235379084942563,ok,3.1687079342082143
2,0,1,0,0,0,1,1,0,randomForestRegressor,None,None,None,mae,None,None,28.0,sqrt,2.0,35.0,None,None,None,None,0.050815670986947836,ok,23.98495880700648
3,0,0,0,1,0,0,0,1,randomForestRegressor,None,None,None,mae,None,None,45.0,log2,6.0,8.0,None,None,None,None,-0.007301276580897076,ok,50.68082729401067
4,0,1,0,0,1,1,1,1,nnRegressor,tanh,None,18.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.2758461958020427,ok,54.54057900211774
5,0,1,0,1,1,0,0,1,kneighborsRegressor,None,auto,None,None,15,None,None,None,None,None,None,9,None,uniform,0.026640896289881533,ok,54.56765303411521
6,0,1,0,1,1,1,0,1,randomForestRegressor,None,None,None,poisson,None,None,36.0,log2,13.0,12.0,None,None,None,None,0.11362693297858639,ok,58.25842462503351
7,0,0,1,1,1,1,0,0,randomForestRegressor,None,None,None,mae,None,None,38.0,sqrt,16.0,19.0,None,None,None,None,0.46401711247726074,ok,83.80318759009242
8,0,1,1,1,1,0,0,0,kneighborsRegressor,None,brute,None,None,39,None,None,None,None,None,None,9,None,distance,0.3107574280852591,ok,83.91782249207608
9,1,1,0,0,1,1,0,0,randomForestRegressor,None,None,None,mae,None,None,69.0,log2,7.0,22.0,None,None,None,None,0.08047617100506643,ok,112.85835269815288
10,1,1,1,0,0,0,1,0,randomForestRegressor,None,None,None,poisson,None,None,77.0,sqrt,6.0,8.0,None,None,None,None,0.31891952900354703,ok,118.15737823117524
11,0,1,0,0,1,1,1,0,randomForestRegressor,None,None,None,mse,None,None,93.0,sqrt,9.0,6.0,None,None,None,None,0.19157014496467195,ok,119.22561975708231
12,0,1,1,1,0,0,1,0,randomForestRegressor,None,None,None,mse,None,None,54.0,log2,13.0,38.0,None,None,None,None,0.38861381872007617,ok,120.18425220507197
13,0,0,1,0,1,0,1,0,randomForestRegressor,None,None,None,mae,None,None,69.0,log2,3.0,36.0,None,None,None,None,0.38585136863962854,ok,136.69413774600253
14,1,0,1,0,0,1,1,1,nnRegressor,logistic,None,30.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,0.37088308442785844,ok,137.46525110001676
15,0,1,0,0,0,0,0,0,kneighborsRegressor,None,brute,None,None,28,None,None,None,None,None,None,1,None,uniform,-0.8986781133335775,ok,137.5273956300225
16,0,0,1,0,1,0,0,1,nnRegressor,identity,None,18.0,None,None,constant,None,None,None,None,3.0,None,sgd,None,0.3393381975312504,ok,138.76771786808968
17,0,0,0,1,1,0,0,1,randomForestRegressor,None,None,None,mae,None,None,89.0,sqrt,17.0,15.0,None,None,None,None,0.09395981061676173,ok,158.3102384430822
18,0,1,0,0,0,0,0,0,nnRegressor,tanh,None,32.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.013007187978921642,ok,158.88373759714887
19,0,1,0,1,1,0,0,0,nnRegressor,tanh,None,12.0,None,None,adaptive,None,None,None,None,8.0,None,lbfgs,None,0.07637217778854732,ok,159.96045648120344
20,0,0,1,1,0,1,1,0,randomForestRegressor,None,None,None,mse,None,None,2.0,auto,16.0,27.0,None,None,None,None,0.29712130913314305,ok,160.67187178810127
