,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
74,0,0,1,1,1,1,1,1,nnRegressor,tanh,None,22.0,None,None,constant,None,None,None,None,3.0,None,sgd,None,0.712789456176887,ok,338.04715563496575
75,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,20.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.8047788995085732,ok,341.67639481904916
76,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,20.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.8047788995085732,ok,345.32477510301396
77,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,25.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,0.40618354833752746,ok,346.0668529220857
78,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,21.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.7774623448914131,ok,349.92907487391494
79,0,0,0,1,1,1,1,0,nnRegressor,logistic,None,18.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.1520093368905059,ok,351.467474920908
80,0,0,1,0,1,1,0,1,nnRegressor,logistic,None,23.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,0.43584556378788697,ok,355.22314266790636
81,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,28.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.8114099498919827,ok,359.3030169538688
82,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,29.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.8114099498919827,ok,363.3801162710879
83,0,0,1,1,1,1,1,0,nnRegressor,tanh,None,30.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.7064145049578381,ok,368.1800056688953
84,0,0,0,1,1,1,1,1,nnRegressor,logistic,None,26.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.4324516267785804,ok,374.17336567491293
85,0,0,1,0,1,1,0,1,nnRegressor,tanh,None,32.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.4453501847659239,ok,378.982132115867
86,0,0,1,1,1,1,1,1,randomForestRegressor,None,None,None,mae,None,None,34.0,log2,13.0,40.0,None,None,None,None,0.6337583273176361,ok,405.6002366980538
87,0,0,1,1,1,1,1,1,nnRegressor,identity,None,31.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.4018185662681273,ok,405.68765515694395
88,0,0,0,1,1,1,1,0,nnRegressor,relu,None,27.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.277116251616343,ok,408.68646753090434
89,0,0,1,0,1,1,0,1,nnRegressor,tanh,None,16.0,None,None,invscaling,None,None,None,None,3.0,None,lbfgs,None,0.4453501847659239,ok,413.42327884887345
90,0,0,1,1,1,1,1,1,nnRegressor,tanh,None,14.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.8338710401808735,ok,421.4500286739785
91,0,0,1,1,1,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,16.0,log2,4.0,19.0,None,None,None,None,0.14479963687612196,ok,424.0727482479997
92,0,0,0,1,1,1,1,0,nnRegressor,tanh,None,14.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.30580768148777704,ok,433.593533314066
93,0,0,1,0,1,1,1,1,nnRegressor,tanh,None,12.0,None,None,constant,None,None,None,None,7.0,None,adam,None,0.638098246680932,ok,438.39239977207035
94,0,0,1,1,1,1,0,1,nnRegressor,tanh,None,11.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.5261896958879764,ok,448.4124410948716
95,0,0,1,1,0,1,1,1,randomForestRegressor,None,None,None,mae,None,None,88.0,sqrt,7.0,13.0,None,None,None,None,0.505365975746485,ok,476.1928627579473
96,0,0,1,1,1,1,1,1,nnRegressor,tanh,None,9.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.8302265059079386,ok,486.5561783029698
97,1,0,0,1,1,1,1,0,nnRegressor,tanh,None,14.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.3196204234341191,ok,493.3881809860468
98,0,0,1,0,0,1,1,1,nnRegressor,tanh,None,9.0,None,None,invscaling,None,None,None,None,7.0,None,adam,None,0.3846596765828513,ok,501.8117232960649
99,0,0,1,1,1,1,0,1,nnRegressor,tanh,None,18.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.5166199565710442,ok,509.6370854289271
