activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,26,entropy,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,27,adaptive,22,sqrt,9,18,nnClassifier,8,7,lbfgs,uniform,0.21389396709323583
relu,ball_tree,17,entropy,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,15,adaptive,84,auto,14,8,randomForestClassifier,6,1,adam,uniform,0.5639853747714808
logistic,kd_tree,11,entropy,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,12,adaptive,81,log2,8,35,kneighborsClassifier,6,8,lbfgs,distance,0.4469835466179159
logistic,ball_tree,25,entropy,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,23,invscaling,34,log2,4,8,randomForestClassifier,8,5,lbfgs,distance,0.5740402193784278
tanh,ball_tree,30,gini,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,13,adaptive,44,log2,3,25,randomForestClassifier,8,4,sgd,uniform,0.46983546617915906
relu,brute,15,entropy,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,11,constant,83,auto,18,13,kneighborsClassifier,4,5,adam,uniform,0.4031078610603291
tanh,brute,22,gini,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,4,invscaling,94,auto,14,38,randomForestClassifier,3,6,sgd,uniform,0.5658135283363802
relu,kd_tree,29,gini,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,3,adaptive,89,auto,16,21,randomForestClassifier,1,4,lbfgs,distance,0.5274223034734917
identity,ball_tree,18,gini,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,26,constant,60,sqrt,19,16,kneighborsClassifier,4,3,adam,distance,0.5073126142595978
tanh,auto,11,gini,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,20,adaptive,16,log2,10,36,kneighborsClassifier,6,7,sgd,distance,0.44424131627056673
identity,auto,25,entropy,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,4,invscaling,19,sqrt,20,14,nnClassifier,1,2,sgd,distance,0.0603290676416819
logistic,kd_tree,25,entropy,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,5,adaptive,14,log2,13,38,kneighborsClassifier,10,7,adam,uniform,0.49177330895795246
logistic,ball_tree,27,entropy,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,10,adaptive,75,log2,14,17,kneighborsClassifier,4,10,sgd,uniform,0.41773308957952465
relu,auto,23,gini,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,40,adaptive,87,sqrt,9,12,kneighborsClassifier,4,4,adam,uniform,0.4954296160877514
