activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,27,gini,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,26,constant,93,auto,11,28,kneighborsClassifier,9,3,sgd,distance,0.4606946983546618
logistic,ball_tree,13,entropy,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,10,invscaling,53,log2,2,14,nnClassifier,1,6,lbfgs,distance,0.08135283363802559
identity,kd_tree,15,gini,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,27,invscaling,78,auto,19,15,randomForestClassifier,5,3,adam,distance,0.5127970749542962
logistic,auto,18,entropy,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,38,adaptive,42,sqrt,17,38,randomForestClassifier,6,5,adam,distance,0.5292504570383912
relu,auto,15,gini,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,23,adaptive,73,auto,17,9,kneighborsClassifier,6,2,lbfgs,uniform,0.42778793418647165
identity,kd_tree,27,gini,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,19,constant,87,sqrt,20,37,nnClassifier,9,3,lbfgs,uniform,0.0356489945155393
logistic,kd_tree,21,entropy,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,35,adaptive,46,log2,11,25,randomForestClassifier,9,5,adam,distance,0.5914076782449725
identity,auto,22,gini,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,9,constant,26,log2,10,15,kneighborsClassifier,8,6,lbfgs,uniform,0.44972577696526506
identity,auto,16,gini,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,11,adaptive,62,log2,6,27,kneighborsClassifier,3,7,lbfgs,uniform,0.4570383912248629
tanh,brute,30,entropy,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,3,constant,61,log2,13,30,nnClassifier,2,4,sgd,uniform,0.263254113345521
logistic,brute,25,gini,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,24,constant,76,sqrt,2,4,randomForestClassifier,6,2,lbfgs,uniform,0.5639853747714808
relu,brute,23,entropy,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,21,adaptive,58,log2,9,30,randomForestClassifier,1,2,sgd,uniform,0.6051188299817185
identity,kd_tree,24,entropy,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,26,adaptive,34,log2,14,21,randomForestClassifier,9,7,sgd,uniform,0.4963436928702011
identity,kd_tree,9,entropy,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,40,invscaling,75,auto,16,2,randomForestClassifier,8,5,adam,distance,0.5164533820840951
tanh,brute,25,gini,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,31,adaptive,8,auto,7,21,nnClassifier,6,9,sgd,uniform,0.2303473491773309
logistic,auto,20,gini,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,38,invscaling,5,log2,18,24,kneighborsClassifier,10,4,lbfgs,uniform,0.43418647166361973
logistic,kd_tree,15,gini,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,35,constant,78,auto,6,16,randomForestClassifier,2,6,sgd,uniform,0.5036563071297989
logistic,ball_tree,16,gini,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,8,adaptive,53,auto,6,39,nnClassifier,4,10,sgd,uniform,0.09597806215722121
logistic,brute,32,gini,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,26,invscaling,93,log2,4,22,nnClassifier,9,9,adam,uniform,0.10603290676416818
identity,brute,28,gini,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,35,constant,26,auto,11,40,kneighborsClassifier,2,10,lbfgs,distance,0.46526508226691043
relu,brute,23,entropy,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,21,adaptive,58,log2,9,30,randomForestClassifier,1,2,sgd,uniform,0.6051188299817185
logistic,kd_tree,21,entropy,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,35,adaptive,46,log2,11,25,randomForestClassifier,9,5,adam,distance,0.5914076782449725
logistic,brute,25,gini,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,24,constant,76,sqrt,2,4,randomForestClassifier,6,2,lbfgs,uniform,0.5639853747714808
logistic,auto,18,entropy,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,38,adaptive,42,sqrt,17,38,randomForestClassifier,6,5,adam,distance,0.5292504570383912
identity,kd_tree,9,entropy,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,40,invscaling,75,auto,16,2,randomForestClassifier,8,5,adam,distance,0.5164533820840951
identity,kd_tree,15,gini,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,27,invscaling,78,auto,19,15,randomForestClassifier,5,3,adam,distance,0.5127970749542962
logistic,kd_tree,15,gini,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,35,constant,78,auto,6,16,randomForestClassifier,2,6,sgd,uniform,0.5036563071297989
