activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,25,entropy,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,19,adaptive,58,sqrt,6,22,nnClassifier,10,3,sgd,uniform,0.19744058500914077
logistic,auto,31,gini,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,31,constant,8,sqrt,16,12,kneighborsClassifier,9,7,adam,uniform,0.45429616087751373
identity,ball_tree,24,entropy,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,40,constant,5,log2,17,18,randomForestClassifier,8,7,lbfgs,distance,0.5219378427787934
tanh,auto,20,entropy,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,20,adaptive,7,log2,18,15,randomForestClassifier,2,2,adam,uniform,0.5301645338208409
tanh,kd_tree,22,entropy,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,5,invscaling,17,log2,8,16,kneighborsClassifier,1,6,sgd,distance,0.4926873857404022
identity,kd_tree,18,entropy,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,19,adaptive,75,auto,6,5,nnClassifier,4,7,lbfgs,uniform,0.05393053016453382
logistic,kd_tree,24,entropy,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,11,constant,89,log2,3,8,kneighborsClassifier,8,8,lbfgs,uniform,0.49177330895795246
logistic,ball_tree,21,entropy,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,9,invscaling,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.5548446069469836
relu,kd_tree,10,gini,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,15,adaptive,17,auto,2,28,nnClassifier,1,10,adam,uniform,0.21480804387568556
tanh,brute,15,gini,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5557586837294333
logistic,auto,32,entropy,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,30,constant,19,auto,13,23,nnClassifier,1,10,sgd,distance,0.0
tanh,auto,31,entropy,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,36,constant,4,sqrt,14,19,randomForestClassifier,8,6,adam,distance,0.473491773308958
identity,brute,10,entropy,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,16,constant,9,sqrt,11,33,randomForestClassifier,9,2,sgd,uniform,0.5237659963436929
tanh,kd_tree,31,entropy,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,10,adaptive,18,log2,8,20,kneighborsClassifier,7,7,lbfgs,uniform,0.42321755027422303
logistic,ball_tree,12,gini,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,40,invscaling,97,sqrt,7,25,nnClassifier,4,8,lbfgs,distance,0.09414990859232175
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,5,adaptive,20,sqrt,5,11,randomForestClassifier,8,4,sgd,distance,0.5594149908592322
identity,kd_tree,30,gini,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,15,constant,32,log2,18,24,nnClassifier,8,4,adam,distance,0.051188299817184646
relu,auto,17,entropy,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,31,constant,67,auto,16,7,nnClassifier,7,4,lbfgs,uniform,0.2586837294332724
identity,auto,19,entropy,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,19,adaptive,27,sqrt,9,9,kneighborsClassifier,5,9,adam,uniform,0.4076782449725777
tanh,ball_tree,25,gini,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,35,constant,92,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5594149908592322
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,5,adaptive,20,sqrt,5,11,randomForestClassifier,8,4,sgd,distance,0.5594149908592322
tanh,ball_tree,25,gini,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,35,constant,92,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5594149908592322
tanh,brute,15,gini,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5557586837294333
logistic,ball_tree,21,entropy,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,9,invscaling,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.5548446069469836
tanh,auto,20,entropy,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,20,adaptive,7,log2,18,15,randomForestClassifier,2,2,adam,uniform,0.5301645338208409
identity,brute,10,entropy,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,16,constant,9,sqrt,11,33,randomForestClassifier,9,2,sgd,uniform,0.5237659963436929
identity,ball_tree,24,entropy,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,40,constant,5,log2,17,18,randomForestClassifier,8,7,lbfgs,distance,0.5219378427787934
tanh,kd_tree,22,entropy,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,5,invscaling,17,log2,8,16,kneighborsClassifier,1,6,sgd,distance,0.4926873857404022
logistic,kd_tree,24,entropy,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,11,constant,89,log2,3,8,kneighborsClassifier,8,8,lbfgs,uniform,0.49177330895795246
tanh,auto,31,entropy,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,36,constant,4,sqrt,14,19,randomForestClassifier,8,6,adam,distance,0.473491773308958
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,35,constant,51,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5511882998171846
tanh,ball_tree,25,gini,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5420475319926874
tanh,brute,15,gini,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,9,invscaling,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.5374771480804388
logistic,ball_tree,21,entropy,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,20,adaptive,7,log2,19,15,randomForestClassifier,2,2,adam,uniform,0.5228519195612431
tanh,auto,20,entropy,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,16,invscaling,9,sqrt,11,33,randomForestClassifier,9,2,sgd,uniform,0.5246800731261426
identity,brute,10,entropy,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,40,constant,42,log2,17,18,randomForestClassifier,8,7,lbfgs,distance,0.5575868372943327
identity,ball_tree,24,entropy,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,5,invscaling,17,log2,8,16,kneighborsClassifier,1,6,sgd,distance,0.46983546617915906
tanh,kd_tree,22,entropy,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,11,constant,89,log2,3,8,kneighborsClassifier,8,8,lbfgs,distance,0.556672760511883
logistic,kd_tree,24,entropy,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,36,constant,4,sqrt,14,19,kneighborsClassifier,8,6,adam,distance,0.4515539305301645
tanh,auto,31,entropy,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,5,adaptive,20,sqrt,5,11,nnClassifier,8,4,sgd,distance,0.1809872029250457
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,5,adaptive,20,sqrt,5,11,randomForestClassifier,8,4,sgd,distance,0.5594149908592322
tanh,ball_tree,25,gini,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,35,constant,92,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5594149908592322
identity,brute,10,entropy,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,40,constant,42,log2,17,18,randomForestClassifier,8,7,lbfgs,distance,0.5575868372943327
tanh,kd_tree,22,entropy,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,11,constant,89,log2,3,8,kneighborsClassifier,8,8,lbfgs,distance,0.556672760511883
tanh,brute,15,gini,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5557586837294333
logistic,ball_tree,21,entropy,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,9,invscaling,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.5548446069469836
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,35,constant,51,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5511882998171846
tanh,ball_tree,25,gini,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5420475319926874
tanh,brute,15,gini,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,9,invscaling,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.5374771480804388
tanh,auto,20,entropy,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,20,adaptive,7,log2,18,15,randomForestClassifier,2,2,adam,uniform,0.5301645338208409
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,4,constant,92,log2,7,28,randomForestClassifier,8,5,lbfgs,uniform,0.5722120658135283
tanh,ball_tree,25,gini,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,40,constant,42,log2,17,18,randomForestClassifier,8,7,lbfgs,distance,0.5237659963436929
identity,brute,10,entropy,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,11,constant,89,log2,3,8,kneighborsClassifier,8,8,lbfgs,distance,0.5447897623400365
tanh,kd_tree,22,entropy,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5548446069469836
tanh,brute,15,gini,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,9,invscaling,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.5429616087751371
logistic,ball_tree,21,entropy,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,35,constant,51,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5237659963436929
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,adam,distance,0.5429616087751371
tanh,ball_tree,25,gini,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,9,invscaling,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.5365630712979891
tanh,brute,18,gini,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,20,adaptive,7,log2,18,15,randomForestClassifier,2,2,adam,uniform,0.5310786106032906
tanh,auto,20,entropy,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,5,adaptive,20,sqrt,5,11,randomForestClassifier,8,4,sgd,distance,0.5859232175502742
tanh,auto,20,entropy,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,5,adaptive,20,sqrt,5,11,randomForestClassifier,8,4,sgd,distance,0.5859232175502742
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,4,constant,92,log2,7,28,randomForestClassifier,8,5,lbfgs,uniform,0.5722120658135283
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,5,adaptive,20,sqrt,5,11,randomForestClassifier,8,4,sgd,distance,0.5594149908592322
tanh,ball_tree,25,gini,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,35,constant,92,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5594149908592322
identity,brute,10,entropy,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,40,constant,42,log2,17,18,randomForestClassifier,8,7,lbfgs,distance,0.5575868372943327
tanh,kd_tree,22,entropy,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,11,constant,89,log2,3,8,kneighborsClassifier,8,8,lbfgs,distance,0.556672760511883
tanh,brute,15,gini,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5557586837294333
logistic,ball_tree,21,entropy,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,9,invscaling,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.5548446069469836
tanh,kd_tree,22,entropy,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5548446069469836
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,35,constant,51,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5511882998171846
tanh,auto,20,entropy,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,4,constant,92,log2,7,28,randomForestClassifier,8,5,lbfgs,uniform,0.6005484460694699
logistic,kd_tree,23,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,5,adaptive,20,sqrt,5,11,randomForestClassifier,8,4,sgd,distance,0.56672760511883
logistic,kd_tree,14,gini,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,35,constant,92,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.5511882998171846
tanh,ball_tree,25,gini,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,40,constant,42,log2,4,18,randomForestClassifier,8,7,lbfgs,distance,0.5054844606946983
identity,brute,10,entropy,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,11,constant,89,log2,3,8,kneighborsClassifier,8,8,lbfgs,distance,0.5347349177330896
tanh,kd_tree,22,entropy,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5511882998171846
tanh,brute,15,gini,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,9,adaptive,99,auto,12,4,randomForestClassifier,1,3,sgd,distance,0.546617915904936
logistic,ball_tree,24,entropy,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,13,adaptive,41,sqrt,17,4,randomForestClassifier,9,7,lbfgs,distance,0.5274223034734917
tanh,kd_tree,22,entropy,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,32,constant,51,log2,19,28,randomForestClassifier,8,5,lbfgs,uniform,0.596892138939671
