activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,20,gini,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,33,adaptive,76,sqrt,2,22,randomForestClassifier,1,6,lbfgs,uniform,0.5255941499085923
tanh,ball_tree,11,gini,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,30,adaptive,35,sqrt,10,31,kneighborsClassifier,2,1,adam,distance,0.4424131627056673
identity,brute,31,entropy,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,19,constant,84,log2,6,19,randomForestClassifier,5,7,lbfgs,distance,0.6371115173674589
tanh,brute,23,entropy,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,4,constant,96,auto,8,34,randomForestClassifier,2,9,lbfgs,uniform,0.5685557586837294
identity,kd_tree,22,gini,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,21,invscaling,89,log2,8,27,nnClassifier,10,4,lbfgs,uniform,0.04113345521023766
logistic,auto,9,entropy,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,21,adaptive,49,auto,10,16,nnClassifier,10,6,sgd,distance,0.11882998171846434
logistic,brute,20,gini,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,5,invscaling,32,sqrt,18,2,nnClassifier,3,5,lbfgs,distance,0.09689213893967093
logistic,brute,25,entropy,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,28,adaptive,54,sqrt,3,17,kneighborsClassifier,6,6,lbfgs,distance,0.4369287020109689
tanh,kd_tree,26,gini,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,27,invscaling,1,auto,4,29,randomForestClassifier,1,3,adam,distance,0.5978062157221207
identity,kd_tree,30,gini,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,21,adaptive,75,sqrt,12,8,nnClassifier,10,4,adam,distance,0.027422303473491772
identity,ball_tree,21,entropy,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,20,constant,1,sqrt,9,6,kneighborsClassifier,8,2,adam,uniform,0.489945155393053
identity,brute,27,gini,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,3,constant,75,auto,14,35,kneighborsClassifier,7,2,sgd,uniform,0.4515539305301645
relu,kd_tree,18,gini,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,8,adaptive,32,sqrt,16,14,nnClassifier,1,7,sgd,uniform,0.062157221206581355
tanh,brute,32,entropy,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,29,constant,26,auto,4,25,randomForestClassifier,6,9,lbfgs,distance,0.5612431444241316
tanh,auto,21,entropy,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,14,invscaling,95,sqrt,15,5,randomForestClassifier,8,10,sgd,distance,0.5447897623400365
logistic,auto,14,gini,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,29,constant,95,auto,4,20,nnClassifier,2,2,lbfgs,distance,0.048446069469835464
tanh,auto,11,entropy,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,36,adaptive,3,sqrt,16,33,kneighborsClassifier,1,2,lbfgs,distance,0.5630712979890311
relu,brute,16,gini,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,3,constant,54,log2,12,12,kneighborsClassifier,8,10,adam,uniform,0.4305301645338208
