activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,14,entropy,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,18,adaptive,54,log2,17,39,nnClassifier,7,3,adam,distance,0.5203619909502263
identity,auto,10,gini,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,25,adaptive,57,log2,17,8,kneighborsClassifier,1,9,adam,distance,0.8081447963800905
logistic,brute,32,entropy,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,8,adaptive,53,auto,3,19,kneighborsClassifier,6,1,adam,distance,0.8371040723981901
logistic,ball_tree,31,entropy,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,8,constant,6,log2,17,14,kneighborsClassifier,3,2,lbfgs,uniform,0.918552036199095
identity,ball_tree,18,entropy,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,28,invscaling,63,auto,14,40,randomForestClassifier,4,9,adam,uniform,0.8995475113122172
identity,ball_tree,22,gini,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,2,invscaling,12,sqrt,18,23,kneighborsClassifier,3,8,lbfgs,uniform,0.9004524886877828
identity,auto,29,entropy,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,12,invscaling,50,log2,5,12,randomForestClassifier,7,5,adam,uniform,0.9357466063348416
logistic,auto,13,gini,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,30,constant,94,auto,15,4,kneighborsClassifier,5,2,adam,distance,0.8787330316742081
tanh,ball_tree,32,gini,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,24,constant,15,log2,10,37,kneighborsClassifier,8,1,lbfgs,distance,0.8343891402714932
tanh,ball_tree,8,entropy,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,37,adaptive,96,sqrt,14,38,nnClassifier,9,8,sgd,distance,0.5239819004524887
identity,auto,28,entropy,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,20,invscaling,22,auto,15,26,nnClassifier,8,10,adam,uniform,0.5212669683257919
logistic,ball_tree,29,gini,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,20,adaptive,56,log2,4,4,nnClassifier,7,3,sgd,distance,0.5248868778280543
tanh,brute,32,gini,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,2,constant,11,log2,8,8,kneighborsClassifier,3,7,lbfgs,uniform,0.8796380090497737
identity,ball_tree,14,entropy,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,13,constant,94,sqrt,13,11,randomForestClassifier,3,10,sgd,distance,0.9076923076923077
tanh,ball_tree,13,entropy,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,19,constant,80,auto,11,27,kneighborsClassifier,2,5,sgd,uniform,0.9466063348416289
identity,auto,24,entropy,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,26,adaptive,80,auto,4,15,nnClassifier,10,10,adam,uniform,0.5257918552036199
logistic,auto,23,gini,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,19,invscaling,41,log2,18,25,nnClassifier,6,10,lbfgs,distance,0.5194570135746607
logistic,brute,21,gini,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,6,constant,36,auto,15,5,kneighborsClassifier,4,9,lbfgs,uniform,0.9031674208144796
identity,brute,23,gini,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,26,invscaling,73,sqrt,20,29,kneighborsClassifier,6,10,sgd,distance,0.9167420814479638
logistic,kd_tree,17,entropy,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,27,invscaling,51,log2,8,16,kneighborsClassifier,1,2,lbfgs,uniform,0.9457013574660633
tanh,ball_tree,13,entropy,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,19,constant,80,auto,11,27,kneighborsClassifier,2,5,sgd,uniform,0.9466063348416289
logistic,kd_tree,17,entropy,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,27,invscaling,51,log2,8,16,kneighborsClassifier,1,2,lbfgs,uniform,0.9457013574660633
identity,auto,29,entropy,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,12,invscaling,50,log2,5,12,randomForestClassifier,7,5,adam,uniform,0.9357466063348416
logistic,ball_tree,31,entropy,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,8,constant,6,log2,17,14,kneighborsClassifier,3,2,lbfgs,uniform,0.918552036199095
identity,brute,23,gini,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,26,invscaling,73,sqrt,20,29,kneighborsClassifier,6,10,sgd,distance,0.9167420814479638
identity,ball_tree,14,entropy,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,13,constant,94,sqrt,13,11,randomForestClassifier,3,10,sgd,distance,0.9076923076923077
logistic,brute,21,gini,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,6,constant,36,auto,15,5,kneighborsClassifier,4,9,lbfgs,uniform,0.9031674208144796
identity,ball_tree,22,gini,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,2,invscaling,12,sqrt,18,23,kneighborsClassifier,3,8,lbfgs,uniform,0.9004524886877828
identity,ball_tree,18,entropy,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,28,invscaling,63,auto,14,40,randomForestClassifier,4,9,adam,uniform,0.8995475113122172
tanh,brute,32,gini,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,2,constant,11,log2,8,8,kneighborsClassifier,3,7,lbfgs,uniform,0.8796380090497737
tanh,ball_tree,13,entropy,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,27,invscaling,51,log2,8,16,kneighborsClassifier,1,2,lbfgs,uniform,0.9375565610859729
logistic,kd_tree,17,entropy,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,12,invscaling,50,log2,5,12,randomForestClassifier,7,5,adam,uniform,0.9520361990950226
identity,auto,29,entropy,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,8,constant,6,log2,13,14,kneighborsClassifier,3,2,adam,uniform,0.9366515837104072
logistic,ball_tree,31,entropy,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,26,invscaling,73,sqrt,20,29,kneighborsClassifier,6,10,sgd,distance,0.9447963800904977
identity,ball_tree,23,gini,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,13,constant,94,sqrt,13,11,randomForestClassifier,3,10,sgd,distance,0.8959276018099548
identity,ball_tree,14,entropy,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,6,constant,36,auto,15,5,kneighborsClassifier,4,9,lbfgs,uniform,0.8868778280542986
