activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,30,entropy,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,8,adaptive,12,auto,18,40,nnClassifier,8,3,lbfgs,uniform,0.5176470588235295
identity,brute,10,entropy,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,35,invscaling,62,log2,20,14,kneighborsClassifier,5,8,lbfgs,uniform,0.8045248868778281
logistic,auto,12,gini,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,27,constant,80,auto,14,22,nnClassifier,5,4,adam,uniform,0.5149321266968325
identity,ball_tree,17,gini,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,25,invscaling,20,sqrt,16,33,kneighborsClassifier,3,8,sgd,distance,0.8190045248868778
tanh,brute,10,gini,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,26,invscaling,44,auto,9,21,kneighborsClassifier,4,6,sgd,distance,0.8615384615384616
identity,auto,10,gini,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,26,constant,48,sqrt,9,6,nnClassifier,6,2,adam,uniform,0.5212669683257919
logistic,auto,16,gini,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,22,invscaling,30,auto,12,2,nnClassifier,10,2,sgd,uniform,0.5565610859728507
logistic,brute,21,entropy,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,35,adaptive,80,auto,10,35,kneighborsClassifier,2,3,lbfgs,uniform,0.9076923076923077
relu,brute,27,entropy,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,28,constant,95,log2,8,7,kneighborsClassifier,3,8,lbfgs,distance,0.8669683257918552
tanh,kd_tree,16,gini,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,29,adaptive,74,log2,7,7,nnClassifier,6,4,adam,uniform,0.5085972850678733
tanh,kd_tree,27,entropy,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,15,invscaling,56,auto,6,18,randomForestClassifier,4,5,sgd,uniform,0.7538461538461538
logistic,ball_tree,8,gini,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,12,invscaling,79,log2,8,10,randomForestClassifier,10,8,adam,uniform,0.8832579185520362
tanh,kd_tree,24,entropy,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,16,adaptive,64,sqrt,6,27,randomForestClassifier,8,6,sgd,uniform,0.930316742081448
logistic,ball_tree,31,entropy,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,27,constant,65,sqrt,8,8,nnClassifier,7,8,adam,uniform,0.5140271493212669
tanh,auto,28,entropy,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,3,constant,40,sqrt,2,7,kneighborsClassifier,3,3,adam,distance,0.8742081447963801
