activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,30,gini,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,4,adaptive,80,auto,7,10,nnClassifier,8,9,lbfgs,distance,0.49592760180995477
relu,auto,28,gini,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,7,adaptive,4,sqrt,8,10,randomForestClassifier,3,6,sgd,distance,0.8723981900452489
tanh,auto,32,gini,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,37,constant,8,log2,16,17,kneighborsClassifier,8,3,adam,uniform,0.869683257918552
identity,kd_tree,24,gini,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,32,invscaling,2,sqrt,10,19,kneighborsClassifier,4,3,sgd,distance,0.9285067873303168
tanh,kd_tree,30,gini,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,23,adaptive,7,auto,4,22,nnClassifier,7,9,adam,distance,0.4995475113122172
logistic,auto,24,entropy,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,4,invscaling,67,auto,9,32,randomForestClassifier,5,2,adam,distance,0.7665158371040725
logistic,brute,14,gini,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,27,invscaling,65,log2,19,37,kneighborsClassifier,2,7,lbfgs,distance,0.8959276018099548
relu,kd_tree,18,entropy,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,29,constant,31,log2,5,19,nnClassifier,8,6,sgd,uniform,0.49140271493212667
relu,auto,32,entropy,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,3,adaptive,44,log2,4,17,kneighborsClassifier,7,7,adam,distance,0.9429864253393665
relu,kd_tree,10,gini,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,33,invscaling,58,log2,4,14,kneighborsClassifier,5,1,adam,uniform,0.7212669683257918
