activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,29,gini,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,8,adaptive,41,auto,12,9,kneighborsClassifier,7,9,lbfgs,uniform,0.6823529411764706
tanh,kd_tree,18,gini,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,9,constant,20,sqrt,6,12,nnClassifier,8,9,sgd,distance,0.49230769230769234
identity,auto,20,gini,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,13,invscaling,86,auto,11,5,nnClassifier,7,4,adam,distance,0.5149321266968325
tanh,auto,12,gini,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,2,invscaling,55,auto,17,32,randomForestClassifier,8,2,lbfgs,distance,0.92579185520362
logistic,auto,8,entropy,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,26,adaptive,6,sqrt,17,19,nnClassifier,8,1,lbfgs,distance,0.497737556561086
logistic,auto,30,gini,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,20,constant,78,auto,7,28,nnClassifier,1,9,sgd,distance,0.5158371040723982
tanh,kd_tree,24,entropy,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,38,invscaling,59,sqrt,7,29,nnClassifier,7,7,sgd,distance,0.4995475113122172
tanh,auto,9,entropy,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,4,constant,91,auto,19,11,kneighborsClassifier,9,4,lbfgs,distance,0.8153846153846154
logistic,brute,13,entropy,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,21,adaptive,21,sqrt,18,15,kneighborsClassifier,6,7,sgd,uniform,0.8561085972850678
identity,ball_tree,16,entropy,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,33,constant,55,log2,20,17,randomForestClassifier,2,9,sgd,distance,0.8868778280542986
relu,ball_tree,15,entropy,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,10,constant,58,auto,19,4,randomForestClassifier,1,9,sgd,uniform,0.902262443438914
relu,kd_tree,8,gini,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,13,invscaling,54,log2,7,7,nnClassifier,3,1,sgd,uniform,0.5239819004524887
relu,auto,29,gini,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,25,adaptive,78,auto,9,4,nnClassifier,1,7,sgd,uniform,0.5221719457013575
tanh,kd_tree,16,entropy,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,35,invscaling,8,sqrt,4,17,nnClassifier,2,8,adam,uniform,0.5221719457013575
logistic,kd_tree,13,gini,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,8,invscaling,57,sqrt,14,8,kneighborsClassifier,1,3,lbfgs,uniform,0.9321266968325792
