,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
85,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,30.0,sqrt,2.0,19.0,None,None,None,None,0.9835164835164835,ok,223.41479194094427
86,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,nnClassifier,relu,None,8,None,None,constant,None,None,None,None,6,None,adam,None,0.3443223443223443,ok,248.35223075700924
87,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,39.0,auto,3.0,25.0,None,None,None,None,0.9652014652014652,ok,249.59286760003306
88,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,37.0,sqrt,5.0,31.0,None,None,None,None,0.9926739926739927,ok,250.82049197005108
89,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,57.0,sqrt,8.0,35.0,None,None,None,None,0.9322344322344323,ok,252.21931396401487
90,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,5.0,None,None,None,None,None,None,5.0,None,uniform,0.8717948717948718,ok,252.4058434611652
91,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,66.0,log2,11.0,8.0,None,None,None,None,0.9908424908424909,ok,253.55017803399824
92,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,nnClassifier,logistic,None,19,None,None,adaptive,None,None,None,None,7,None,sgd,None,0.32234432234432236,ok,266.20861155795865
93,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,75.0,sqrt,14.0,27.0,None,None,None,None,0.9358974358974359,ok,267.58926299004816
94,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,70.0,auto,10.0,22.0,None,None,None,None,0.9908424908424909,ok,268.78690608311445
95,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,27.0,sqrt,7.0,14.0,None,None,None,None,0.978021978021978,ok,269.98205180908553
96,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,28.0,None,None,None,None,None,None,7.0,None,uniform,0.8827838827838828,ok,270.0661264229566
97,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,59.0,log2,6.0,2.0,None,None,None,None,0.9945054945054945,ok,271.2820077280048
98,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,nnClassifier,tanh,None,29,None,None,adaptive,None,None,None,None,9,None,sgd,None,0.315018315018315,ok,281.4862433639355
99,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,63.0,sqrt,2.0,23.0,None,None,None,None,0.978021978021978,ok,282.74197376403026
