,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,9,None,uniform,0.8351648351648352,ok,0.1306241569109261
1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,17,None,None,None,None,None,None,8,None,distance,0.8681318681318682,ok,0.19832448684610426
2,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,nnClassifier,tanh,None,24.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.28205128205128205,ok,12.00354494783096
3,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,25,None,None,None,None,None,None,1,None,distance,0.8827838827838828,ok,12.05884757800959
4,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,nnClassifier,tanh,None,31.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.25824175824175827,ok,23.024904867867008
5,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,5,None,uniform,0.7985347985347986,ok,23.10222616791725
6,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,11,None,None,None,None,None,None,6,None,distance,0.8791208791208791,ok,23.150508978869766
7,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,kneighborsClassifier,None,brute,None,None,36,None,None,None,None,None,None,8,None,distance,0.8608058608058609,ok,23.219634860986844
8,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,nnClassifier,tanh,None,9.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.30036630036630035,ok,49.18011451885104
9,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,36,None,None,None,None,None,None,6,None,distance,0.8846153846153846,ok,49.236089966027066
10,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,nnClassifier,tanh,None,30.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,0.3131868131868132,ok,60.39815080794506
11,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,31,None,None,None,None,None,None,9,None,uniform,0.86996336996337,ok,60.46406846004538
12,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,nnClassifier,relu,None,19.0,None,None,invscaling,None,None,None,None,8.0,None,adam,None,0.3076923076923077,ok,75.37600997905247
13,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,24,None,None,None,None,None,None,9,None,distance,0.8809523809523809,ok,75.42600591783412
14,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,74.0,log2,19.0,12.0,None,None,None,None,0.9725274725274725,ok,76.2489974568598
15,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,40.0,auto,16.0,15.0,None,None,None,None,0.9761904761904762,ok,77.4749393099919
16,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,nnClassifier,identity,None,17.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.163003663003663,ok,80.80471339286305
17,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,48.0,auto,15.0,35.0,None,None,None,None,0.9432234432234432,ok,81.96862487099133
18,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,65.0,sqrt,10.0,32.0,None,None,None,None,0.8754578754578755,ok,83.04892704705708
19,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,nnClassifier,relu,None,31.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,0.3076923076923077,ok,93.2427468339447
20,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,19.0,log2,20.0,6.0,None,None,None,None,0.9706959706959707,ok,94.4656827468425
21,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,92.0,auto,20.0,12.0,None,None,None,None,0.9688644688644689,ok,95.32108766189776
22,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,49.0,log2,16.0,18.0,None,None,None,None,0.9578754578754579,ok,96.66711561987177
23,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,80.0,auto,2.0,20.0,None,None,None,None,0.9798534798534798,ok,97.59246152685955
