,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,51,auto,4,16,None,None,None,None,0.9688644688644689,ok,0.8837187821045518
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,13.0,None,None,None,None,None,None,8.0,None,uniform,0.8388278388278388,ok,0.9398258549626917
2,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,kneighborsClassifier,None,brute,None,None,4.0,None,None,None,None,None,None,8.0,None,distance,0.9102564102564102,ok,1.0025015911087394
3,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,35,log2,4,27,None,None,None,None,0.9267399267399268,ok,1.994867879897356
4,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,16,log2,11,19,None,None,None,None,0.9633699633699634,ok,2.8351370599120855
5,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,60,auto,15,27,None,None,None,None,0.9065934065934066,ok,4.285922271898016
6,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,kneighborsClassifier,None,auto,None,None,4.0,None,None,None,None,None,None,2.0,None,distance,0.8571428571428571,ok,4.340473512886092
7,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,nnClassifier,identity,None,30.0,None,None,constant,None,None,None,None,7.0,None,adam,None,0.19047619047619047,ok,7.243815721012652
8,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,15,log2,7,36,None,None,None,None,0.9798534798534798,ok,8.848668703110889
9,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,21.0,None,None,None,None,None,None,5.0,None,distance,0.8974358974358975,ok,8.915953763993457
10,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,77,sqrt,4,18,None,None,None,None,0.924908424908425,ok,10.419527604011819
11,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,21.0,None,None,None,None,None,None,7.0,None,distance,0.847985347985348,ok,10.48120205104351
12,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,39.0,None,None,None,None,None,None,10.0,None,distance,0.9029304029304029,ok,10.552998498082161
13,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,kneighborsClassifier,None,auto,None,None,2.0,None,None,None,None,None,None,2.0,None,uniform,0.8754578754578755,ok,10.627320876112208
14,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,37.0,None,None,None,None,None,None,1.0,None,uniform,0.8443223443223443,ok,10.695090101100504
15,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,nnClassifier,identity,None,15.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.2600732600732601,ok,13.12574553489685
