,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,7,None,None,None,None,None,None,3,None,distance,0.9194139194139194,ok,0.09069341304711998
1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,kneighborsClassifier,None,brute,None,None,2,None,None,None,None,None,None,10,None,uniform,0.8351648351648352,ok,0.18455747095867991
2,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,kneighborsClassifier,None,brute,None,None,18,None,None,None,None,None,None,4,None,distance,0.9084249084249084,ok,0.2681212208699435
3,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,73.0,auto,19.0,30.0,None,None,None,None,0.8956043956043956,ok,1.6738395900465548
4,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,nnClassifier,identity,None,15.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.27289377289377287,ok,2.003590972861275
5,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,nnClassifier,identity,None,10.0,None,None,adaptive,None,None,None,None,8.0,None,lbfgs,None,0.21794871794871795,ok,2.3214488190133125
6,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,58.0,log2,14.0,32.0,None,None,None,None,0.9578754578754579,ok,3.5721703900489956
7,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,11.0,sqrt,6.0,17.0,None,None,None,None,0.9377289377289377,ok,4.273608288960531
8,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,20,None,None,None,None,None,None,4,None,uniform,0.8626373626373627,ok,4.450214941985905
9,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,nnClassifier,logistic,None,32.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.28205128205128205,ok,14.6602355199866
