,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,nnClassifier,identity,None,28,None,None,constant,None,None,None,None,7,None,adam,None,0.26373626373626374,ok,1.9922268071677536
1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,96.0,sqrt,11.0,31.0,None,None,None,None,0.9761904761904762,ok,2.8175515511538833
2,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,83.0,auto,4.0,31.0,None,None,None,None,0.9578754578754579,ok,4.050202653044835
3,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,nnClassifier,relu,None,22,None,None,adaptive,None,None,None,None,5,None,lbfgs,None,0.31684981684981683,ok,6.097217992180958
4,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,43.0,sqrt,2.0,18.0,None,None,None,None,0.9652014652014652,ok,6.970545208081603
5,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,32.0,None,None,None,None,None,None,3.0,None,uniform,0.8406593406593407,ok,7.036731232190505
6,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,69.0,log2,5.0,3.0,None,None,None,None,0.9578754578754579,ok,8.351022707065567
7,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,21.0,None,None,None,None,None,None,9.0,None,distance,0.8388278388278388,ok,8.409162455005571
8,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,52.0,auto,12.0,11.0,None,None,None,None,0.9322344322344323,ok,9.424449509009719
9,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,nnClassifier,tanh,None,32,None,None,adaptive,None,None,None,None,6,None,sgd,None,0.315018315018315,ok,18.738209987059236
