activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,16,entropy,1,0,1,1,17,invscaling,13,log2,17,6,kneighborsClassifier,9,6,adam,uniform,0.9652777777777778
logistic,kd_tree,15,entropy,1,1,0,1,11,constant,76,sqrt,5,12,randomForestClassifier,9,7,lbfgs,distance,1.0
logistic,ball_tree,26,entropy,1,0,0,1,4,adaptive,2,auto,14,37,nnClassifier,2,7,lbfgs,uniform,0.5243055555555556
logistic,kd_tree,25,entropy,1,0,0,1,20,constant,54,auto,12,28,randomForestClassifier,2,1,sgd,uniform,1.0
tanh,auto,22,entropy,1,0,1,1,11,invscaling,22,sqrt,7,15,randomForestClassifier,2,9,adam,uniform,1.0
tanh,ball_tree,27,entropy,1,0,0,1,23,adaptive,48,log2,20,15,randomForestClassifier,9,4,sgd,uniform,1.0
relu,auto,20,gini,1,0,0,1,11,constant,76,auto,5,12,randomForestClassifier,9,7,lbfgs,distance,1.0
logistic,kd_tree,19,entropy,1,1,0,1,4,adaptive,8,auto,14,14,randomForestClassifier,2,7,lbfgs,uniform,1.0
logistic,ball_tree,13,entropy,1,0,0,1,10,constant,94,auto,15,25,randomForestClassifier,10,10,sgd,uniform,1.0
tanh,auto,20,gini,1,0,1,1,10,constant,94,auto,15,25,randomForestClassifier,10,10,sgd,uniform,1.0
logistic,ball_tree,16,entropy,1,0,1,1,23,adaptive,48,log2,20,15,randomForestClassifier,9,4,sgd,uniform,1.0
logistic,kd_tree,19,entropy,1,1,0,1,17,invscaling,13,log2,17,6,kneighborsClassifier,9,6,adam,uniform,1.0
logistic,ball_tree,13,entropy,1,0,0,1,11,constant,76,sqrt,5,12,randomForestClassifier,9,7,lbfgs,distance,1.0
logistic,kd_tree,25,entropy,1,0,0,1,4,adaptive,8,auto,14,37,randomForestClassifier,2,7,lbfgs,uniform,1.0
tanh,auto,22,entropy,1,0,1,1,20,constant,54,auto,12,28,randomForestClassifier,2,1,sgd,uniform,1.0
tanh,ball_tree,27,entropy,1,0,0,1,11,invscaling,22,sqrt,7,15,randomForestClassifier,2,9,adam,uniform,1.0
tanh,auto,20,gini,1,0,1,1,23,adaptive,48,log2,20,15,randomForestClassifier,9,4,sgd,uniform,1.0
logistic,kd_tree,19,entropy,1,1,0,1,11,constant,76,auto,5,12,randomForestClassifier,9,7,lbfgs,distance,1.0
logistic,ball_tree,13,entropy,1,0,0,1,4,adaptive,8,auto,14,37,randomForestClassifier,2,7,lbfgs,uniform,1.0
tanh,auto,20,gini,1,0,1,1,23,adaptive,48,log2,20,15,randomForestClassifier,9,4,sgd,uniform,1.0
logistic,ball_tree,16,entropy,1,0,1,1,17,invscaling,13,sqrt,17,6,kneighborsClassifier,9,6,adam,uniform,0.9652777777777778
logistic,kd_tree,19,entropy,1,1,0,1,11,invscaling,76,sqrt,5,12,randomForestClassifier,9,7,lbfgs,distance,1.0
logistic,ball_tree,13,entropy,1,0,0,1,4,adaptive,8,auto,14,37,randomForestClassifier,2,7,lbfgs,uniform,1.0
logistic,kd_tree,25,entropy,1,0,0,1,20,constant,80,auto,12,28,randomForestClassifier,2,1,sgd,uniform,1.0
tanh,auto,22,entropy,1,0,1,1,11,invscaling,22,sqrt,15,15,randomForestClassifier,2,9,adam,uniform,1.0
tanh,ball_tree,27,entropy,1,0,0,1,23,adaptive,48,log2,20,15,randomForestClassifier,9,4,sgd,uniform,1.0
tanh,auto,20,gini,1,0,1,1,11,constant,76,auto,5,12,randomForestClassifier,9,7,sgd,distance,1.0
logistic,kd_tree,19,entropy,1,1,0,1,4,adaptive,8,auto,14,37,randomForestClassifier,2,7,lbfgs,uniform,1.0
logistic,ball_tree,13,entropy,1,0,1,1,10,constant,94,auto,3,25,randomForestClassifier,10,5,sgd,uniform,1.0
