activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,21,gini,0,0,1,0,28,invscaling,84,auto,12,36,kneighborsClassifier,9,4,lbfgs,distance,0.5636574074074074
identity,kd_tree,10,gini,1,1,0,0,18,constant,62,auto,12,2,nnClassifier,4,2,adam,uniform,0.5115740740740741
identity,kd_tree,18,gini,1,1,1,0,37,adaptive,91,auto,15,30,randomForestClassifier,7,1,lbfgs,uniform,0.9722222222222222
tanh,kd_tree,15,entropy,1,1,1,1,18,constant,13,sqrt,11,11,nnClassifier,8,3,sgd,uniform,0.49074074074074076
logistic,auto,12,gini,1,1,1,1,33,adaptive,51,sqrt,9,24,nnClassifier,8,10,sgd,distance,0.49189814814814814
identity,auto,16,entropy,1,1,1,0,10,constant,9,auto,11,30,randomForestClassifier,2,3,adam,uniform,0.9270833333333334
relu,ball_tree,15,entropy,0,0,0,0,32,constant,32,sqrt,11,38,nnClassifier,8,2,adam,distance,0.0
tanh,brute,17,entropy,1,1,1,0,8,adaptive,2,sqrt,6,18,randomForestClassifier,5,2,sgd,distance,0.8981481481481481
identity,kd_tree,16,entropy,1,0,1,1,30,invscaling,88,auto,14,32,randomForestClassifier,9,1,adam,distance,1.0
identity,auto,30,entropy,1,1,1,0,10,adaptive,48,sqrt,12,7,kneighborsClassifier,4,4,adam,distance,0.8761574074074074
identity,kd_tree,8,gini,0,0,0,0,9,adaptive,83,sqrt,17,16,kneighborsClassifier,10,7,sgd,distance,0.0
logistic,ball_tree,31,gini,1,1,1,1,13,invscaling,28,auto,18,20,randomForestClassifier,7,8,lbfgs,distance,1.0
tanh,auto,30,entropy,1,1,0,1,5,constant,46,sqrt,19,16,kneighborsClassifier,3,6,lbfgs,uniform,1.0
logistic,kd_tree,15,gini,1,1,1,0,28,constant,65,auto,10,20,nnClassifier,3,4,sgd,distance,0.5023148148148148
identity,kd_tree,29,entropy,0,0,1,0,22,adaptive,58,log2,18,5,nnClassifier,10,9,adam,uniform,0.5659722222222222
tanh,ball_tree,23,entropy,0,0,0,0,30,constant,83,auto,15,34,randomForestClassifier,5,8,lbfgs,distance,0.0
tanh,kd_tree,30,entropy,0,1,0,0,10,invscaling,22,log2,10,27,nnClassifier,10,3,lbfgs,distance,0.5023148148148148
relu,kd_tree,23,entropy,1,0,0,0,32,adaptive,69,sqrt,18,2,randomForestClassifier,4,5,lbfgs,uniform,0.9467592592592593
logistic,auto,12,entropy,1,0,1,1,18,adaptive,48,auto,7,5,randomForestClassifier,4,1,adam,distance,1.0
tanh,kd_tree,23,entropy,1,0,0,1,5,adaptive,61,sqrt,17,15,randomForestClassifier,10,7,lbfgs,distance,1.0
identity,kd_tree,16,entropy,1,0,1,1,30,invscaling,88,auto,14,32,randomForestClassifier,9,1,adam,distance,1.0
logistic,ball_tree,31,gini,1,1,1,1,13,invscaling,28,auto,18,20,randomForestClassifier,7,8,lbfgs,distance,1.0
tanh,auto,30,entropy,1,1,0,1,5,constant,46,sqrt,19,16,kneighborsClassifier,3,6,lbfgs,uniform,1.0
logistic,auto,12,entropy,1,0,1,1,18,adaptive,48,auto,7,5,randomForestClassifier,4,1,adam,distance,1.0
tanh,kd_tree,23,entropy,1,0,0,1,5,adaptive,61,sqrt,17,15,randomForestClassifier,10,7,lbfgs,distance,1.0
identity,kd_tree,18,gini,1,1,1,0,37,adaptive,91,auto,15,30,randomForestClassifier,7,1,lbfgs,uniform,0.9722222222222222
relu,kd_tree,23,entropy,1,0,0,0,32,adaptive,69,sqrt,18,2,randomForestClassifier,4,5,lbfgs,uniform,0.9467592592592593
identity,auto,16,entropy,1,1,1,0,10,constant,9,auto,11,30,randomForestClassifier,2,3,adam,uniform,0.9270833333333334
tanh,brute,17,entropy,1,1,1,0,8,adaptive,2,sqrt,6,18,randomForestClassifier,5,2,sgd,distance,0.8981481481481481
