activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,18,entropy,0,0,1,1,25,invscaling,54,log2,13,5,randomForestClassifier,3,5,adam,distance,0.7696759259259259
logistic,ball_tree,30,gini,1,0,1,1,18,constant,63,sqrt,2,8,randomForestClassifier,5,3,sgd,distance,1.0
identity,kd_tree,22,gini,0,1,0,1,30,invscaling,46,auto,10,40,kneighborsClassifier,5,4,adam,distance,0.6423611111111112
logistic,auto,14,entropy,0,0,0,0,36,adaptive,65,auto,13,35,randomForestClassifier,4,6,adam,distance,0.0
tanh,kd_tree,22,gini,1,0,0,1,11,invscaling,1,log2,8,19,kneighborsClassifier,8,9,adam,distance,1.0
tanh,auto,16,gini,1,0,0,0,5,constant,9,auto,16,19,nnClassifier,1,3,adam,distance,0.5127314814814815
relu,kd_tree,14,entropy,0,1,0,0,8,adaptive,46,log2,4,38,randomForestClassifier,9,6,lbfgs,uniform,0.6342592592592593
logistic,ball_tree,12,entropy,0,0,1,1,35,adaptive,3,auto,12,3,kneighborsClassifier,4,10,sgd,distance,0.7222222222222222
tanh,ball_tree,26,entropy,1,0,0,1,23,adaptive,7,sqrt,8,12,nnClassifier,1,10,sgd,distance,0.5277777777777778
tanh,brute,15,entropy,1,0,0,1,23,invscaling,48,log2,7,29,randomForestClassifier,9,6,sgd,uniform,1.0
identity,kd_tree,17,gini,0,1,0,0,24,adaptive,12,log2,3,13,nnClassifier,4,10,adam,distance,0.5555555555555556
logistic,auto,10,entropy,0,0,0,0,17,constant,21,sqrt,18,28,kneighborsClassifier,3,9,adam,uniform,0.0
tanh,auto,12,entropy,0,1,0,1,9,constant,62,sqrt,3,25,randomForestClassifier,1,10,sgd,distance,0.6342592592592593
relu,ball_tree,32,gini,0,0,0,1,16,adaptive,76,sqrt,16,20,nnClassifier,2,1,lbfgs,uniform,0.5555555555555556
identity,brute,26,entropy,1,0,1,0,32,invscaling,28,sqrt,9,40,kneighborsClassifier,6,9,adam,uniform,0.8530092592592593
tanh,kd_tree,8,gini,0,1,0,0,3,constant,93,log2,10,31,randomForestClassifier,8,6,adam,distance,0.6215277777777778
logistic,kd_tree,28,entropy,1,1,1,0,38,invscaling,56,sqrt,15,27,randomForestClassifier,4,5,lbfgs,distance,0.9768518518518519
logistic,kd_tree,23,gini,1,0,0,0,22,adaptive,42,sqrt,20,27,randomForestClassifier,7,4,lbfgs,uniform,0.9247685185185185
tanh,kd_tree,24,entropy,1,1,1,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
logistic,kd_tree,20,entropy,1,1,0,0,21,constant,42,log2,14,13,kneighborsClassifier,5,9,sgd,uniform,0.9479166666666666
logistic,ball_tree,30,gini,1,0,1,1,18,constant,63,sqrt,2,8,randomForestClassifier,5,3,sgd,distance,1.0
tanh,kd_tree,22,gini,1,0,0,1,11,invscaling,1,log2,8,19,kneighborsClassifier,8,9,adam,distance,1.0
tanh,brute,15,entropy,1,0,0,1,23,invscaling,48,log2,7,29,randomForestClassifier,9,6,sgd,uniform,1.0
tanh,kd_tree,24,entropy,1,1,1,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
logistic,kd_tree,28,entropy,1,1,1,0,38,invscaling,56,sqrt,15,27,randomForestClassifier,4,5,lbfgs,distance,0.9768518518518519
logistic,kd_tree,20,entropy,1,1,0,0,21,constant,42,log2,14,13,kneighborsClassifier,5,9,sgd,uniform,0.9479166666666666
logistic,kd_tree,23,gini,1,0,0,0,22,adaptive,42,sqrt,20,27,randomForestClassifier,7,4,lbfgs,uniform,0.9247685185185185
identity,brute,26,entropy,1,0,1,0,32,invscaling,28,sqrt,9,40,kneighborsClassifier,6,9,adam,uniform,0.8530092592592593
logistic,auto,18,entropy,0,0,1,1,25,invscaling,54,log2,13,5,randomForestClassifier,3,5,adam,distance,0.7696759259259259
logistic,ball_tree,12,entropy,0,0,1,1,35,adaptive,3,auto,12,3,kneighborsClassifier,4,10,sgd,distance,0.7222222222222222
logistic,ball_tree,30,gini,1,0,1,1,11,invscaling,1,log2,8,19,kneighborsClassifier,8,9,adam,distance,0.9826388888888888
tanh,kd_tree,22,gini,1,0,0,1,23,invscaling,43,log2,7,29,kneighborsClassifier,9,6,sgd,uniform,1.0
tanh,brute,15,entropy,1,0,0,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
tanh,kd_tree,24,entropy,1,1,1,1,38,invscaling,56,sqrt,15,27,randomForestClassifier,4,5,lbfgs,distance,1.0
logistic,kd_tree,28,entropy,1,1,1,0,21,constant,42,log2,14,13,kneighborsClassifier,5,9,sgd,uniform,0.8587962962962963
logistic,kd_tree,20,entropy,1,1,0,0,22,adaptive,85,sqrt,20,27,randomForestClassifier,7,4,lbfgs,uniform,0.9652777777777778
logistic,kd_tree,23,gini,1,0,0,0,32,invscaling,28,sqrt,9,40,kneighborsClassifier,6,9,adam,uniform,0.9340277777777778
identity,brute,26,entropy,1,0,1,0,25,invscaling,54,log2,13,5,randomForestClassifier,3,5,adam,distance,0.90625
logistic,auto,18,entropy,0,0,1,1,35,adaptive,3,auto,13,3,kneighborsClassifier,8,10,sgd,distance,0.7222222222222222
logistic,ball_tree,12,entropy,0,0,1,1,18,constant,63,sqrt,2,8,randomForestClassifier,5,5,lbfgs,distance,0.7291666666666666
logistic,ball_tree,30,gini,1,0,1,1,18,constant,63,sqrt,2,8,randomForestClassifier,5,3,sgd,distance,1.0
tanh,kd_tree,22,gini,1,0,0,1,11,invscaling,1,log2,8,19,kneighborsClassifier,8,9,adam,distance,1.0
tanh,brute,15,entropy,1,0,0,1,23,invscaling,48,log2,7,29,randomForestClassifier,9,6,sgd,uniform,1.0
tanh,kd_tree,24,entropy,1,1,1,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
tanh,kd_tree,22,gini,1,0,0,1,23,invscaling,43,log2,7,29,kneighborsClassifier,9,6,sgd,uniform,1.0
tanh,brute,15,entropy,1,0,0,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
tanh,kd_tree,24,entropy,1,1,1,1,38,invscaling,56,sqrt,15,27,randomForestClassifier,4,5,lbfgs,distance,1.0
logistic,ball_tree,30,gini,1,0,1,1,11,invscaling,1,log2,8,19,kneighborsClassifier,8,9,adam,distance,0.9826388888888888
logistic,kd_tree,28,entropy,1,1,1,0,38,invscaling,56,sqrt,15,27,randomForestClassifier,4,5,lbfgs,distance,0.9768518518518519
logistic,kd_tree,20,entropy,1,1,0,0,22,adaptive,85,sqrt,20,27,randomForestClassifier,7,4,lbfgs,uniform,0.9652777777777778
logistic,ball_tree,30,gini,1,0,1,1,11,invscaling,1,log2,16,19,kneighborsClassifier,8,9,adam,distance,0.9826388888888888
tanh,kd_tree,22,gini,1,0,0,1,23,invscaling,48,log2,7,29,randomForestClassifier,9,6,sgd,uniform,1.0
tanh,brute,15,entropy,1,0,0,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
tanh,kd_tree,24,entropy,1,1,1,1,23,invscaling,43,log2,7,29,kneighborsClassifier,9,6,sgd,uniform,0.9710648148148148
tanh,kd_tree,22,gini,1,0,0,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
tanh,brute,15,entropy,1,0,0,1,38,invscaling,56,sqrt,15,27,randomForestClassifier,4,5,lbfgs,distance,1.0
tanh,kd_tree,24,entropy,1,1,1,1,11,invscaling,1,log2,8,19,kneighborsClassifier,8,9,adam,distance,0.9756944444444444
logistic,ball_tree,30,gini,1,0,1,1,38,invscaling,56,sqrt,15,27,randomForestClassifier,4,5,lbfgs,distance,1.0
logistic,kd_tree,28,entropy,1,1,1,0,22,adaptive,85,sqrt,20,27,randomForestClassifier,7,4,lbfgs,uniform,0.9629629629629629
logistic,kd_tree,20,entropy,1,1,0,0,18,constant,63,sqrt,2,8,randomForestClassifier,5,3,adam,distance,0.9814814814814815
logistic,ball_tree,30,gini,1,0,1,1,18,constant,63,sqrt,2,8,randomForestClassifier,5,3,sgd,distance,1.0
tanh,kd_tree,22,gini,1,0,0,1,11,invscaling,1,log2,8,19,kneighborsClassifier,8,9,adam,distance,1.0
tanh,brute,15,entropy,1,0,0,1,23,invscaling,48,log2,7,29,randomForestClassifier,9,6,sgd,uniform,1.0
tanh,kd_tree,24,entropy,1,1,1,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
tanh,kd_tree,22,gini,1,0,0,1,23,invscaling,43,log2,7,29,kneighborsClassifier,9,6,sgd,uniform,1.0
tanh,brute,15,entropy,1,0,0,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
tanh,kd_tree,24,entropy,1,1,1,1,38,invscaling,56,sqrt,15,27,randomForestClassifier,4,5,lbfgs,distance,1.0
tanh,kd_tree,22,gini,1,0,0,1,23,invscaling,48,log2,7,29,randomForestClassifier,9,6,sgd,uniform,1.0
tanh,brute,15,entropy,1,0,0,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
tanh,kd_tree,22,gini,1,0,0,1,27,invscaling,77,sqrt,16,23,randomForestClassifier,3,8,adam,distance,1.0
logistic,ball_tree,30,gini,1,0,1,1,11,invscaling,1,log2,8,19,kneighborsClassifier,8,9,adam,distance,0.9826388888888888
tanh,kd_tree,22,gini,1,0,0,0,23,invscaling,48,log2,7,29,randomForestClassifier,9,6,sgd,uniform,0.9432870370370371
