activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,29,entropy,1,0,1,0,36,invscaling,72,log2,15,38,nnClassifier,8,7,lbfgs,distance,0.5034722222222222
logistic,ball_tree,23,gini,0,0,0,0,32,constant,84,sqrt,18,40,randomForestClassifier,2,1,adam,distance,0.0
relu,ball_tree,31,gini,1,1,0,0,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,0.9907407407407407
logistic,brute,14,entropy,1,1,1,1,35,adaptive,54,log2,10,19,nnClassifier,2,6,sgd,uniform,0.4861111111111111
relu,auto,28,entropy,1,0,0,0,11,adaptive,82,log2,13,14,nnClassifier,6,4,adam,uniform,0.4965277777777778
tanh,kd_tree,21,entropy,0,1,0,1,36,adaptive,72,auto,12,13,nnClassifier,5,1,lbfgs,uniform,0.44328703703703703
logistic,auto,18,gini,0,0,1,0,16,constant,20,sqrt,15,26,kneighborsClassifier,4,7,lbfgs,uniform,0.6412037037037037
relu,kd_tree,12,gini,1,0,1,0,5,invscaling,3,auto,7,36,randomForestClassifier,6,3,sgd,distance,0.8819444444444444
identity,auto,18,entropy,1,1,1,1,7,adaptive,80,sqrt,19,10,nnClassifier,5,4,lbfgs,distance,0.4849537037037037
relu,brute,32,gini,0,0,0,1,10,invscaling,37,auto,10,20,nnClassifier,2,2,adam,uniform,0.5474537037037037
identity,auto,29,entropy,0,1,1,0,5,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.8009259259259259
logistic,ball_tree,17,gini,1,0,0,1,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,1.0
relu,auto,15,entropy,0,0,0,0,30,adaptive,30,sqrt,5,6,nnClassifier,2,2,adam,distance,0.0
identity,kd_tree,27,gini,0,0,1,0,23,adaptive,47,sqrt,17,30,kneighborsClassifier,6,2,lbfgs,distance,0.5868055555555556
logistic,ball_tree,15,entropy,1,1,0,1,38,invscaling,79,log2,8,7,nnClassifier,8,10,lbfgs,distance,0.4849537037037037
tanh,kd_tree,18,gini,1,0,0,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9490740740740741
identity,kd_tree,10,gini,0,1,0,1,21,invscaling,46,auto,3,18,kneighborsClassifier,7,8,lbfgs,uniform,0.6585648148148148
identity,brute,11,gini,1,1,1,0,31,invscaling,6,log2,5,17,kneighborsClassifier,6,1,adam,distance,0.8368055555555556
tanh,ball_tree,22,gini,0,1,1,1,26,invscaling,26,log2,5,33,nnClassifier,8,6,adam,distance,0.47685185185185186
tanh,auto,24,entropy,1,1,1,1,29,constant,44,auto,4,16,nnClassifier,1,2,sgd,distance,0.4849537037037037
logistic,ball_tree,17,gini,1,0,0,1,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,1.0
relu,ball_tree,31,gini,1,1,0,0,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,0.9907407407407407
tanh,kd_tree,18,gini,1,0,0,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9490740740740741
relu,kd_tree,12,gini,1,0,1,0,5,invscaling,3,auto,7,36,randomForestClassifier,6,3,sgd,distance,0.8819444444444444
identity,brute,11,gini,1,1,1,0,31,invscaling,6,log2,5,17,kneighborsClassifier,6,1,adam,distance,0.8368055555555556
identity,auto,29,entropy,0,1,1,0,5,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.8009259259259259
identity,kd_tree,10,gini,0,1,0,1,21,invscaling,46,auto,3,18,kneighborsClassifier,7,8,lbfgs,uniform,0.6585648148148148
logistic,auto,18,gini,0,0,1,0,16,constant,20,sqrt,15,26,kneighborsClassifier,4,7,lbfgs,uniform,0.6412037037037037
identity,kd_tree,27,gini,0,0,1,0,23,adaptive,47,sqrt,17,30,kneighborsClassifier,6,2,lbfgs,distance,0.5868055555555556
relu,brute,32,gini,0,0,0,1,10,invscaling,37,auto,10,20,nnClassifier,2,2,adam,uniform,0.5474537037037037
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
relu,ball_tree,31,gini,0,1,0,0,16,invscaling,63,auto,5,6,randomForestClassifier,5,2,sgd,distance,0.6203703703703703
tanh,kd_tree,18,gini,1,0,0,0,5,invscaling,3,auto,7,36,randomForestClassifier,6,3,sgd,distance,0.8865740740740741
relu,kd_tree,12,gini,1,0,1,0,31,invscaling,6,log2,5,17,kneighborsClassifier,6,1,adam,distance,0.8344907407407407
identity,brute,11,entropy,1,1,1,0,5,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.9710648148148148
identity,auto,29,entropy,0,1,1,0,21,invscaling,46,auto,3,18,kneighborsClassifier,7,8,lbfgs,uniform,0.6550925925925926
identity,kd_tree,10,gini,0,1,0,1,16,constant,20,sqrt,15,26,kneighborsClassifier,4,7,adam,uniform,0.6388888888888888
logistic,auto,18,gini,0,0,1,0,23,adaptive,80,sqrt,17,30,kneighborsClassifier,6,2,lbfgs,distance,0.5868055555555556
identity,kd_tree,27,gini,0,0,0,0,5,invscaling,37,auto,10,20,nnClassifier,2,2,adam,uniform,0.0
relu,kd_tree,32,gini,0,0,0,1,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,0.6921296296296297
logistic,ball_tree,17,gini,1,0,0,1,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
relu,ball_tree,31,gini,1,1,0,0,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,0.9907407407407407
identity,brute,11,entropy,1,1,1,0,5,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.9710648148148148
tanh,kd_tree,18,gini,1,0,0,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9490740740740741
tanh,kd_tree,18,gini,1,0,0,0,5,invscaling,3,auto,7,36,randomForestClassifier,6,3,sgd,distance,0.8865740740740741
relu,kd_tree,12,gini,1,0,1,0,5,invscaling,3,auto,7,36,randomForestClassifier,6,3,sgd,distance,0.8819444444444444
identity,brute,11,gini,1,1,1,0,31,invscaling,6,log2,5,17,kneighborsClassifier,6,1,adam,distance,0.8368055555555556
relu,kd_tree,12,gini,1,0,1,0,31,invscaling,6,log2,5,17,kneighborsClassifier,6,1,adam,distance,0.8344907407407407
identity,auto,29,entropy,0,1,1,0,5,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.8009259259259259
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
relu,ball_tree,31,gini,1,0,0,0,6,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.9375
identity,brute,11,entropy,1,1,1,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9895833333333334
tanh,kd_tree,18,gini,1,0,0,0,27,invscaling,3,auto,10,36,randomForestClassifier,6,5,sgd,distance,0.8865740740740741
tanh,kd_tree,18,gini,1,0,0,0,5,adaptive,3,auto,7,19,kneighborsClassifier,2,3,sgd,distance,0.9143518518518519
relu,kd_tree,12,gini,1,0,1,0,31,invscaling,6,log2,5,24,kneighborsClassifier,6,1,adam,distance,0.8344907407407407
identity,brute,11,gini,1,1,1,0,31,invscaling,6,log2,5,17,kneighborsClassifier,6,1,adam,distance,0.8368055555555556
relu,kd_tree,12,gini,1,0,1,0,5,adaptive,68,sqrt,20,9,randomForestClassifier,3,10,adam,distance,0.8946759259259259
identity,kd_tree,29,entropy,0,0,1,0,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,0.6273148148148148
logistic,ball_tree,17,gini,1,0,0,1,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
relu,ball_tree,31,gini,1,1,0,0,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,0.9907407407407407
identity,brute,11,entropy,1,1,1,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9895833333333334
identity,brute,11,entropy,1,1,1,0,5,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.9710648148148148
tanh,kd_tree,18,gini,1,0,0,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9490740740740741
relu,ball_tree,31,gini,1,0,0,0,6,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.9375
tanh,kd_tree,18,gini,1,0,0,0,5,adaptive,3,auto,7,19,kneighborsClassifier,2,3,sgd,distance,0.9143518518518519
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,lbfgs,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,invscaling,69,sqrt,14,35,randomForestClassifier,7,1,adam,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
relu,ball_tree,31,gini,1,1,0,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9918981481481481
identity,brute,11,entropy,1,1,1,0,5,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.9710648148148148
identity,brute,11,entropy,1,1,1,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9895833333333334
tanh,kd_tree,18,gini,1,0,0,0,6,adaptive,68,sqrt,20,7,randomForestClassifier,3,10,adam,distance,0.9375
relu,ball_tree,31,gini,1,0,0,0,5,adaptive,3,auto,7,19,kneighborsClassifier,2,3,sgd,distance,0.9143518518518519
tanh,kd_tree,18,gini,1,0,0,0,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,0.9490740740740741
logistic,ball_tree,17,gini,1,0,0,1,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,lbfgs,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,invscaling,69,sqrt,14,35,randomForestClassifier,7,1,adam,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
relu,ball_tree,31,gini,1,1,0,0,16,invscaling,79,auto,5,6,randomForestClassifier,5,2,lbfgs,distance,0.9918981481481481
relu,ball_tree,31,gini,1,1,0,0,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,0.9907407407407407
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,28,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
relu,ball_tree,17,gini,1,0,0,1,12,adaptive,69,sqrt,14,20,randomForestClassifier,7,1,lbfgs,distance,1.0
logistic,ball_tree,20,gini,1,0,1,1,12,adaptive,78,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,1,1,12,invscaling,69,sqrt,14,35,randomForestClassifier,7,1,adam,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,1.0
logistic,ball_tree,17,gini,1,0,0,1,16,invscaling,79,auto,5,6,kneighborsClassifier,5,2,lbfgs,distance,1.0
relu,ball_tree,31,gini,1,1,0,0,12,invscaling,69,sqrt,14,20,randomForestClassifier,7,1,sgd,distance,0.9907407407407407
relu,brute,31,gini,1,1,0,0,3,constant,53,auto,11,11,randomForestClassifier,2,6,lbfgs,distance,0.9884259259259259
