activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,29,gini,0,0,0,1,37,adaptive,46,log2,13,18,kneighborsClassifier,9,3,adam,distance,0.6875
relu,auto,26,gini,1,1,1,1,12,invscaling,47,auto,12,29,randomForestClassifier,10,7,adam,uniform,1.0
tanh,kd_tree,14,entropy,0,0,0,0,12,invscaling,59,auto,13,25,kneighborsClassifier,1,8,lbfgs,distance,0.0
identity,kd_tree,10,gini,0,0,0,1,20,invscaling,23,auto,17,6,randomForestClassifier,9,10,sgd,distance,0.6875
logistic,auto,12,gini,1,0,0,1,17,invscaling,58,log2,17,26,kneighborsClassifier,4,2,lbfgs,distance,1.0
logistic,auto,18,entropy,0,1,1,1,20,constant,92,log2,11,18,randomForestClassifier,9,8,adam,uniform,0.8055555555555556
tanh,ball_tree,31,gini,0,1,0,1,25,adaptive,3,auto,6,26,randomForestClassifier,7,3,sgd,uniform,0.6875
identity,auto,16,entropy,1,0,0,1,28,constant,47,sqrt,16,22,nnClassifier,6,4,adam,distance,0.5289351851851852
tanh,ball_tree,16,entropy,1,0,1,1,15,invscaling,67,sqrt,8,19,kneighborsClassifier,3,9,adam,uniform,0.9571759259259259
identity,brute,10,gini,0,0,0,1,8,adaptive,6,auto,13,31,randomForestClassifier,9,6,sgd,uniform,0.6875
logistic,brute,30,entropy,1,0,0,1,36,invscaling,3,sqrt,16,2,randomForestClassifier,1,8,adam,uniform,1.0
logistic,kd_tree,28,entropy,1,0,1,0,28,constant,63,auto,10,8,kneighborsClassifier,2,8,adam,uniform,0.8657407407407407
relu,brute,17,gini,0,1,1,1,37,constant,43,log2,3,22,randomForestClassifier,4,4,sgd,uniform,0.8032407407407407
tanh,brute,11,gini,1,1,1,1,34,invscaling,49,auto,16,17,nnClassifier,6,3,lbfgs,distance,0.5300925925925926
tanh,brute,10,gini,1,0,0,1,12,constant,54,auto,9,2,nnClassifier,5,2,adam,distance,0.5289351851851852
tanh,brute,23,entropy,0,1,0,0,22,adaptive,19,log2,8,38,randomForestClassifier,2,7,adam,uniform,0.6446759259259259
logistic,ball_tree,27,gini,0,1,1,1,5,adaptive,86,log2,5,17,nnClassifier,8,4,sgd,distance,0.5023148148148148
relu,kd_tree,16,gini,1,0,1,0,27,adaptive,39,sqrt,7,35,randomForestClassifier,8,6,sgd,distance,0.9085648148148148
tanh,brute,12,entropy,0,0,1,1,27,constant,52,log2,17,30,kneighborsClassifier,2,8,lbfgs,uniform,0.7476851851851852
relu,ball_tree,8,entropy,0,0,0,1,17,adaptive,72,sqrt,2,38,kneighborsClassifier,5,6,lbfgs,uniform,0.6875
relu,auto,26,gini,1,1,1,1,12,invscaling,47,auto,12,29,randomForestClassifier,10,7,adam,uniform,1.0
logistic,auto,12,gini,1,0,0,1,17,invscaling,58,log2,17,26,kneighborsClassifier,4,2,lbfgs,distance,1.0
logistic,brute,30,entropy,1,0,0,1,36,invscaling,3,sqrt,16,2,randomForestClassifier,1,8,adam,uniform,1.0
tanh,ball_tree,16,entropy,1,0,1,1,15,invscaling,67,sqrt,8,19,kneighborsClassifier,3,9,adam,uniform,0.9571759259259259
relu,kd_tree,16,gini,1,0,1,0,27,adaptive,39,sqrt,7,35,randomForestClassifier,8,6,sgd,distance,0.9085648148148148
logistic,kd_tree,28,entropy,1,0,1,0,28,constant,63,auto,10,8,kneighborsClassifier,2,8,adam,uniform,0.8657407407407407
logistic,auto,18,entropy,0,1,1,1,20,constant,92,log2,11,18,randomForestClassifier,9,8,adam,uniform,0.8055555555555556
relu,brute,17,gini,0,1,1,1,37,constant,43,log2,3,22,randomForestClassifier,4,4,sgd,uniform,0.8032407407407407
tanh,brute,12,entropy,0,0,1,1,27,constant,52,log2,17,30,kneighborsClassifier,2,8,lbfgs,uniform,0.7476851851851852
identity,kd_tree,29,gini,0,0,0,1,37,adaptive,46,log2,13,18,kneighborsClassifier,9,3,adam,distance,0.6875
relu,auto,26,gini,1,1,1,1,17,invscaling,58,log2,17,23,kneighborsClassifier,4,2,lbfgs,distance,0.9699074074074074
logistic,auto,12,gini,1,0,0,1,36,invscaling,3,log2,16,2,randomForestClassifier,1,8,adam,uniform,1.0
logistic,brute,30,entropy,1,0,0,1,15,invscaling,67,sqrt,8,19,kneighborsClassifier,3,9,adam,uniform,0.9988425925925926
tanh,brute,16,entropy,1,0,1,1,27,adaptive,39,sqrt,7,35,randomForestClassifier,8,6,sgd,distance,1.0
relu,kd_tree,16,gini,1,0,1,0,28,constant,63,auto,10,8,kneighborsClassifier,2,8,adam,uniform,0.8657407407407407
logistic,kd_tree,28,entropy,1,0,1,0,20,constant,92,log2,11,18,randomForestClassifier,9,8,adam,uniform,0.9131944444444444
logistic,auto,18,entropy,0,0,1,1,37,constant,43,log2,3,22,randomForestClassifier,7,4,sgd,uniform,0.7280092592592593
relu,brute,17,gini,0,1,1,1,27,constant,52,log2,17,30,kneighborsClassifier,2,8,lbfgs,uniform,0.7615740740740741
tanh,brute,12,entropy,0,0,1,1,37,adaptive,46,log2,13,18,kneighborsClassifier,9,3,adam,distance,0.7164351851851852
identity,kd_tree,29,gini,0,0,0,1,38,invscaling,47,sqrt,12,29,randomForestClassifier,10,7,adam,uniform,0.6875
relu,auto,26,gini,1,1,1,1,12,invscaling,47,auto,12,29,randomForestClassifier,10,7,adam,uniform,1.0
logistic,auto,12,gini,1,0,0,1,17,invscaling,58,log2,17,26,kneighborsClassifier,4,2,lbfgs,distance,1.0
