activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,14,entropy,0,0,0,1,0,7,adaptive,74,auto,15,7,kneighborsClassifier,4,8,sgd,distance,0.7407407407407407
identity,kd_tree,12,gini,0,0,1,0,0,38,invscaling,52,sqrt,13,36,randomForestClassifier,2,5,adam,uniform,0.6962962962962963
identity,brute,29,entropy,1,1,1,1,0,36,constant,100,auto,13,19,nnClassifier,4,3,lbfgs,distance,0.6296296296296297
relu,auto,29,entropy,1,1,0,0,1,22,invscaling,38,log2,7,23,nnClassifier,10,4,sgd,uniform,0.6962962962962963
logistic,brute,21,gini,1,0,1,0,0,25,invscaling,84,sqrt,2,26,kneighborsClassifier,3,10,lbfgs,distance,0.774074074074074
logistic,kd_tree,19,entropy,0,1,1,0,1,14,constant,99,auto,14,28,randomForestClassifier,7,5,adam,distance,0.8537037037037037
logistic,auto,25,entropy,1,0,1,0,0,3,constant,19,auto,16,20,randomForestClassifier,7,7,lbfgs,uniform,0.8092592592592592
identity,kd_tree,26,entropy,1,0,1,0,1,19,constant,18,auto,17,7,nnClassifier,5,2,lbfgs,distance,0.6648148148148149
logistic,auto,31,gini,1,1,1,0,0,36,adaptive,43,log2,13,32,randomForestClassifier,2,10,sgd,uniform,0.8777777777777778
relu,brute,22,gini,0,1,1,0,0,8,constant,15,sqrt,18,7,nnClassifier,7,7,lbfgs,uniform,0.5740740740740741
logistic,brute,25,entropy,0,1,1,1,1,36,adaptive,79,log2,19,33,nnClassifier,9,10,sgd,uniform,0.5814814814814815
identity,kd_tree,9,gini,0,0,0,0,1,11,constant,24,sqrt,4,40,kneighborsClassifier,7,10,lbfgs,uniform,0.7425925925925926
relu,ball_tree,15,gini,1,1,0,0,0,29,constant,24,auto,15,31,randomForestClassifier,3,9,lbfgs,uniform,0.8166666666666667
tanh,brute,12,entropy,1,0,1,1,0,26,adaptive,23,sqrt,18,14,kneighborsClassifier,5,7,sgd,distance,0.8462962962962963
relu,brute,17,entropy,0,1,0,1,1,8,invscaling,45,sqrt,11,31,nnClassifier,10,6,adam,distance,0.5981481481481481
tanh,auto,18,gini,1,0,1,1,0,23,invscaling,61,auto,9,36,kneighborsClassifier,4,2,adam,distance,0.8277777777777777
relu,ball_tree,12,entropy,1,0,1,1,1,38,adaptive,33,auto,18,35,kneighborsClassifier,3,4,adam,uniform,0.8685185185185185
relu,ball_tree,10,entropy,1,0,1,0,0,30,adaptive,62,auto,16,6,randomForestClassifier,4,10,adam,distance,0.8092592592592592
tanh,ball_tree,12,entropy,1,0,0,1,0,21,adaptive,58,log2,15,22,nnClassifier,8,1,lbfgs,uniform,0.5425925925925926
identity,brute,8,gini,0,0,1,1,1,39,invscaling,65,log2,11,11,kneighborsClassifier,4,5,sgd,uniform,0.8574074074074074
logistic,auto,31,gini,1,1,1,0,0,36,adaptive,43,log2,13,32,randomForestClassifier,2,10,sgd,uniform,0.8777777777777778
relu,ball_tree,12,entropy,1,0,1,1,1,38,adaptive,33,auto,18,35,kneighborsClassifier,3,4,adam,uniform,0.8685185185185185
identity,brute,8,gini,0,0,1,1,1,39,invscaling,65,log2,11,11,kneighborsClassifier,4,5,sgd,uniform,0.8574074074074074
logistic,kd_tree,19,entropy,0,1,1,0,1,14,constant,99,auto,14,28,randomForestClassifier,7,5,adam,distance,0.8537037037037037
tanh,brute,12,entropy,1,0,1,1,0,26,adaptive,23,sqrt,18,14,kneighborsClassifier,5,7,sgd,distance,0.8462962962962963
tanh,auto,18,gini,1,0,1,1,0,23,invscaling,61,auto,9,36,kneighborsClassifier,4,2,adam,distance,0.8277777777777777
relu,ball_tree,15,gini,1,1,0,0,0,29,constant,24,auto,15,31,randomForestClassifier,3,9,lbfgs,uniform,0.8166666666666667
