activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,32,entropy,0,0,0,1,1,7,invscaling,45,log2,19,31,nnClassifier,9,10,adam,uniform,0.6444444444444445
relu,auto,25,entropy,1,0,1,1,1,18,constant,19,log2,6,22,nnClassifier,5,8,adam,distance,0.5740740740740741
logistic,kd_tree,28,entropy,0,0,1,0,0,2,constant,58,auto,4,3,randomForestClassifier,10,8,sgd,uniform,0.6722222222222223
logistic,ball_tree,32,gini,0,0,0,1,0,39,constant,71,auto,2,34,kneighborsClassifier,1,7,sgd,uniform,0.737037037037037
logistic,auto,10,gini,1,0,0,1,0,39,adaptive,92,log2,5,25,kneighborsClassifier,9,1,lbfgs,uniform,0.7777777777777778
logistic,brute,14,gini,1,0,0,0,0,24,invscaling,25,log2,18,31,randomForestClassifier,6,10,lbfgs,uniform,0.674074074074074
relu,auto,28,entropy,1,0,0,0,0,36,constant,97,sqrt,18,13,kneighborsClassifier,10,2,lbfgs,distance,0.6370370370370371
logistic,brute,12,entropy,1,0,0,0,1,6,adaptive,16,sqrt,4,33,nnClassifier,9,8,adam,uniform,0.6074074074074074
logistic,ball_tree,14,gini,0,1,0,1,0,12,invscaling,20,log2,20,33,kneighborsClassifier,5,8,lbfgs,distance,0.7796296296296297
logistic,ball_tree,25,gini,1,0,0,1,1,40,invscaling,16,auto,6,27,kneighborsClassifier,10,9,sgd,uniform,0.7944444444444444
identity,kd_tree,11,gini,1,1,1,0,1,30,invscaling,10,sqrt,8,35,nnClassifier,7,5,sgd,distance,0.5981481481481481
identity,ball_tree,30,gini,1,1,0,1,0,32,invscaling,42,sqrt,18,16,randomForestClassifier,1,9,sgd,distance,0.812962962962963
relu,ball_tree,16,entropy,1,0,0,0,0,32,adaptive,6,sqrt,13,20,randomForestClassifier,8,9,adam,distance,0.7092592592592593
relu,kd_tree,20,gini,0,0,1,0,1,28,invscaling,97,sqrt,18,38,kneighborsClassifier,6,5,sgd,uniform,0.7962962962962963
tanh,kd_tree,8,gini,0,1,0,0,1,21,adaptive,50,auto,7,11,nnClassifier,8,10,lbfgs,distance,0.6185185185185185
tanh,auto,15,gini,0,0,0,0,0,38,adaptive,37,log2,2,31,nnClassifier,8,6,sgd,distance,0.0
relu,ball_tree,9,entropy,0,1,0,1,1,18,constant,90,sqrt,12,31,kneighborsClassifier,3,1,lbfgs,distance,0.8055555555555556
logistic,kd_tree,27,entropy,1,0,1,1,1,39,constant,58,log2,6,10,randomForestClassifier,9,6,adam,distance,0.8685185185185185
tanh,ball_tree,12,gini,1,0,1,0,0,28,invscaling,49,auto,14,33,kneighborsClassifier,1,3,lbfgs,distance,0.8
relu,ball_tree,30,entropy,1,0,0,1,0,17,invscaling,10,auto,14,28,nnClassifier,10,6,adam,distance,0.5592592592592592
