activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,27,entropy,0,1,0,0,0,25,adaptive,41,log2,8,3,kneighborsClassifier,9,7,lbfgs,distance,0.6666666666666666
relu,kd_tree,13,gini,1,1,0,0,1,18,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
identity,kd_tree,26,entropy,1,1,1,1,0,11,invscaling,33,sqrt,12,16,kneighborsClassifier,10,6,sgd,uniform,0.8648148148148148
relu,auto,18,entropy,1,1,1,0,1,31,adaptive,18,sqrt,6,30,nnClassifier,9,5,sgd,uniform,0.5574074074074075
tanh,auto,31,gini,0,1,0,1,1,34,invscaling,83,auto,18,19,kneighborsClassifier,1,5,lbfgs,uniform,0.8240740740740741
relu,kd_tree,19,entropy,1,1,1,0,1,27,invscaling,76,auto,19,21,nnClassifier,1,4,sgd,uniform,0.7
tanh,auto,13,entropy,1,0,0,0,1,9,adaptive,6,log2,16,22,nnClassifier,2,9,lbfgs,uniform,0.6111111111111112
identity,brute,24,gini,0,0,0,1,0,17,adaptive,49,log2,5,5,randomForestClassifier,5,2,lbfgs,distance,0.7277777777777777
identity,ball_tree,11,entropy,0,0,1,1,1,34,invscaling,15,log2,12,27,nnClassifier,9,10,adam,uniform,0.6166666666666667
identity,kd_tree,26,entropy,0,0,0,0,1,39,adaptive,32,auto,18,11,kneighborsClassifier,4,10,adam,distance,0.7333333333333333
identity,ball_tree,11,gini,1,1,1,1,0,7,adaptive,14,auto,8,18,nnClassifier,6,8,adam,uniform,0.6351851851851852
logistic,auto,12,entropy,1,1,1,1,0,26,adaptive,75,sqrt,3,38,kneighborsClassifier,10,10,adam,uniform,0.8537037037037037
relu,brute,18,entropy,1,1,0,0,1,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.837037037037037
identity,ball_tree,18,gini,1,0,1,0,1,33,adaptive,72,auto,9,5,nnClassifier,7,2,lbfgs,uniform,0.6444444444444445
identity,ball_tree,26,entropy,1,1,1,0,0,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8666666666666667
identity,brute,18,entropy,0,0,0,0,1,37,constant,32,sqrt,15,18,kneighborsClassifier,3,4,lbfgs,distance,0.7314814814814815
relu,ball_tree,18,entropy,0,0,0,1,0,15,constant,29,log2,11,16,nnClassifier,2,4,lbfgs,distance,0.5944444444444444
logistic,auto,21,entropy,1,0,1,0,0,16,adaptive,7,log2,18,18,randomForestClassifier,1,6,sgd,distance,0.8148148148148148
relu,ball_tree,24,entropy,0,0,0,0,0,31,invscaling,76,auto,20,3,nnClassifier,4,5,adam,uniform,0.0
logistic,kd_tree,28,gini,1,1,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
logistic,kd_tree,28,gini,1,1,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
relu,kd_tree,13,gini,1,1,0,0,1,18,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
identity,ball_tree,26,entropy,1,1,1,0,0,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8666666666666667
identity,kd_tree,26,entropy,1,1,1,1,0,11,invscaling,33,sqrt,12,16,kneighborsClassifier,10,6,sgd,uniform,0.8648148148148148
logistic,auto,12,entropy,1,1,1,1,0,26,adaptive,75,sqrt,3,38,kneighborsClassifier,10,10,adam,uniform,0.8537037037037037
relu,brute,18,entropy,1,1,0,0,1,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.837037037037037
tanh,auto,31,gini,0,1,0,1,1,34,invscaling,83,auto,18,19,kneighborsClassifier,1,5,lbfgs,uniform,0.8240740740740741
logistic,auto,21,entropy,1,0,1,0,0,16,adaptive,7,log2,18,18,randomForestClassifier,1,6,sgd,distance,0.8148148148148148
identity,kd_tree,26,entropy,0,0,0,0,1,39,adaptive,32,auto,18,11,kneighborsClassifier,4,10,adam,distance,0.7333333333333333
identity,brute,18,entropy,0,0,0,0,1,37,constant,32,sqrt,15,18,kneighborsClassifier,3,4,lbfgs,distance,0.7314814814814815
logistic,kd_tree,28,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
identity,ball_tree,26,entropy,1,1,1,0,0,11,invscaling,33,sqrt,12,16,kneighborsClassifier,10,6,sgd,uniform,0.8314814814814815
identity,kd_tree,26,entropy,1,1,1,1,0,26,adaptive,75,sqrt,17,38,kneighborsClassifier,10,10,sgd,uniform,0.8537037037037037
logistic,auto,12,entropy,1,1,1,1,0,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.8796296296296297
relu,brute,18,entropy,1,1,0,0,1,34,invscaling,83,auto,18,19,kneighborsClassifier,1,5,lbfgs,uniform,0.85
tanh,auto,31,gini,0,1,0,1,1,16,adaptive,7,log2,18,18,randomForestClassifier,1,6,sgd,distance,0.8111111111111111
logistic,auto,21,entropy,1,0,1,0,0,39,adaptive,32,auto,18,11,kneighborsClassifier,4,10,adam,distance,0.8
identity,kd_tree,26,entropy,0,0,0,0,1,37,constant,32,sqrt,15,18,kneighborsClassifier,3,4,lbfgs,distance,0.7314814814814815
identity,brute,18,entropy,0,0,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.737037037037037
logistic,kd_tree,28,gini,1,1,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
logistic,auto,12,entropy,1,1,1,1,0,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.8796296296296297
relu,kd_tree,13,gini,1,1,0,0,1,18,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
logistic,kd_tree,28,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
identity,ball_tree,26,entropy,1,1,1,0,0,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8666666666666667
identity,kd_tree,26,entropy,1,1,1,1,0,11,invscaling,33,sqrt,12,16,kneighborsClassifier,10,6,sgd,uniform,0.8648148148148148
logistic,auto,12,entropy,1,1,1,1,0,26,adaptive,75,sqrt,3,38,kneighborsClassifier,10,10,adam,uniform,0.8537037037037037
identity,kd_tree,26,entropy,1,1,1,1,0,26,adaptive,75,sqrt,17,38,kneighborsClassifier,10,10,sgd,uniform,0.8537037037037037
relu,brute,18,entropy,1,1,0,0,1,34,invscaling,83,auto,18,19,kneighborsClassifier,1,5,lbfgs,uniform,0.85
logistic,kd_tree,28,entropy,1,1,0,0,1,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.837037037037037
logistic,auto,12,entropy,1,1,1,1,0,18,adaptive,90,auto,10,5,randomForestClassifier,7,4,sgd,uniform,0.8907407407407407
relu,kd_tree,13,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
identity,kd_tree,28,gini,1,1,0,0,1,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,15,invscaling,34,sqrt,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
identity,ball_tree,26,entropy,1,1,1,0,0,11,invscaling,33,sqrt,12,16,kneighborsClassifier,10,6,sgd,uniform,0.8314814814814815
identity,kd_tree,26,entropy,1,1,1,1,0,26,adaptive,75,sqrt,3,38,kneighborsClassifier,10,10,adam,uniform,0.8537037037037037
logistic,auto,12,entropy,1,1,1,1,0,26,adaptive,75,sqrt,17,38,kneighborsClassifier,8,10,sgd,uniform,0.8537037037037037
identity,kd_tree,26,entropy,1,1,1,1,0,34,invscaling,83,auto,18,19,kneighborsClassifier,1,5,lbfgs,uniform,0.8703703703703703
relu,brute,18,entropy,1,1,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
logistic,auto,12,entropy,1,1,1,1,0,18,adaptive,90,auto,10,5,randomForestClassifier,7,4,sgd,uniform,0.8907407407407407
logistic,kd_tree,28,gini,1,1,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
logistic,auto,12,entropy,1,1,1,1,0,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.8796296296296297
relu,brute,18,entropy,1,1,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
relu,kd_tree,13,gini,1,1,0,0,1,18,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
logistic,kd_tree,28,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
identity,kd_tree,28,gini,1,1,0,0,1,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,15,invscaling,34,sqrt,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
logistic,auto,12,entropy,1,1,1,1,1,26,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.9037037037037037
logistic,kd_tree,28,gini,1,1,1,0,0,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.8703703703703703
logistic,auto,12,entropy,1,1,1,1,1,18,invscaling,97,log2,12,6,kneighborsClassifier,7,8,adam,distance,0.9037037037037037
relu,brute,18,entropy,1,1,0,0,1,18,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8685185185185185
relu,kd_tree,13,gini,1,1,0,0,1,13,adaptive,90,sqrt,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
tanh,kd_tree,28,gini,1,1,0,0,1,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,13,adaptive,93,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
relu,ball_tree,13,gini,1,0,0,0,1,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.7574074074074074
identity,kd_tree,28,gini,1,1,0,0,1,15,invscaling,34,sqrt,16,26,kneighborsClassifier,8,4,sgd,distance,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,0,18,adaptive,90,auto,10,5,randomForestClassifier,7,4,sgd,uniform,0.8148148148148148
logistic,auto,12,entropy,1,1,1,1,1,26,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.9037037037037037
logistic,auto,12,entropy,1,1,1,1,1,18,invscaling,97,log2,12,6,kneighborsClassifier,7,8,adam,distance,0.9037037037037037
logistic,auto,12,entropy,1,1,1,1,0,18,adaptive,90,auto,10,5,randomForestClassifier,7,4,sgd,uniform,0.8907407407407407
logistic,kd_tree,28,gini,1,1,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
logistic,auto,12,entropy,1,1,1,1,0,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.8796296296296297
relu,brute,18,entropy,1,1,0,0,1,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
relu,kd_tree,13,gini,1,1,0,0,1,18,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
logistic,kd_tree,28,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
logistic,auto,12,entropy,1,1,1,1,1,18,invscaling,97,log2,12,6,kneighborsClassifier,7,8,adam,distance,0.9037037037037037
relu,auto,12,entropy,1,1,1,1,1,18,adaptive,90,auto,10,5,randomForestClassifier,7,4,sgd,uniform,0.9018518518518519
logistic,auto,12,entropy,1,1,1,1,0,32,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8870370370370371
logistic,kd_tree,28,gini,1,1,0,0,1,5,adaptive,55,auto,6,30,randomForestClassifier,10,8,lbfgs,distance,0.8407407407407408
logistic,auto,12,entropy,1,1,1,1,0,18,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8870370370370371
relu,brute,18,entropy,1,1,0,0,1,18,adaptive,90,auto,11,5,nnClassifier,7,4,sgd,uniform,0.6037037037037037
relu,kd_tree,13,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,nnClassifier,7,4,sgd,uniform,0.6018518518518519
logistic,kd_tree,28,gini,1,1,0,0,0,15,invscaling,34,log2,16,26,kneighborsClassifier,6,4,sgd,distance,0.812962962962963
relu,kd_tree,20,gini,1,1,0,0,1,13,adaptive,90,auto,3,5,randomForestClassifier,7,4,sgd,uniform,0.8703703703703703
relu,kd_tree,13,gini,1,1,0,0,1,26,invscaling,97,log2,12,12,kneighborsClassifier,7,8,adam,distance,0.8796296296296297
