activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,31,entropy,1,0,0,1,1,4,constant,48,sqrt,3,38,randomForestClassifier,8,1,adam,distance,0.8462962962962963
identity,kd_tree,10,entropy,0,1,1,0,1,21,adaptive,48,sqrt,9,10,nnClassifier,5,5,sgd,distance,0.6351851851851852
relu,auto,21,entropy,1,0,0,0,1,36,adaptive,22,auto,20,11,randomForestClassifier,8,9,sgd,distance,0.7870370370370371
logistic,kd_tree,19,entropy,1,0,1,1,0,36,constant,16,log2,2,32,kneighborsClassifier,7,7,adam,uniform,0.8518518518518519
logistic,brute,10,entropy,1,1,0,0,1,14,invscaling,56,sqrt,19,18,randomForestClassifier,6,2,sgd,distance,0.8518518518518519
tanh,ball_tree,17,entropy,1,1,1,0,1,25,adaptive,28,log2,5,21,randomForestClassifier,5,10,sgd,distance,0.8981481481481481
relu,brute,15,gini,1,1,0,1,0,7,constant,10,sqrt,9,23,randomForestClassifier,7,8,sgd,distance,0.8388888888888889
relu,auto,19,entropy,0,0,0,0,1,38,adaptive,77,log2,15,28,randomForestClassifier,5,3,adam,distance,0.7592592592592593
logistic,ball_tree,18,entropy,0,0,1,1,0,20,adaptive,99,sqrt,17,20,nnClassifier,5,2,lbfgs,distance,0.5740740740740741
identity,kd_tree,14,entropy,1,0,0,0,1,39,adaptive,100,sqrt,5,29,kneighborsClassifier,1,8,sgd,uniform,0.7555555555555555
tanh,brute,10,gini,1,0,1,0,0,37,adaptive,94,auto,18,11,nnClassifier,5,8,lbfgs,uniform,0.5925925925925926
relu,auto,8,gini,1,0,0,0,1,29,adaptive,46,log2,18,28,randomForestClassifier,4,4,lbfgs,uniform,0.7814814814814814
identity,ball_tree,23,entropy,0,0,0,1,0,35,constant,71,auto,3,2,kneighborsClassifier,6,1,adam,distance,0.7388888888888889
logistic,ball_tree,27,entropy,1,0,1,0,0,36,invscaling,85,sqrt,12,7,nnClassifier,9,3,lbfgs,uniform,0.5833333333333334
logistic,kd_tree,22,entropy,1,1,0,0,0,26,adaptive,67,auto,3,11,randomForestClassifier,4,3,sgd,uniform,0.7981481481481482
tanh,ball_tree,30,gini,1,0,0,0,0,27,adaptive,84,auto,20,21,randomForestClassifier,2,3,adam,distance,0.7222222222222222
tanh,ball_tree,24,entropy,1,1,1,0,0,14,constant,81,log2,3,25,nnClassifier,6,7,adam,uniform,0.5962962962962963
relu,kd_tree,27,gini,0,0,0,0,1,29,constant,11,auto,8,30,randomForestClassifier,8,3,adam,distance,0.7685185185185185
relu,auto,14,gini,0,0,1,1,0,11,invscaling,76,log2,11,19,kneighborsClassifier,3,2,lbfgs,distance,0.7648148148148148
tanh,brute,32,gini,1,0,1,0,1,32,adaptive,21,auto,15,36,nnClassifier,1,10,adam,distance,0.5907407407407408
tanh,ball_tree,17,entropy,1,1,1,0,1,25,adaptive,28,log2,5,21,randomForestClassifier,5,10,sgd,distance,0.8981481481481481
logistic,kd_tree,19,entropy,1,0,1,1,0,36,constant,16,log2,2,32,kneighborsClassifier,7,7,adam,uniform,0.8518518518518519
logistic,brute,10,entropy,1,1,0,0,1,14,invscaling,56,sqrt,19,18,randomForestClassifier,6,2,sgd,distance,0.8518518518518519
relu,ball_tree,31,entropy,1,0,0,1,1,4,constant,48,sqrt,3,38,randomForestClassifier,8,1,adam,distance,0.8462962962962963
relu,brute,15,gini,1,1,0,1,0,7,constant,10,sqrt,9,23,randomForestClassifier,7,8,sgd,distance,0.8388888888888889
logistic,kd_tree,22,entropy,1,1,0,0,0,26,adaptive,67,auto,3,11,randomForestClassifier,4,3,sgd,uniform,0.7981481481481482
