activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,kd_tree,19,gini,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,11,constant,47,auto,16,9,kneighborsClassifier,6,8,lbfgs,distance,0.5964052287581699,190.63070796104148
tanh,kd_tree,21,gini,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,8,constant,31,auto,14,19,nnClassifier,9,8,lbfgs,uniform,0.1568627450980392,190.63082394911908
tanh,kd_tree,14,gini,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,24,constant,43,auto,6,32,nnClassifier,7,10,sgd,uniform,0.11437908496732026,190.63091489695944
tanh,kd_tree,28,entropy,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,35,constant,70,auto,5,18,nnClassifier,7,4,sgd,uniform,0.08333333333333333,190.63101491495036
tanh,kd_tree,22,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,24,constant,43,auto,5,23,randomForestClassifier,8,5,lbfgs,distance,0.5882352941176471,190.63110319315456
tanh,kd_tree,28,entropy,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,22,constant,57,auto,10,33,randomForestClassifier,5,10,sgd,uniform,0.5604575163398693,190.63119068113156
tanh,kd_tree,28,gini,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,7,constant,61,auto,11,29,randomForestClassifier,5,5,lbfgs,uniform,0.553921568627451,190.6312779590953
tanh,auto,15,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,21,constant,9,auto,6,12,kneighborsClassifier,8,4,sgd,distance,0.5915032679738562,190.63136513810605
tanh,kd_tree,29,gini,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,36,constant,6,auto,12,20,nnClassifier,5,9,adam,distance,0.08169934640522876,190.63145271595567
tanh,kd_tree,16,entropy,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,6,constant,5,auto,7,17,randomForestClassifier,6,10,lbfgs,distance,0.5931372549019608,190.63154034409672
