activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,19,gini,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,13,adaptive,29,auto,10,24,kneighborsClassifier,1,6,adam,distance,0.5473856209150327,57.58678554999642
relu,ball_tree,19,gini,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,31,constant,41,auto,14,18,kneighborsClassifier,6,5,adam,distance,0.5588235294117647,57.58690276904963
relu,auto,21,gini,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,23,constant,92,auto,14,8,kneighborsClassifier,3,6,adam,distance,0.5179738562091504,57.58699366799556
relu,kd_tree,18,gini,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,9,adaptive,53,auto,13,19,kneighborsClassifier,1,6,adam,distance,0.5310457516339869,57.587082057027146
relu,auto,26,gini,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,27,constant,52,auto,15,18,kneighborsClassifier,2,7,adam,distance,0.5441176470588235,57.58717059600167
relu,ball_tree,12,gini,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,27,adaptive,78,auto,11,6,kneighborsClassifier,8,5,adam,distance,0.5669934640522876,57.5872596250847
relu,kd_tree,25,gini,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,29,adaptive,30,auto,11,14,kneighborsClassifier,2,6,adam,distance,0.5571895424836601,57.58734773402102
relu,kd_tree,11,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8,adaptive,52,auto,8,21,kneighborsClassifier,2,6,adam,distance,0.5506535947712419,57.5874353130348
relu,kd_tree,27,gini,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,6,constant,61,auto,6,23,kneighborsClassifier,8,6,adam,distance,0.565359477124183,57.58752269204706
relu,auto,10,gini,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,14,constant,63,auto,15,28,kneighborsClassifier,4,5,adam,distance,0.565359477124183,57.58760949107818
relu,kd_tree,16,gini,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,17,adaptive,35,auto,9,19,kneighborsClassifier,6,5,adam,distance,0.5620915032679739,57.58770741894841
relu,ball_tree,16,gini,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,33,adaptive,29,auto,15,15,nnClassifier,2,6,adam,distance,0.1895424836601307,57.58779386803508
relu,kd_tree,21,gini,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,23,adaptive,49,auto,11,36,kneighborsClassifier,1,6,adam,distance,0.545751633986928,57.58787999791093
relu,kd_tree,11,gini,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,27,adaptive,65,auto,11,14,kneighborsClassifier,2,6,adam,distance,0.5898692810457516,57.587966206949204
relu,auto,18,gini,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,58,auto,5,34,kneighborsClassifier,3,5,adam,distance,0.5571895424836601,57.5880523158703
relu,auto,23,gini,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,67,auto,6,26,kneighborsClassifier,3,5,adam,distance,0.5669934640522876,57.58813824504614
relu,kd_tree,10,gini,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,8,adaptive,71,auto,11,8,kneighborsClassifier,1,6,adam,distance,0.5620915032679739,57.58822423405945
relu,kd_tree,25,gini,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,adaptive,63,auto,10,5,nnClassifier,2,7,adam,distance,0.16176470588235295,57.58831004286185
relu,ball_tree,12,gini,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,11,adaptive,88,auto,4,18,kneighborsClassifier,6,8,adam,distance,0.5571895424836601,57.588396152015775
relu,ball_tree,11,gini,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,28,adaptive,47,auto,12,26,kneighborsClassifier,5,7,adam,distance,0.5669934640522876,57.58848236105405
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,33,auto,6,20,nnClassifier,3,8,adam,distance,0.5702614379084967,133.47266993904486
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,45,auto,10,17,nnClassifier,6,4,adam,distance,0.576797385620915,133.4727948580403
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,88,auto,10,12,nnClassifier,7,10,adam,distance,0.5947712418300654,133.47288345708512
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,57,auto,9,17,nnClassifier,4,4,adam,distance,0.5898692810457516,133.47296984586865
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,56,auto,11,16,nnClassifier,6,10,adam,distance,0.5816993464052288,133.47305625490844
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,77,auto,7,10,nnClassifier,5,9,adam,distance,0.576797385620915,133.4731422739569
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,34,auto,7,16,nnClassifier,4,8,adam,distance,0.5833333333333334,133.4732282529585
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,56,auto,4,18,nnClassifier,6,8,adam,distance,0.5898692810457516,133.47331418306567
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,65,auto,6,19,nnClassifier,6,5,adam,distance,0.5915032679738562,133.47339924192056
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,67,auto,11,24,nnClassifier,2,9,adam,distance,0.5800653594771242,133.47348495107144
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,39,auto,5,18,nnClassifier,4,4,adam,distance,0.5637254901960784,133.473570789909
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,33,auto,11,19,nnClassifier,5,6,adam,distance,0.1895424836601307,133.47365599893965
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,53,auto,11,32,nnClassifier,3,8,adam,distance,0.5882352941176471,133.4737524879165
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,69,auto,7,15,nnClassifier,6,9,adam,distance,0.5898692810457516,133.47384005808271
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,62,auto,4,30,nnClassifier,7,6,adam,distance,0.5735294117647058,133.47393681691028
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,71,auto,4,22,nnClassifier,7,9,adam,distance,0.576797385620915,133.47402268601581
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,75,auto,7,12,nnClassifier,5,7,adam,distance,0.576797385620915,133.47410754486918
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,67,auto,6,9,nnClassifier,6,9,adam,distance,0.17647058823529413,133.47419283399358
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,86,auto,5,17,nnClassifier,4,10,adam,distance,0.5980392156862745,133.47427896293812
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,51,auto,8,22,nnClassifier,4,7,adam,distance,0.5816993464052288,133.47436459199525
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,37,auto,4,17,nnClassifier,3,5,adam,distance,0.19934640522875818,1065.27005309402
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,49,auto,6,18,nnClassifier,6,8,adam,distance,0.2222222222222222,1065.2701608629432
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,92,auto,6,16,nnClassifier,6,8,adam,distance,0.1977124183006536,1065.2702500619926
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,61,auto,5,18,nnClassifier,1,6,adam,distance,0.2173202614379085,1065.2703379320446
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,60,auto,11,16,nnClassifier,5,7,adam,distance,0.23039215686274508,1065.2704251608811
