activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,27,gini,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,21,adaptive,53,sqrt,12,13,nnClassifier,5,7,adam,distance,0.1454248366013072,214.10408498882316
tanh,auto,27,gini,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,14,constant,81,sqrt,11,27,nnClassifier,2,6,adam,distance,0.16013071895424835,214.10419086785987
tanh,auto,16,gini,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,7,constant,58,sqrt,7,23,kneighborsClassifier,5,6,adam,distance,0.4918300653594771,214.10427802591585
identity,kd_tree,25,gini,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,19,adaptive,62,sqrt,11,35,kneighborsClassifier,5,7,adam,distance,0.5980392156862745,214.10436569480225
tanh,kd_tree,26,gini,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,15,adaptive,36,auto,13,31,kneighborsClassifier,9,6,adam,distance,0.5490196078431373,214.10445328382775
relu,ball_tree,25,gini,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,22,invscaling,90,sqrt,10,6,nnClassifier,5,5,adam,distance,0.20098039215686275,214.10453951195814
tanh,kd_tree,25,gini,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,8,constant,48,sqrt,11,29,kneighborsClassifier,6,6,adam,distance,0.5980392156862745,214.1046256008558
tanh,kd_tree,27,gini,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,20,adaptive,11,sqrt,8,22,nnClassifier,5,2,adam,distance,0.15849673202614378,214.10471160989255
tanh,ball_tree,30,gini,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,21,constant,61,sqrt,11,29,kneighborsClassifier,5,7,adam,distance,0.5522875816993464,214.10481191799045
tanh,kd_tree,22,gini,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,18,invscaling,6,auto,16,32,kneighborsClassifier,5,8,adam,distance,0.42483660130718953,214.10489734681323
relu,kd_tree,13,gini,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,15,invscaling,82,sqrt,7,6,nnClassifier,6,9,adam,distance,0.10620915032679738,214.10498254583217
tanh,auto,27,gini,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,25,constant,60,sqrt,6,33,kneighborsClassifier,4,8,adam,distance,0.5490196078431373,214.1050675548613
identity,kd_tree,27,gini,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,10,adaptive,16,sqrt,9,36,nnClassifier,6,6,adam,distance,0.14705882352941177,214.1051529829856
relu,auto,24,gini,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,15,invscaling,37,sqrt,8,34,nnClassifier,6,2,adam,distance,0.17320261437908496,214.10523802181706
identity,ball_tree,21,gini,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,10,invscaling,68,sqrt,11,15,kneighborsClassifier,5,5,adam,distance,0.5637254901960784,214.10532324085943
identity,auto,13,gini,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,26,constant,32,sqrt,4,17,nnClassifier,8,9,adam,distance,0.11437908496732026,214.1054083998315
identity,ball_tree,16,gini,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,33,adaptive,91,sqrt,10,33,nnClassifier,4,2,adam,distance,0.16176470588235295,214.10549350781366
relu,auto,16,gini,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,6,adaptive,13,sqrt,8,21,kneighborsClassifier,5,7,adam,distance,0.5359477124183006,214.10557842697017
relu,kd_tree,26,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,8,constant,54,sqrt,11,36,kneighborsClassifier,5,7,adam,distance,0.5571895424836601,214.1056645058561
relu,kd_tree,22,gini,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,16,adaptive,61,sqrt,11,28,kneighborsClassifier,3,5,adam,distance,0.5784313725490197,214.10575476381928
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,57,auto,8,17,nnClassifier,6,7,adam,distance,0.19117647058823528,473.01837115199305
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,77,auto,8,31,nnClassifier,3,8,adam,distance,0.19934640522875818,473.0184900809545
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,62,auto,7,27,nnClassifier,5,10,adam,distance,0.5931372549019608,473.0185783589259
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,60,auto,7,31,nnClassifier,4,8,adam,distance,0.5980392156862745,473.01866550790146
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,40,auto,13,34,nnClassifier,5,8,adam,distance,0.6029411764705882,473.0187648469582
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,86,auto,7,10,nnClassifier,6,5,adam,distance,0.184640522875817,473.018902414944
