,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,7,None,None,None,None,None,None,7,None,uniform,0.9904963041182682,ok,0.3496994348242879
1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,39,None,None,None,None,None,None,3,None,uniform,0.989440337909187,ok,0.4497070340439677
2,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,2,None,uniform,0.9947201689545935,ok,0.56977185793221
3,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,32,None,None,None,None,None,None,6,None,uniform,0.9926082365364308,ok,0.6755840089172125
4,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,76.0,sqrt,17.0,37.0,None,None,None,None,0.9936642027455121,ok,1.2857822040095925
5,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,99.0,auto,13.0,13.0,None,None,None,None,0.9936642027455121,ok,1.8247679718770087
6,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,88.0,sqrt,18.0,29.0,None,None,None,None,0.9936642027455121,ok,2.3867358819115907
7,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,nnClassifier,identity,None,25.0,None,None,invscaling,None,None,None,None,3.0,None,sgd,None,1.0,ok,4.383029764983803
8,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,63.0,auto,14.0,36.0,None,None,None,None,0.9936642027455121,ok,4.92212292086333
9,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,nnClassifier,tanh,None,13.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,1.0,ok,11.433029724983498
