,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,34,auto,2,28,None,None,None,None,0.9947201689545935,ok,0.6175188298802823
1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,kneighborsClassifier,None,kd_tree,None,None,9.0,None,None,None,None,None,None,4.0,None,distance,0.9957761351636748,ok,0.7043644420336932
2,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,kneighborsClassifier,None,auto,None,None,36.0,None,None,None,None,None,None,1.0,None,uniform,0.9947201689545935,ok,0.8189289488364011
3,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,33.0,None,None,None,None,None,None,6.0,None,distance,0.9957761351636748,ok,0.9150759379845113
4,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,18,auto,10,5,None,None,None,None,0.9947201689545935,ok,1.5286132618784904
5,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,nnClassifier,identity,None,10.0,None,None,constant,None,None,None,None,3.0,None,adam,None,1.0,ok,5.73974401387386
6,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,nnClassifier,tanh,None,12.0,None,None,invscaling,None,None,None,None,10.0,None,lbfgs,None,1.0,ok,6.265051900874823
7,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,7.0,None,None,None,None,None,None,4.0,None,uniform,0.9947201689545935,ok,6.388622659957036
8,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,28,log2,5,3,None,None,None,None,0.9947201689545935,ok,6.962111248867586
9,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,kneighborsClassifier,None,auto,None,None,29.0,None,None,None,None,None,None,5.0,None,distance,0.9957761351636748,ok,7.130032061832026
