,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,kneighborsClassifier,None,brute,None,None,13,None,None,None,None,None,None,8,None,uniform,0.9915522703273495,ok,0.2534251338802278
1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,24,None,None,None,None,None,None,3,None,uniform,0.9926082365364308,ok,0.3590356719214469
2,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,84.0,auto,11.0,8.0,None,None,None,None,0.9926082365364308,ok,0.8947536540217698
3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,19,None,None,None,None,None,None,6,None,distance,0.9947201689545935,ok,0.9684252720326185
4,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,20.0,auto,17.0,35.0,None,None,None,None,0.989440337909187,ok,1.632192682940513
5,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,10,None,distance,0.9947201689545935,ok,1.706450748955831
6,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,40,None,None,None,None,None,None,2,None,uniform,0.9926082365364308,ok,1.8008781159296632
7,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,nnClassifier,tanh,None,27.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,1.0,ok,15.02495378581807
8,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,3,None,distance,0.9926082365364308,ok,15.145497364923358
9,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,10,None,None,None,None,None,None,1,None,uniform,0.9904963041182682,ok,15.266524575883523
10,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,nnClassifier,identity,None,26.0,None,None,constant,None,None,None,None,9.0,None,sgd,None,1.0,ok,17.628033195855096
11,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,17,None,None,None,None,None,None,1,None,uniform,0.9936642027455121,ok,17.734306963859126
12,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,nnClassifier,tanh,None,18.0,None,None,adaptive,None,None,None,None,9.0,None,adam,None,1.0,ok,22.480017218971625
13,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,17,None,None,None,None,None,None,1,None,distance,0.9915522703273495,ok,22.56177850184031
14,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,71.0,log2,2.0,13.0,None,None,None,None,0.9926082365364308,ok,23.11241712793708
15,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,kneighborsClassifier,None,auto,None,None,9,None,None,None,None,None,None,8,None,uniform,0.9926082365364308,ok,23.315320673864335
16,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,kneighborsClassifier,None,auto,None,None,21,None,None,None,None,None,None,2,None,distance,0.989440337909187,ok,23.427495372947305
17,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,23,None,None,None,None,None,None,9,None,distance,0.9926082365364308,ok,23.50547706685029
18,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,38,None,None,None,None,None,None,10,None,distance,0.9936642027455121,ok,23.59121000696905
19,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,59.0,sqrt,19.0,32.0,None,None,None,None,0.989440337909187,ok,24.251532587921247
20,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,nnClassifier,identity,None,28.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,1.0,ok,26.414105613017455
21,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,12.0,None,None,constant,None,None,None,None,9.0,None,adam,None,1.0,ok,33.173086657887325
22,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,nnClassifier,relu,None,18.0,None,None,adaptive,None,None,None,None,10.0,None,adam,None,1.0,ok,36.033488808898255
