,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,nnClassifier,identity,None,14,None,None,invscaling,None,None,None,None,4,None,sgd,None,0.9989440337909187,ok,2.433881509117782
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,nnClassifier,tanh,None,24,None,None,invscaling,None,None,None,None,2,None,lbfgs,None,1.0,ok,2.9700264011044055
2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,kneighborsClassifier,None,brute,None,None,5.0,None,None,None,None,None,None,4.0,None,uniform,0.9957761351636748,ok,3.1746862900909036
3,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,nnClassifier,identity,None,11,None,None,adaptive,None,None,None,None,8,None,adam,None,1.0,ok,7.409554318059236
4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,kneighborsClassifier,None,brute,None,None,31.0,None,None,None,None,None,None,2.0,None,uniform,0.9936642027455121,ok,7.60153695801273
5,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,nnClassifier,logistic,None,24,None,None,adaptive,None,None,None,None,2,None,lbfgs,None,1.0,ok,8.034840936074033
6,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,59.0,sqrt,12.0,11.0,None,None,None,None,0.9957761351636748,ok,8.560513335978612
7,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,66.0,log2,19.0,35.0,None,None,None,None,0.9947201689545935,ok,9.030569022987038
8,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,nnClassifier,logistic,None,23,None,None,constant,None,None,None,None,6,None,adam,None,1.0,ok,14.464350482914597
9,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,49.0,log2,3.0,28.0,None,None,None,None,0.9957761351636748,ok,15.021362219005823
10,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,15.0,None,None,None,None,None,None,5.0,None,distance,0.9947201689545935,ok,15.096057743998244
11,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,nnClassifier,tanh,None,25,None,None,invscaling,None,None,None,None,7,None,lbfgs,None,1.0,ok,15.674582777079195
12,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,kneighborsClassifier,None,brute,None,None,35.0,None,None,None,None,None,None,2.0,None,uniform,0.9936642027455121,ok,15.870702984044328
13,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,nnClassifier,relu,None,17,None,None,constant,None,None,None,None,9,None,adam,None,1.0,ok,18.841486727120355
14,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,52.0,log2,12.0,29.0,None,None,None,None,0.9957761351636748,ok,19.34295825799927
