,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
72,1,0,0,randomForestClassifier,None,None,None,gini,None,None,32,sqrt,2,28,None,None,None,None,0.9596510359869138,ok,119.31886925105937
73,0,1,1,kneighborsClassifier,None,brute,None,None,19,None,None,None,None,None,None,7,None,uniform,0.9596510359869138,ok,119.49732205318287
74,0,1,1,kneighborsClassifier,None,brute,None,None,18,None,None,None,None,None,None,6,None,uniform,0.9596510359869138,ok,119.67447189916857
75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
76,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
77,1,0,0,randomForestClassifier,None,None,None,gini,None,None,93,auto,19,29,None,None,None,None,0.9596510359869138,ok,120.67124093417078
78,1,0,0,randomForestClassifier,None,None,None,gini,None,None,92,log2,10,31,None,None,None,None,0.9596510359869138,ok,121.66116197919473
79,1,0,0,randomForestClassifier,None,None,None,gini,None,None,84,log2,10,32,None,None,None,None,0.9596510359869138,ok,122.64762871409766
80,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,31,log2,2,28,None,None,None,None,0.9596510359869138,ok,123.79977808799595
81,1,1,0,nnClassifier,relu,None,26,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.9443838604143948,ok,126.7834012110252
82,1,0,0,randomForestClassifier,None,None,None,gini,None,None,54,auto,8,37,None,None,None,None,0.9596510359869138,ok,127.78063534200191
83,1,0,0,randomForestClassifier,None,None,None,gini,None,None,24,auto,3,37,None,None,None,None,0.9596510359869138,ok,128.80939756613225
84,0,1,0,nnClassifier,tanh,None,8,None,None,constant,None,None,None,None,2,None,adam,None,0.9443838604143948,ok,135.07844841200858
85,0,1,0,kneighborsClassifier,None,brute,None,None,6,None,None,None,None,None,None,9,None,uniform,0.9596510359869138,ok,135.2659256691113
86,0,1,0,kneighborsClassifier,None,brute,None,None,12,None,None,None,None,None,None,6,None,distance,0.9596510359869138,ok,135.43692700820975
87,0,1,0,kneighborsClassifier,None,ball_tree,None,None,6,None,None,None,None,None,None,5,None,distance,0.9596510359869138,ok,135.47459930111654
88,1,1,0,kneighborsClassifier,None,brute,None,None,9,None,None,None,None,None,None,3,None,distance,0.9400218102508179,ok,135.58567900420167
89,1,0,1,kneighborsClassifier,None,kd_tree,None,None,40,None,None,None,None,None,None,2,None,uniform,0.9563794983642312,ok,135.64523705421016
90,1,0,0,randomForestClassifier,None,None,None,gini,None,None,94,log2,11,14,None,None,None,None,0.9596510359869138,ok,136.64672534004785
91,0,0,1,nnClassifier,relu,None,20,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.9443838604143948,ok,146.07099208817817
92,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,14,log2,5,23,None,None,None,None,0.9585605234460196,ok,147.67312810313888
93,1,1,0,randomForestClassifier,None,None,None,gini,None,None,7,sqrt,6,17,None,None,None,None,0.9596510359869138,ok,148.35444399900734
94,1,1,0,kneighborsClassifier,None,ball_tree,None,None,35,None,None,None,None,None,None,5,None,uniform,0.9596510359869138,ok,148.4146468511317
95,1,0,1,nnClassifier,identity,None,12,None,None,adaptive,None,None,None,None,4,None,lbfgs,None,0.935659760087241,ok,148.97084824601188
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
97,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,65,sqrt,6,13,None,None,None,None,0.9596510359869138,ok,150.1809717239812
98,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,65,sqrt,8,11,None,None,None,None,0.9574700109051254,ok,151.7514473660849
99,0,1,1,kneighborsClassifier,None,brute,None,None,26,None,None,None,None,None,None,2,None,uniform,0.955288985823337,ok,151.86683575902134
