,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,kneighborsClassifier,None,auto,None,None,4,None,None,None,None,None,None,8,None,uniform,0.9400218102508179,ok,0.058491350151598454
1,0,0,1,kneighborsClassifier,None,auto,None,None,24,None,None,None,None,None,None,6,None,distance,0.916030534351145,ok,0.07962793111801147
2,0,1,1,randomForestClassifier,None,None,None,gini,None,None,92.0,auto,15.0,24.0,None,None,None,None,0.9400218102508179,ok,0.9311678851954639
3,1,0,0,nnClassifier,identity,None,23.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.9411123227917121,ok,3.86403183802031
4,1,0,0,kneighborsClassifier,None,auto,None,None,18,None,None,None,None,None,None,9,None,uniform,0.9400218102508179,ok,3.930133195128292
5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
6,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,42.0,auto,11.0,9.0,None,None,None,None,0.9400218102508179,ok,4.883344255154952
7,1,1,0,kneighborsClassifier,None,ball_tree,None,None,35,None,None,None,None,None,None,2,None,distance,0.8974918211559433,ok,4.904890650184825
8,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,81.0,auto,7.0,32.0,None,None,None,None,0.9400218102508179,ok,6.112115648109466
9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
10,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,68.0,sqrt,6.0,35.0,None,None,None,None,0.9400218102508179,ok,7.409903997089714
11,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,49.0,sqrt,5.0,17.0,None,None,None,None,0.9400218102508179,ok,8.733538925182074
12,1,1,1,nnClassifier,relu,None,30.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,0.9411123227917121,ok,21.017292643198743
13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
14,1,1,0,kneighborsClassifier,None,kd_tree,None,None,15,None,None,None,None,None,None,7,None,uniform,0.9400218102508179,ok,21.06744380807504
15,0,0,1,kneighborsClassifier,None,ball_tree,None,None,7,None,None,None,None,None,None,8,None,uniform,0.9367502726281353,ok,21.119834384182468
16,1,1,1,kneighborsClassifier,None,brute,None,None,7,None,None,None,None,None,None,3,None,distance,0.920392584514722,ok,21.209052817197517
17,1,1,1,randomForestClassifier,None,None,None,gini,None,None,9.0,auto,5.0,34.0,None,None,None,None,0.9400218102508179,ok,21.966236257227138
18,1,1,0,nnClassifier,logistic,None,16.0,None,None,invscaling,None,None,None,None,6.0,None,lbfgs,None,0.9411123227917121,ok,22.303728979080915
19,1,1,0,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,7,None,distance,0.9389312977099237,ok,22.325782685074955
20,1,0,1,nnClassifier,identity,None,31.0,None,None,constant,None,None,None,None,10.0,None,sgd,None,0.9312977099236641,ok,23.68498903210275
21,1,1,0,nnClassifier,tanh,None,13.0,None,None,invscaling,None,None,None,None,6.0,None,lbfgs,None,0.9411123227917121,ok,24.41475839004852
22,1,1,0,nnClassifier,tanh,None,11.0,None,None,invscaling,None,None,None,None,5.0,None,lbfgs,None,0.9411123227917121,ok,29.81951084919274
23,1,1,0,nnClassifier,logistic,None,11.0,None,None,invscaling,None,None,None,None,4.0,None,lbfgs,None,0.9411123227917121,ok,30.151453968137503
24,1,1,0,nnClassifier,tanh,None,8.0,None,None,invscaling,None,None,None,None,4.0,None,lbfgs,None,0.9411123227917121,ok,30.830036419210956
25,1,1,1,nnClassifier,relu,None,30.0,None,None,invscaling,None,None,None,None,9.0,None,sgd,None,0.9411123227917121,ok,40.56364207807928
26,1,1,1,nnClassifier,relu,None,18.0,None,None,adaptive,None,None,None,None,2.0,None,adam,None,0.9400218102508179,ok,60.582276441156864
27,1,1,0,nnClassifier,tanh,None,8.0,None,None,invscaling,None,None,None,None,4.0,None,lbfgs,None,0.9411123227917121,ok,61.245894213207066
28,1,1,1,nnClassifier,relu,None,26.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,0.9411123227917121,ok,77.42131155612879
29,1,1,1,nnClassifier,relu,None,27.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,0.9411123227917121,ok,93.09077322413214
30,1,1,1,nnClassifier,tanh,None,21.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,0.9378407851690295,ok,99.00963139813393
31,0,1,1,nnClassifier,relu,None,15.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.9400218102508179,ok,107.25382171617821
32,1,1,1,nnClassifier,relu,None,27.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,0.9411123227917121,ok,123.02811681618914
33,1,1,1,nnClassifier,relu,None,27.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,0.9411123227917121,ok,138.76692407019436
34,0,1,1,nnClassifier,relu,None,28.0,None,None,invscaling,None,None,None,None,9.0,None,sgd,None,0.9411123227917121,ok,146.41261815815233
35,0,1,1,nnClassifier,relu,None,32.0,None,None,invscaling,None,None,None,None,9.0,None,sgd,None,0.9411123227917121,ok,154.97090205922723
36,0,1,0,nnClassifier,tanh,None,13.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.9411123227917121,ok,155.33579321112484
37,0,1,0,nnClassifier,logistic,None,17.0,None,None,adaptive,None,None,None,None,5.0,None,adam,None,0.9411123227917121,ok,159.1689054160379
38,0,1,0,nnClassifier,logistic,None,20.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,0.9411123227917121,ok,159.50760419201106
39,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
40,1,1,1,kneighborsClassifier,None,kd_tree,None,None,40,None,None,None,None,None,None,4,None,uniform,0.9389312977099237,ok,159.58701553521678
41,1,0,1,nnClassifier,relu,None,24.0,None,None,invscaling,None,None,None,None,7.0,None,sgd,None,0.9411123227917121,ok,176.4527008892037
42,1,0,0,randomForestClassifier,None,None,None,gini,None,None,22.0,log2,11.0,2.0,None,None,None,None,0.9400218102508179,ok,177.4037693820428
43,1,1,0,nnClassifier,logistic,None,15.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,0.9411123227917121,ok,177.75885014911182
44,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,99.0,sqrt,14.0,26.0,None,None,None,None,0.9400218102508179,ok,178.92696512700059
45,1,1,0,kneighborsClassifier,None,brute,None,None,27,None,None,None,None,None,None,1,None,distance,0.8964013086150491,ok,179.01351873809472
46,1,0,0,nnClassifier,tanh,None,8.0,None,None,invscaling,None,None,None,None,4.0,None,lbfgs,None,0.9411123227917121,ok,179.45809859409928
47,1,1,0,kneighborsClassifier,None,kd_tree,None,None,32,None,None,None,None,None,None,10,None,uniform,0.9400218102508179,ok,179.51647971617058
48,1,1,0,randomForestClassifier,None,None,None,gini,None,None,28.0,log2,2.0,9.0,None,None,None,None,0.9400218102508179,ok,180.57495513604954
49,1,0,0,nnClassifier,tanh,None,10.0,None,None,adaptive,None,None,None,None,3.0,None,lbfgs,None,0.9411123227917121,ok,181.0234232551884
50,1,1,0,nnClassifier,logistic,None,10.0,None,None,invscaling,None,None,None,None,4.0,None,lbfgs,None,0.9411123227917121,ok,181.36361557221971
51,1,1,1,kneighborsClassifier,None,auto,None,None,13,None,None,None,None,None,None,2,None,distance,0.8974918211559433,ok,181.40097328019328
52,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,66.0,log2,19.0,29.0,None,None,None,None,0.9400218102508179,ok,182.62013170821592
53,0,1,1,nnClassifier,identity,None,22.0,None,None,constant,None,None,None,None,1.0,None,adam,None,0.9323882224645583,ok,193.41468322905712
