,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,47,auto,9,11,None,None,None,None,0.9596510359869138,ok,0.8942765989340842
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
2,1,0,1,kneighborsClassifier,None,kd_tree,None,None,4.0,None,None,None,None,None,None,6.0,None,uniform,0.9596510359869138,ok,0.947703855112195
3,1,1,0,randomForestClassifier,None,None,None,gini,None,None,60,log2,20,22,None,None,None,None,0.9596510359869138,ok,1.804226766107604
4,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,71,sqrt,5,10,None,None,None,None,0.9574700109051254,ok,3.1128029299434274
5,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,52,sqrt,2,38,None,None,None,None,0.9596510359869138,ok,4.491544666932896
6,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,32,auto,4,22,None,None,None,None,0.9596510359869138,ok,5.516853468026966
7,1,0,0,kneighborsClassifier,None,auto,None,None,6.0,None,None,None,None,None,None,9.0,None,distance,0.9574700109051254,ok,5.537627782905474
8,0,1,1,nnClassifier,relu,None,11.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.9367502726281353,ok,28.577182661974803
9,0,1,0,kneighborsClassifier,None,kd_tree,None,None,26.0,None,None,None,None,None,None,4.0,None,distance,0.9585605234460196,ok,28.596446251962334
10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
11,1,1,1,nnClassifier,tanh,None,23.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.935659760087241,ok,35.8936917160172
12,1,1,1,nnClassifier,identity,None,20.0,None,None,adaptive,None,None,None,None,6.0,None,sgd,None,0.9269356597600873,ok,44.516557303024456
13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
14,1,1,0,kneighborsClassifier,None,brute,None,None,20.0,None,None,None,None,None,None,3.0,None,uniform,0.955288985823337,ok,44.63372550904751
15,1,1,0,kneighborsClassifier,None,ball_tree,None,None,21.0,None,None,None,None,None,None,2.0,None,distance,0.9029443838604144,ok,44.6546977350954
16,1,0,1,kneighborsClassifier,None,auto,None,None,25.0,None,None,None,None,None,None,10.0,None,uniform,0.9596510359869138,ok,44.69565839506686
17,1,0,1,nnClassifier,identity,None,15.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.9302071973827699,ok,48.03559883707203
18,1,0,1,nnClassifier,relu,None,11.0,None,None,invscaling,None,None,None,None,8.0,None,adam,None,0.9367502726281353,ok,63.64097591210157
19,1,0,0,randomForestClassifier,None,None,None,gini,None,None,63,sqrt,5,5,None,None,None,None,0.9596510359869138,ok,64.68972956994548
20,0,1,1,kneighborsClassifier,None,auto,None,None,31.0,None,None,None,None,None,None,10.0,None,uniform,0.9596510359869138,ok,64.7435176060535
21,0,0,1,kneighborsClassifier,None,auto,None,None,38.0,None,None,None,None,None,None,7.0,None,uniform,0.9585605234460196,ok,64.79616525489837
22,0,1,0,randomForestClassifier,None,None,None,gini,None,None,3,auto,12,3,None,None,None,None,0.9596510359869138,ok,65.25432657194324
23,0,1,1,kneighborsClassifier,None,brute,None,None,38.0,None,None,None,None,None,None,8.0,None,uniform,0.9596510359869138,ok,65.417530329898
24,0,1,1,kneighborsClassifier,None,auto,None,None,12.0,None,None,None,None,None,None,5.0,None,uniform,0.9596510359869138,ok,65.4715120641049
