activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,23,entropy,1,0,0,9,constant,41,auto,20,10,nnClassifier,2,10,sgd,distance,0.9396551724137931
relu,kd_tree,29,gini,0,0,0,14,invscaling,15,auto,10,38,randomForestClassifier,3,10,sgd,distance,0.0
tanh,kd_tree,28,entropy,0,1,1,32,constant,47,auto,18,37,nnClassifier,6,7,adam,distance,0.9396551724137931
logistic,brute,16,gini,1,1,0,18,invscaling,75,sqrt,2,16,nnClassifier,4,3,sgd,uniform,0.9396551724137931
tanh,auto,13,gini,0,1,1,2,constant,63,sqrt,2,13,kneighborsClassifier,8,7,adam,distance,0.9418103448275862
identity,brute,9,gini,1,1,0,14,adaptive,94,auto,5,40,randomForestClassifier,9,9,lbfgs,distance,0.9493534482758621
identity,kd_tree,11,gini,1,1,1,28,adaptive,88,log2,15,16,kneighborsClassifier,9,10,sgd,uniform,0.9493534482758621
relu,brute,14,gini,1,0,0,21,invscaling,84,sqrt,6,12,kneighborsClassifier,9,9,lbfgs,uniform,0.9493534482758621
relu,brute,8,gini,1,1,0,11,constant,66,auto,11,28,nnClassifier,6,2,adam,distance,0.9396551724137931
logistic,kd_tree,16,entropy,1,1,1,33,adaptive,22,sqrt,13,2,kneighborsClassifier,2,5,adam,distance,0.9428879310344828
logistic,ball_tree,11,gini,1,0,0,18,constant,83,sqrt,7,9,nnClassifier,1,10,sgd,distance,0.9396551724137931
logistic,ball_tree,22,gini,1,0,0,26,adaptive,33,auto,17,25,randomForestClassifier,2,9,adam,uniform,0.9493534482758621
tanh,ball_tree,24,gini,1,0,1,36,constant,70,log2,14,25,kneighborsClassifier,8,4,adam,distance,0.9299568965517241
relu,kd_tree,16,gini,0,1,0,17,constant,57,log2,8,34,nnClassifier,9,1,adam,distance,0.9396551724137931
relu,brute,31,entropy,0,1,1,38,constant,86,sqrt,5,6,nnClassifier,7,3,adam,uniform,0.9396551724137931
tanh,kd_tree,27,gini,0,1,0,9,invscaling,35,log2,7,24,nnClassifier,2,9,lbfgs,uniform,0.9396551724137931
relu,ball_tree,20,entropy,1,1,0,30,invscaling,49,log2,10,9,nnClassifier,4,7,lbfgs,distance,0.9396551724137931
identity,auto,28,gini,1,1,1,17,adaptive,89,auto,11,40,nnClassifier,3,10,sgd,distance,0.9288793103448276
tanh,kd_tree,12,gini,0,0,1,27,adaptive,15,log2,14,8,nnClassifier,4,6,sgd,uniform,0.9396551724137931
relu,auto,12,entropy,1,1,1,38,adaptive,45,auto,14,12,randomForestClassifier,3,1,sgd,distance,0.9493534482758621
identity,brute,9,gini,1,1,0,14,adaptive,94,auto,5,40,randomForestClassifier,9,9,lbfgs,distance,0.9493534482758621
identity,kd_tree,11,gini,1,1,1,28,adaptive,88,log2,15,16,kneighborsClassifier,9,10,sgd,uniform,0.9493534482758621
relu,brute,14,gini,1,0,0,21,invscaling,84,sqrt,6,12,kneighborsClassifier,9,9,lbfgs,uniform,0.9493534482758621
logistic,ball_tree,22,gini,1,0,0,26,adaptive,33,auto,17,25,randomForestClassifier,2,9,adam,uniform,0.9493534482758621
relu,auto,12,entropy,1,1,1,38,adaptive,45,auto,14,12,randomForestClassifier,3,1,sgd,distance,0.9493534482758621
logistic,kd_tree,16,entropy,1,1,1,33,adaptive,22,sqrt,13,2,kneighborsClassifier,2,5,adam,distance,0.9428879310344828
tanh,auto,13,gini,0,1,1,2,constant,63,sqrt,2,13,kneighborsClassifier,8,7,adam,distance,0.9418103448275862
logistic,brute,23,entropy,1,0,0,9,constant,41,auto,20,10,nnClassifier,2,10,sgd,distance,0.9396551724137931
tanh,kd_tree,28,entropy,0,1,1,32,constant,47,auto,18,37,nnClassifier,6,7,adam,distance,0.9396551724137931
logistic,brute,16,gini,1,1,0,18,invscaling,75,sqrt,2,16,nnClassifier,4,3,sgd,uniform,0.9396551724137931
identity,brute,9,gini,1,1,0,14,adaptive,88,log2,15,16,kneighborsClassifier,6,10,sgd,uniform,0.9493534482758621
identity,kd_tree,11,gini,1,1,1,28,invscaling,84,sqrt,6,12,kneighborsClassifier,9,9,lbfgs,uniform,0.9493534482758621
relu,brute,14,gini,1,0,0,21,adaptive,33,auto,17,25,randomForestClassifier,2,9,adam,uniform,0.9493534482758621
logistic,ball_tree,22,gini,1,0,0,26,adaptive,45,auto,14,12,randomForestClassifier,3,1,sgd,distance,0.9493534482758621
relu,auto,12,entropy,1,1,1,38,adaptive,83,sqrt,10,2,kneighborsClassifier,2,5,adam,distance,0.9428879310344828
logistic,kd_tree,16,entropy,1,1,1,33,constant,63,sqrt,2,13,kneighborsClassifier,8,7,adam,distance,0.9450431034482759
tanh,auto,13,gini,0,1,1,11,constant,41,auto,20,10,nnClassifier,2,10,sgd,distance,0.9396551724137931
logistic,brute,23,gini,1,0,0,9,constant,47,auto,18,37,nnClassifier,6,7,adam,distance,0.9396551724137931
tanh,kd_tree,28,entropy,0,1,1,32,invscaling,75,sqrt,2,16,nnClassifier,4,3,sgd,uniform,0.9396551724137931
logistic,brute,16,gini,1,1,0,18,adaptive,94,auto,5,40,randomForestClassifier,9,9,lbfgs,distance,0.9493534482758621
identity,brute,9,gini,1,1,0,14,adaptive,94,auto,5,40,randomForestClassifier,9,9,lbfgs,distance,0.9493534482758621
identity,kd_tree,11,gini,1,1,1,28,adaptive,88,log2,15,16,kneighborsClassifier,9,10,sgd,uniform,0.9493534482758621
relu,brute,14,gini,1,0,0,21,invscaling,84,sqrt,6,12,kneighborsClassifier,9,9,lbfgs,uniform,0.9493534482758621
logistic,ball_tree,22,gini,1,0,0,26,adaptive,33,auto,17,25,randomForestClassifier,2,9,adam,uniform,0.9493534482758621
relu,auto,12,entropy,1,1,1,38,adaptive,45,auto,14,12,randomForestClassifier,3,1,sgd,distance,0.9493534482758621
identity,brute,9,gini,1,1,0,14,adaptive,88,log2,15,16,kneighborsClassifier,6,10,sgd,uniform,0.9493534482758621
identity,kd_tree,11,gini,1,1,1,28,invscaling,84,sqrt,6,12,kneighborsClassifier,9,9,lbfgs,uniform,0.9493534482758621
