feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,1,0,1,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,60,auto,3,11,nan,nan,NA,NA,0.9304029304029304,217.63786721229553
1,0,0,0,0,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,63,sqrt,8,2,nan,nan,NA,NA,0.884004884004884,222.85897207260132
1,0,1,0,1,0,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,log2,17,19,nan,nan,NA,NA,0.9206349206349206,228.7185468673706
0,0,1,1,1,1,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,auto,20,2,nan,nan,NA,NA,0.905982905982906,234.56930589675903
0,1,1,1,1,1,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,log2,12,2,nan,nan,NA,NA,0.9377289377289377,240.67634630203247
1,1,0,1,1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,auto,17,10,nan,nan,NA,NA,0.9218559218559218,246.14165377616882
1,1,1,1,0,0,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,69,log2,19,3,nan,nan,NA,NA,0.9169719169719169,252.05900287628174
1,0,1,1,0,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,31,sqrt,7,2,nan,nan,NA,NA,0.9304029304029304,257.7147328853607
1,0,1,0,0,0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,log2,9,4,nan,nan,NA,NA,0.8717948717948718,263.1320905685425
0,0,1,0,1,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,79,log2,18,24,nan,nan,NA,NA,0.938949938949939,268.5458953380585
1,1,1,0,1,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,sqrt,2,22,nan,nan,NA,NA,0.9157509157509157,274.54252433776855
1,0,1,0,0,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,97,auto,17,22,nan,nan,NA,NA,0.9267399267399268,279.7260546684265
1,1,1,1,1,0,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,50,log2,16,2,nan,nan,NA,NA,0.9145299145299145,285.83899760246277
0,1,0,1,0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,auto,1,2,nan,nan,NA,NA,0.9230769230769231,291.3255133628845
1,1,1,1,1,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,log2,18,2,nan,nan,NA,NA,0.9304029304029304,297.4484643936157
0,0,1,1,1,1,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,79,auto,12,18,nan,nan,NA,NA,0.9267399267399268,302.816606760025
1,0,1,1,1,0,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,22,auto,20,37,nan,nan,NA,NA,0.9145299145299145,309.0282349586487
1,1,0,0,1,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,58,auto,19,17,nan,nan,NA,NA,0.9035409035409036,315.08383989334106
1,0,1,0,0,1,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,16,log2,17,5,nan,nan,NA,NA,0.9242979242979243,320.282422542572
0,0,0,0,0,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,auto,4,3,nan,nan,NA,NA,0.9023199023199023,326.1547517776489
1,0,1,1,1,1,0,0,0,1,1,1,nnClassifier,tanh,NA,24,NA,nan,constant,nan,NA,nan,nan,8,nan,lbfgs,NA,0.5836385836385837,336.2896537780762
0,1,1,0,1,1,1,1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.7728937728937729,340.96212244033813
1,0,1,1,1,1,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,38,auto,10,4,nan,nan,NA,NA,0.9328449328449329,346.6019470691681
0,1,0,0,0,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,auto,10,18,nan,nan,NA,NA,0.8998778998778999,351.8331151008606
1,1,1,0,0,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,auto,19,8,nan,nan,NA,NA,0.9352869352869353,357.6615333557129
0,0,1,1,0,1,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,log2,6,40,nan,nan,NA,NA,0.9145299145299145,363.20055055618286
0,1,0,1,1,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,28,auto,1,31,nan,nan,NA,NA,0.9206349206349206,368.9840307235718
0,0,1,1,0,1,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,58,auto,13,3,nan,nan,NA,NA,0.9255189255189256,374.79622435569763
0,1,1,1,1,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,91,log2,6,21,nan,nan,NA,NA,0.927960927960928,380.6319577693939
0,1,1,1,0,0,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,56,auto,17,31,nan,nan,NA,NA,0.8498168498168498,385.9304015636444
1,1,1,0,1,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,82,auto,3,8,nan,nan,NA,NA,0.9230769230769231,391.74251890182495
0,1,0,1,1,1,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,29,auto,18,2,nan,nan,NA,NA,0.9133089133089133,397.06270146369934
0,0,1,1,1,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,96,sqrt,3,5,nan,nan,NA,NA,0.9096459096459096,403.2794997692108
1,1,1,0,1,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,70,sqrt,6,2,nan,nan,NA,NA,0.9352869352869353,408.9665746688843
0,0,0,1,0,0,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,51,log2,6,3,nan,nan,NA,NA,0.9206349206349206,414.79633378982544
1,1,1,0,0,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,16,log2,3,39,nan,nan,NA,NA,0.9169719169719169,420.50235414505005
0,0,1,1,0,1,0,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,18,NA,nan,NA,nan,nan,nan,1,NA,distance,0.7716727716727717,424.885644197464
1,0,0,0,1,0,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,log2,8,2,nan,nan,NA,NA,0.905982905982906,430.70491337776184
0,0,1,1,1,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,32,auto,5,27,nan,nan,NA,NA,0.9181929181929182,437.0136458873749
1,0,1,0,1,0,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,77,log2,18,2,nan,nan,NA,NA,0.9169719169719169,442.5676016807556
