activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,18,entropy,1,1,1,0,0,0,0,0,0,1,0,1,27,constant,83,auto,13,40,randomForestClassifier,6,7,sgd,distance,0.8559218559218559
tanh,ball_tree,12,entropy,1,1,1,0,0,1,1,0,0,1,1,1,23,constant,82,log2,4,15,kneighborsClassifier,6,7,sgd,uniform,0.8217338217338217
logistic,ball_tree,26,entropy,1,0,0,1,1,0,0,1,1,1,1,1,22,constant,68,auto,10,20,randomForestClassifier,3,10,lbfgs,uniform,0.8620268620268621
tanh,brute,17,gini,0,0,0,1,0,1,1,1,0,0,1,0,15,invscaling,68,log2,3,9,kneighborsClassifier,8,1,adam,distance,0.7326007326007326
logistic,ball_tree,26,entropy,1,0,0,1,1,1,0,0,1,1,1,1,36,invscaling,72,sqrt,12,30,randomForestClassifier,10,8,adam,uniform,0.9120879120879121
identity,auto,29,entropy,1,0,0,0,1,1,0,1,0,0,1,1,36,invscaling,37,auto,20,26,randomForestClassifier,1,5,lbfgs,uniform,0.9023199023199023
relu,ball_tree,9,gini,1,1,1,1,0,0,1,0,1,0,1,1,35,invscaling,44,auto,12,24,randomForestClassifier,4,5,sgd,uniform,0.9096459096459096
tanh,brute,25,gini,1,1,1,0,0,0,0,1,1,1,1,0,27,invscaling,86,log2,19,3,randomForestClassifier,3,6,adam,uniform,0.8644688644688645
tanh,ball_tree,29,gini,1,1,0,1,1,0,0,1,1,1,0,1,11,adaptive,99,log2,5,26,randomForestClassifier,4,4,sgd,distance,0.8705738705738706
relu,ball_tree,21,entropy,0,1,1,0,0,1,0,0,0,0,1,0,33,invscaling,14,sqrt,14,39,kneighborsClassifier,9,6,lbfgs,distance,0.7741147741147741
tanh,ball_tree,18,entropy,1,0,1,1,0,1,0,0,0,1,1,0,34,invscaling,40,auto,2,3,randomForestClassifier,5,3,lbfgs,uniform,0.9096459096459096
relu,auto,11,gini,0,1,0,0,1,0,1,0,1,1,1,0,33,constant,7,auto,8,36,kneighborsClassifier,6,7,adam,distance,0.7277167277167277
identity,auto,9,entropy,0,1,0,0,1,1,1,1,1,1,1,0,4,adaptive,85,log2,20,32,kneighborsClassifier,2,6,lbfgs,distance,0.7411477411477412
logistic,auto,28,gini,1,0,1,0,1,0,0,0,1,0,1,0,38,constant,26,sqrt,3,18,nnClassifier,10,5,sgd,uniform,0.6263736263736264
relu,ball_tree,28,entropy,0,0,0,1,1,0,0,1,1,1,1,1,22,invscaling,61,log2,3,32,kneighborsClassifier,1,4,sgd,uniform,0.7814407814407814
relu,brute,9,gini,0,1,0,1,0,0,0,0,1,1,0,0,15,adaptive,42,sqrt,3,15,kneighborsClassifier,1,9,adam,uniform,0.724053724053724
tanh,brute,19,entropy,1,1,1,0,0,0,0,0,1,1,0,1,2,adaptive,20,log2,14,4,randomForestClassifier,9,4,sgd,uniform,0.8620268620268621
logistic,brute,18,entropy,0,1,1,1,1,1,0,0,1,1,0,1,15,adaptive,98,auto,19,32,nnClassifier,7,10,sgd,uniform,0.6056166056166056
identity,brute,23,entropy,0,1,1,1,1,0,1,0,1,0,0,0,32,adaptive,50,auto,19,29,nnClassifier,9,4,lbfgs,distance,0.6056166056166056
tanh,auto,10,gini,0,1,0,0,0,1,0,1,0,0,1,1,27,invscaling,55,sqrt,17,16,randomForestClassifier,5,3,lbfgs,uniform,0.8913308913308914
logistic,ball_tree,26,entropy,1,0,0,1,1,1,0,0,1,1,1,1,36,invscaling,72,sqrt,12,30,randomForestClassifier,10,8,adam,uniform,0.9120879120879121
relu,ball_tree,9,gini,1,1,1,1,0,0,1,0,1,0,1,1,35,invscaling,44,auto,12,24,randomForestClassifier,4,5,sgd,uniform,0.9096459096459096
tanh,ball_tree,18,entropy,1,0,1,1,0,1,0,0,0,1,1,0,34,invscaling,40,auto,2,3,randomForestClassifier,5,3,lbfgs,uniform,0.9096459096459096
identity,auto,29,entropy,1,0,0,0,1,1,0,1,0,0,1,1,36,invscaling,37,auto,20,26,randomForestClassifier,1,5,lbfgs,uniform,0.9023199023199023
tanh,auto,10,gini,0,1,0,0,0,1,0,1,0,0,1,1,27,invscaling,55,sqrt,17,16,randomForestClassifier,5,3,lbfgs,uniform,0.8913308913308914
tanh,ball_tree,29,gini,1,1,0,1,1,0,0,1,1,1,0,1,11,adaptive,99,log2,5,26,randomForestClassifier,4,4,sgd,distance,0.8705738705738706
tanh,brute,25,gini,1,1,1,0,0,0,0,1,1,1,1,0,27,invscaling,86,log2,19,3,randomForestClassifier,3,6,adam,uniform,0.8644688644688645
logistic,ball_tree,26,entropy,1,0,0,1,1,0,0,1,1,1,1,1,22,constant,68,auto,10,20,randomForestClassifier,3,10,lbfgs,uniform,0.8620268620268621
tanh,brute,19,entropy,1,1,1,0,0,0,0,0,1,1,0,1,2,adaptive,20,log2,14,4,randomForestClassifier,9,4,sgd,uniform,0.8620268620268621
tanh,ball_tree,18,entropy,1,1,1,0,0,0,0,0,0,1,0,1,27,constant,83,auto,13,40,randomForestClassifier,6,7,sgd,distance,0.8559218559218559
logistic,kd_tree,26,entropy,1,0,0,1,1,1,0,0,1,0,1,1,35,invscaling,44,auto,12,27,randomForestClassifier,4,5,lbfgs,uniform,0.9133089133089133
relu,brute,9,gini,1,1,1,1,0,0,1,0,0,1,1,0,34,invscaling,40,auto,2,3,randomForestClassifier,5,3,lbfgs,uniform,0.9035409035409036
tanh,ball_tree,18,entropy,1,0,1,1,0,1,0,0,0,0,1,1,36,invscaling,37,auto,20,26,randomForestClassifier,1,5,lbfgs,uniform,0.9157509157509157
identity,auto,29,entropy,1,0,0,0,1,1,0,1,0,0,1,1,27,invscaling,55,sqrt,17,16,randomForestClassifier,5,3,lbfgs,uniform,0.9035409035409036
tanh,auto,10,gini,0,1,0,0,0,1,0,1,1,1,0,1,11,adaptive,99,log2,5,26,randomForestClassifier,4,4,sgd,distance,0.9181929181929182
tanh,ball_tree,29,gini,1,1,0,1,1,0,0,1,1,1,1,0,27,invscaling,86,log2,19,3,randomForestClassifier,3,6,adam,uniform,0.8583638583638583
tanh,brute,25,gini,1,1,1,0,0,0,0,1,1,1,1,1,22,constant,68,auto,10,20,randomForestClassifier,3,10,lbfgs,uniform,0.8669108669108669
logistic,ball_tree,26,entropy,1,0,0,1,1,0,0,1,0,0,0,1,2,adaptive,20,log2,14,4,randomForestClassifier,9,4,sgd,uniform,0.8522588522588522
tanh,brute,19,entropy,1,1,1,0,0,0,0,0,0,0,0,1,27,constant,83,auto,13,12,randomForestClassifier,6,7,sgd,distance,0.8522588522588522
tanh,ball_tree,18,entropy,1,1,1,0,0,0,0,0,1,1,1,1,36,constant,72,sqrt,12,30,randomForestClassifier,10,8,adam,uniform,0.8693528693528694
tanh,auto,10,gini,0,1,0,0,0,1,0,1,1,1,0,1,11,adaptive,99,log2,5,26,randomForestClassifier,4,4,sgd,distance,0.9181929181929182
tanh,ball_tree,18,entropy,1,0,1,1,0,1,0,0,0,0,1,1,36,invscaling,37,auto,20,26,randomForestClassifier,1,5,lbfgs,uniform,0.9157509157509157
logistic,kd_tree,26,entropy,1,0,0,1,1,1,0,0,1,0,1,1,35,invscaling,44,auto,12,27,randomForestClassifier,4,5,lbfgs,uniform,0.9133089133089133
logistic,ball_tree,26,entropy,1,0,0,1,1,1,0,0,1,1,1,1,36,invscaling,72,sqrt,12,30,randomForestClassifier,10,8,adam,uniform,0.9120879120879121
relu,ball_tree,9,gini,1,1,1,1,0,0,1,0,1,0,1,1,35,invscaling,44,auto,12,24,randomForestClassifier,4,5,sgd,uniform,0.9096459096459096
tanh,ball_tree,18,entropy,1,0,1,1,0,1,0,0,0,1,1,0,34,invscaling,40,auto,2,3,randomForestClassifier,5,3,lbfgs,uniform,0.9096459096459096
relu,brute,9,gini,1,1,1,1,0,0,1,0,0,1,1,0,34,invscaling,40,auto,2,3,randomForestClassifier,5,3,lbfgs,uniform,0.9035409035409036
identity,auto,29,entropy,1,0,0,0,1,1,0,1,0,0,1,1,27,invscaling,55,sqrt,17,16,randomForestClassifier,5,3,lbfgs,uniform,0.9035409035409036
identity,auto,29,entropy,1,0,0,0,1,1,0,1,0,0,1,1,36,invscaling,37,auto,20,26,randomForestClassifier,1,5,lbfgs,uniform,0.9023199023199023
tanh,auto,10,gini,0,1,0,0,0,1,0,1,0,0,1,1,27,invscaling,55,sqrt,17,16,randomForestClassifier,5,3,lbfgs,uniform,0.8913308913308914
tanh,auto,10,gini,0,1,0,0,0,1,0,1,0,0,1,1,36,invscaling,37,auto,20,26,randomForestClassifier,1,5,lbfgs,uniform,0.8925518925518926
tanh,ball_tree,18,entropy,1,0,1,1,0,1,0,0,1,0,1,1,12,invscaling,44,auto,12,27,randomForestClassifier,4,5,lbfgs,uniform,0.9230769230769231
logistic,kd_tree,26,entropy,1,0,0,1,1,0,0,0,1,1,1,1,36,invscaling,72,sqrt,12,30,randomForestClassifier,10,8,adam,uniform,0.8656898656898657
logistic,auto,26,entropy,1,0,0,1,1,1,0,0,1,0,1,1,35,invscaling,44,auto,12,24,randomForestClassifier,4,5,sgd,uniform,0.9133089133089133
relu,ball_tree,9,gini,1,1,1,1,0,1,1,0,0,1,1,0,34,invscaling,40,auto,2,3,randomForestClassifier,5,3,lbfgs,uniform,0.9133089133089133
tanh,ball_tree,18,entropy,1,0,1,1,0,1,0,0,0,0,1,0,34,invscaling,40,auto,2,3,randomForestClassifier,5,3,lbfgs,uniform,0.9108669108669109
relu,brute,9,gini,1,1,1,1,0,0,1,0,0,0,1,1,27,invscaling,55,sqrt,17,16,randomForestClassifier,5,3,adam,uniform,0.9047619047619048
identity,auto,29,entropy,1,0,1,0,1,1,0,1,0,0,1,1,36,invscaling,37,auto,20,26,randomForestClassifier,1,5,lbfgs,uniform,0.9133089133089133
identity,auto,29,entropy,1,0,0,0,1,1,0,1,0,0,1,1,27,invscaling,55,sqrt,17,16,randomForestClassifier,5,3,lbfgs,uniform,0.9035409035409036
tanh,auto,10,gini,0,1,0,0,0,1,0,1,1,1,0,1,11,adaptive,99,log2,5,26,randomForestClassifier,4,4,sgd,distance,0.9181929181929182
