activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,14,gini,0,1,0,0,1,1,0,1,1,1,0,1,39,adaptive,73,sqrt,7,22,randomForestClassifier,8,4,lbfgs,uniform,0.9206349206349206
identity,kd_tree,10,gini,1,1,0,1,1,0,1,1,1,0,0,0,22,adaptive,27,auto,16,17,nnClassifier,4,10,sgd,distance,0.608058608058608
identity,brute,29,gini,1,0,0,0,1,1,1,1,0,0,1,0,7,constant,60,auto,2,4,randomForestClassifier,6,7,adam,uniform,0.9084249084249084
tanh,auto,23,entropy,1,1,0,0,1,1,1,0,0,1,1,1,19,invscaling,53,sqrt,7,23,randomForestClassifier,5,4,adam,distance,0.9108669108669109
logistic,ball_tree,28,entropy,1,1,0,1,0,1,1,0,0,0,1,1,12,constant,97,log2,9,4,kneighborsClassifier,10,1,sgd,distance,0.7802197802197802
identity,brute,9,entropy,0,0,0,0,1,0,0,0,0,0,1,0,6,constant,9,sqrt,5,14,nnClassifier,5,5,sgd,uniform,0.5995115995115995
identity,kd_tree,20,gini,1,1,1,1,0,1,1,1,1,1,0,1,31,invscaling,60,sqrt,16,19,nnClassifier,10,5,adam,uniform,0.5934065934065934
logistic,kd_tree,24,entropy,0,0,0,1,1,1,0,1,1,1,0,0,40,invscaling,93,auto,12,18,nnClassifier,6,4,lbfgs,distance,0.5970695970695971
relu,kd_tree,8,entropy,1,0,0,1,0,1,1,0,1,0,1,0,31,invscaling,35,auto,16,12,kneighborsClassifier,4,1,sgd,distance,0.7118437118437119
identity,auto,10,gini,1,1,1,0,1,0,0,0,0,0,1,0,14,constant,36,log2,4,13,randomForestClassifier,6,1,sgd,uniform,0.8827838827838828
relu,ball_tree,13,gini,1,0,0,1,1,0,0,1,0,0,1,0,6,invscaling,71,log2,15,23,nnClassifier,1,9,lbfgs,distance,0.5775335775335775
identity,auto,23,gini,1,1,1,0,1,1,0,1,1,0,0,1,4,adaptive,11,auto,19,28,nnClassifier,1,5,lbfgs,uniform,0.5934065934065934
tanh,ball_tree,19,entropy,1,1,0,0,1,0,1,0,0,1,0,0,26,invscaling,30,sqrt,20,40,nnClassifier,4,10,lbfgs,distance,0.5836385836385837
relu,ball_tree,10,entropy,1,1,0,1,1,1,0,1,1,0,1,1,16,constant,19,auto,2,3,kneighborsClassifier,3,6,sgd,uniform,0.7924297924297924
